entite,review_text,rating,rel_date
POLE EMPLOI DIGNE-PE,Aucun,1,il y a 6 ans
POLE EMPLOI DIJON SUD-PE,Aucun,1,il y a 7 mois
POLE EMPLOI DIJON SUD-PE,Accueil.. Irréprochable 😀 …,4,il y a 10 mois
POLE EMPLOI DIJON SUD-PE,Aucun,5,il y a 10 mois
POLE EMPLOI DIJON SUD-PE,Des incapables pas professionnel  1y pour les avoir au téléphone et après elle se permet de traiter les gens de mauvaise fois pour leur incapacité franchement à fuir,1,il y a un an
POLE EMPLOI DIJON SUD-PE,... En Période de Covid-19... L'Organisation est IMPECCABLE 😲🤩🧐... Masque 🎭 Obligatoire et Gel Hydroalcolique à Disposition... Les Retards sont bien gérés... Le Personnel... Vraiment Professionnel... Allez-y Vraiment Sans STRESS... …,5,il y a 2 ans
POLE EMPLOI DIJON SUD-PE,Aucun,5,il y a 2 ans
POLE EMPLOI DIJON SUD-PE,"bonne agence !
bonne prise en charge de mon dossier
conseiller à l'écoute et compétent !

contrairement à l'agence Dijon- EST de Quetigny : une catastrophe !",4,il y a 2 ans
POLE EMPLOI DIJON SUD-PE,"Je trouve que l'on critique beaucoup les conseillers pôle emploi et les services proposés par cette administration, mais moi depuis que je suis inscrite, j'ai toujours été bien accueillie et conseillée par les conseillers Pôle emploi ! Ils font ce qu'ils peuvent et c'est pas toujours évident ...",5,il y a 2 ans
POLE EMPLOI DIJON SUD-PE,L'accès est très simple les conseillers sont très compétant et souriant,4,il y a 2 ans
POLE EMPLOI DIJON SUD-PE,Structure nationale tristement célèbre pour son inefficacité au fil des années,1,il y a 2 ans
POLE EMPLOI DIJON SUD-PE,"Discute alors qu'on tente de joindre quelqu'un.
Pour que l'on s'actualise, il faut se dépêcher par contre quand on a besoin de leur service...
J'aimerai bien voir tous ces gens dans l'industrie... Ils ne feraient pas long feu...",1,il y a 2 ans
POLE EMPLOI DIJON SUD-PE,très bon accueil et bonne prise en charge,5,il y a 3 ans
POLE EMPLOI DIJON SUD-PE,Aucun,5,il y a 3 ans
POLE EMPLOI DIJON SUD-PE,"Prendre un rendez-vous avec votre ""conseiller"" Pôle-Emploi relève de plus en plus à une prouesse... le barrage du personnel d'accueil est d'ors et déjà là pour vous démontrer et convaincre que votre demande est inutile ...
Une réelle affliction de repartir en ayant eu le sentiment d'avoir été un numéro inventorié et un combustible pour l'agence de PÔLE-EMPLOI DIJON SUD.",1,il y a 3 ans
POLE EMPLOI DIJON SUD-PE,Aucun,3,il y a 4 ans
POLE EMPLOI DIJON SUD-PE,"Très bon service
Service civique agréable",5,il y a 4 ans
POLE EMPLOI DIJON SUD-PE,... je sais même pas pourquoi je me présente a mes rdv avec eux car je sors comme j'avait rentrer sans rien ... et puis ils donne de l'argent pour le réclamer quelques mois après . déçu!!,1,il y a 4 ans
POLE EMPLOI DIJON SUD-PE,"Très bon accueil, bonne écoute.",4,il y a 5 ans
POLE EMPLOI DIJON SUD-PE,Aucun,5,il y a 6 ans
POLE EMPLOI DIJON SUD-PE,Aucun,1,il y a 6 ans
POLE EMPLOI DIJON SUD-PE,Aucun,1,il y a 6 ans
POLE EMPLOI DIJON SUD-PE,Aucun,5,il y a 6 ans
POLE EMPLOI DIJON SUD-PE,Aucun,5,il y a 6 ans
POLE EMPLOI DIJON SUD-PE,Aucun,1,il y a 7 ans
POLE EMPLOI RENNES EST-PE,Aucun,1,il y a 2 mois
POLE EMPLOI RENNES EST-PE,Désagréable et mauvais! Si vous n'avez besoin de rien appelez les :) et au passage perder 3/4 heures au téléphone.,1,il y a 4 mois
POLE EMPLOI RENNES EST-PE,"Période d'essai en droit français pour le salarié ne veut strictement rien dire ! J'aurai dû rester au chômage aujourd'hui j'aurai tjs droit à l'are mais j'ai voulu essayer, tenter de sortir de cette situation mais je n'aurai pas dû aujourd'hui j'en paie les conséquences.... merci !",1,il y a 5 mois
POLE EMPLOI RENNES EST-PE,C'est indiqué ouvert le lundi 31 octobre sur Internet puis arrivée devant la porte il est notifié que l'agence est fermé. Le 31/10 n'est pas un jour férié !,1,il y a 6 mois
POLE EMPLOI RENNES EST-PE,Aucun,4,il y a 7 mois
POLE EMPLOI RENNES EST-PE,Aucun,1,il y a 11 mois
POLE EMPLOI RENNES EST-PE,Aucun,3,il y a 11 mois
POLE EMPLOI RENNES EST-PE,"Not happy at all.
Counselor doesnt give consult but insult
Counselor doesnt present herself and does not pay attention if we dont understand her at all
Counselor doesnt answer questions and simply the time is up even if the whole session was only me staring at the counselor who seemed to be occupied by the computer
The service does not change at all, even 10 or 20 years passed. Can safely say that they dont really do their jobs which is to give advice and guidance on findinv a job.

Pas content du tout.
Le conseiller ne donne pas de consultation mais insulte
La conseillère ne se présente pas et ne fait pas attention si nous ne la comprenons pas du tout
Le conseiller ne répond pas aux questions et le temps est simplement écoulé, même si toute la session n'était que moi regardant le conseiller qui semblait être occupé par l'ordinateur
Le service ne change pas du tout, même 10 ou 20 ans se sont écoulés.  Peut dire en toute sécurité qu'il ne fait pas vraiment son travail, c'est-à-dire donner des conseils et des orientations sur chercher un emploi.",1,il y a un an
POLE EMPLOI RENNES EST-PE,Aucun,1,il y a un an
POLE EMPLOI RENNES EST-PE,0 lieu de recherche d'emploi pour les chômeurs,5,il y a 2 ans
POLE EMPLOI RENNES EST-PE,"L'efficacité légendaire de Pôle Emploi. Aucune écoute, aucun conseil pour vous aider à trouver l'emploi que vous recherchez. Ici vous n'êtes qu'un numéro de dossier, le but n'est pas votre épanouissement au travail mais de vous envoyer rapidement vers un patron quelconque pour ployer le genou. En période de crise, on menace des demandeurs d'emploi modèles qui ont travaillé toute leur vie avant de subir la crise de leur retirer leurs droits s'ils ne rentrent pas dans les cases alors que la France donne gratuitement, sans aucun travail en retour, des aides à toute une partie de la population. Vous n'avez pas le droit de préparer au mieux votre réinsertion professionnelle pour la sortie de la crise puisque vous devez prestement abandonner le chômage pour lequel vous avez cotisé afin de trouver un emploi à des années lumières de ce que vous recherchez.
Je ne sais pas combien on vous paye, mais pour des gens dont le cœur de métier est l'emploi, un travail d'une telle médiocrité est une honte. Sans parler de votre condescendance lors des échanges. Il faut se ressaisir.",1,il y a 2 ans
POLE EMPLOI RENNES EST-PE,Aucun,1,il y a 2 ans
POLE EMPLOI RENNES EST-PE,Aucun,5,il y a 2 ans
POLE EMPLOI RENNES EST-PE,Bon accueil.,5,il y a 2 ans
POLE EMPLOI RENNES EST-PE,Aucun,1,il y a 2 ans
POLE EMPLOI RENNES EST-PE,Aucun,5,il y a 2 ans
POLE EMPLOI RENNES EST-PE,Aucun,1,il y a 3 ans
POLE EMPLOI RENNES EST-PE,Aucun,5,il y a 3 ans
POLE EMPLOI RENNES EST-PE,Aucun,1,il y a 3 ans
POLE EMPLOI RENNES EST-PE,Pitoyable elle est belle la France !!,1,il y a 3 ans
POLE EMPLOI RENNES EST-PE,Attente trop longue au téléphone lorsque l’on dit 12 mn à peine c’est 35 mn voire plus et on finit par raccrocher cause hors forfait. Par contre au téléphone lorsque l’on vous rappelle la personne au service indemnisation est très agréable à l’écoute disponible et rassurante et on obtient ce qu’on demande en document à mon avis ce qui est rare de nos jours au vu du nombre des appels reçus et des personnes à l’autre bout du téléphone parfois peu aimable.,3,il y a 4 ans
POLE EMPLOI RENNES EST-PE,Conseillers non disponible (incompetant ? Faineantise ?) Pas de reponses aux questions. Aucuns suivis sur nos dossiers et des propositions de travails inadaptés à votre CV.,1,il y a 4 ans
POLE EMPLOI RENNES EST-PE,Incompétence totale,1,il y a 4 ans
POLE EMPLOI RENNES EST-PE,NUl ! Site qui ne marche jamais !,1,il y a 4 ans
POLE EMPLOI RENNES EST-PE,Aucun,2,il y a 5 ans
POLE EMPLOI RENNES EST-PE,toujours fermé,1,il y a 5 ans
POLE EMPLOI RENNES EST-PE,Très bon accueil et quand tout va mal bonne écoute humaine bienveillance patience pas de miracle ça c est impossible mais ce respect là réconforte,4,il y a 5 ans
POLE EMPLOI RENNES EST-PE,Vraiment un très bon accueille!! Et aussi très professionnelle!!!,5,il y a 5 ans
POLE EMPLOI RENNES EST-PE,Aucun,1,il y a 6 ans
POLE EMPLOI RENNES EST-PE,Aucun numéro,1,il y a 7 ans
POLE EMPLOI RIVIERE SALEE-PE,Aucun,5,il y a 6 mois
POLE EMPLOI RIVIERE SALEE-PE,Ça fait trois fois que je viens pour motif de changement des indemnisations on m’a dit trois quelque chose de DIFFÉRENT les gens ont l’air compétents pourtant l’information est peut être mal transmise ou pas du tout… formez vos collaborateurs !!!,1,il y a 7 mois
POLE EMPLOI RIVIERE SALEE-PE,"Lors de son appel la conseillère ne s'intéresse pas vraiment à mon projet professionnel! Elle ne demande aucun renseignement aucun justificatif, et me dit qu'il faut que je fasse payé ma formation avec mon CPF car le pôle emploi ne payera pas. Et attention on me dirige vers une formation qui a rien à voir avec ce que je veux faire et mes compétences. Encore une fois très déçu. Je me demande à quoi sert ce truc au final. Le pôle emploi a juste contribué à me garder au chômage, en voulant m'oriente vers ce qui les arranges et non pas par ce qui me plaie et faire.",1,il y a un an
POLE EMPLOI RIVIERE SALEE-PE,Aucun,3,il y a un an
POLE EMPLOI RIVIERE SALEE-PE,Aucun,4,il y a un an
POLE EMPLOI RIVIERE SALEE-PE,"Seul inconvénienténiant et pas des moindres, les courriers automatiques de menaces auxquelles il faut répondre alors que le dossier est à jour!",3,il y a 2 ans
POLE EMPLOI RIVIERE SALEE-PE,Aucun,5,il y a 3 ans
POLE EMPLOI RIVIERE SALEE-PE,Aucun,1,il y a 4 ans
POLE EMPLOI RIVIERE SALEE-PE,Aucunes informations importantes,1,il y a 4 ans
POLE EMPLOI RIVIERE SALEE-PE,Aucun,4,il y a 5 ans
POLE EMPLOI ROMANS SUR ISERE-PE,"J'ai été inscrite à cette agence en Août 2022 suivi par une dame (dont je ne mentionnerais pas le nom) que je n'ai ""entre autres"" jamais rencontrer... Je possède a ce jour une RQTH et une OETH qui de ce fait normalement doit être suivi par CAP EMPLOI ; mais CAP EMPLOI justement... parlons-en ! Un organisme qui doit aider et accompagner les personnes en situation de handicap mais qui n'ai autres qu'un organisme financé par l'état et qui ne sert à rien ! Car à l'heure d'aujourd'hui il fusionne avec cette organisme d'incompétents qui n'ai autre que Pôle Emploi... en 6 mois ils m'ont proposer une sorte de formation ""bilan de compétences"" avec Archer... Bilan  qui n'a servi à rien car en sachant qu'auparavant j'avais déjà effectué un bilan de compétences financer par la CPAM... j'ai recontacter par la suite ma conseillère Pôle emploi qui m'a inviter à me présenter à l'agence des lors que des offres d'emploi où de formations ce présenterait dans n'importe quelles domaines... en sachant que justement je ne peux travailler dans n'importe quelles secteurs... du grand n'importe quoi ! Ne comptez absolument pas sur eux pour trouver un emploi !",1,il y a un mois
POLE EMPLOI ROMANS SUR ISERE-PE,"Le personel manque vraiment d'empathie envers les personnes inscrits au pôle emploi
Aucune discrétion concernant le traitement de nos données personnelles
On demande aux conseillères une aide sur les ordinateurs concernent notre espace personnel
Documents a scanner ect ect on a l'impression de les déranger plus qu'autre chose .  Aucun sourire c'est à peine si on vous dit bonjour.
Je suis profondément choquée par ce manque de politesse et de discrétion. Vraiment il manque une formation a ce personel sur le site Romans",2,il y a 3 mois
POLE EMPLOI ROMANS SUR ISERE-PE,"J'ai été au Pôle Emploi de Romans pour m'inscrire au plan d'aide de recherche d'emploi pour les 18-25 ans. Lors de l'entretien, le conseiller me demande mes origines, bien que cette question soit peu approprié, je n'y ai vu aucun mal et j'ai aimablement répondu que je suis Antillais. Suite à ça j'ai eu le droit à des remarques désobligeantes du genre ""par contre il faut que vous soyez vif, parceque vous les Antillais c'est doucement le matin, pas trop vite l'après-midi""... j'étais choqué. À présent j'ai 25 ans, cela fait maintenant 4 ans que j'attend leurs pseudo ""aide"" que je n'ai jamais obtenu même après l'obtentionde mon CACES 1,3,5. Mon dossier à sûrement été ""perdu"", et même si je ne sais pas comment il s'est perdu je sais très bien pourquoi.",1,il y a 3 mois
POLE EMPLOI ROMANS SUR ISERE-PE,"Sérieusement, les conseillers s’en foutent royalement de vous ici.
Ils ne t’aident ni à trouver un emploi ni rien.",1,il y a 5 mois
POLE EMPLOI ROMANS SUR ISERE-PE,Très bon accueil. Réponses efficaces et bienveillante.,5,il y a 7 mois
POLE EMPLOI ROMANS SUR ISERE-PE,"Quand au téléphone on a une personne agréable qui nous confirme que je peux accompagner mon mari à son rdv et qu’en arrivant on tombe sur une personne désagréable qui refuse que je rentre avec lui, il y a de quoi être agacée sachant que j’avais pris mon après-midi spécialement pour cet entretien!!!
Et que d’autres sont autorisés…..",1,il y a 9 mois
POLE EMPLOI ROMANS SUR ISERE-PE,Aucun,3,il y a 9 mois
POLE EMPLOI ROMANS SUR ISERE-PE,"Merci à la conseillère Sara et à Pôle emploi Romans d'avoir enfin recruter des personnes aimable, serviable et qui prennent bien le temps  de répondre au mieux à nous demandeur d'emploi.

En effet, je souhaitais féliciter cette conseillère Sara en particulier . Elle a fait preuve de professionnalisme et bienveillance envers nous demandeurs d'emploi qui sommes bien souvent ""négligé"".

Enfin, je tenais à vraiment prendre le temps de souligner l'attitude profesionnelle de cette personne, car OUI, quand ça se passe bien, il faut aussi le dire ! Bonne continuation à cette dame, Au plaisir.",5,il y a 11 mois
POLE EMPLOI ROMANS SUR ISERE-PE,Aucun,1,il y a un an
POLE EMPLOI ROMANS SUR ISERE-PE,Les avis négatif ne sont peut-être plus d'actualité car je viens récemment de m'inscrire et je constate que trois jeunes sont vraiment a l'écoute des demandeur d'emploi.Ils prennent  vraiment le temps de bien nous expliquer la marche à suivre et d'une façon calme et détaillé.Open Space est lumineux et agréable.,4,il y a un an
POLE EMPLOI ROMANS SUR ISERE-PE,Aucun,1,il y a un an
POLE EMPLOI ROMANS SUR ISERE-PE,"Une honte d'accueillir les recrutements de la SFAM dans vos locaux, le recruteur Ludovic n'a aucune honte. Il convoque à 9h30 pour prendre qu'à 10h30 et si il nous a déjà eu en entretien pour un autre poste il nous refuse l'entretien. Pourquoi nous convoquer dans ce cas là ?

Bien à l'image de la société pour qui il travaille, des escrocs notoires sans éducation juste bon à arnaquer des gens sans défenses",1,il y a un an
POLE EMPLOI ROMANS SUR ISERE-PE,Aucune offre a notre demande,1,il y a un an
POLE EMPLOI ROMANS SUR ISERE-PE,Aucun,1,il y a un an
POLE EMPLOI ROMANS SUR ISERE-PE,"Ce matin je suis allé car j’avais un problème d’inscription je suis tombé sur une dame qui s’appelle Joël et je la remercierai jamais assez pour sa patience et gentillesse. Il faut mettre plus de personnes comme elle dans cette agence encore merci
Car malheureusement les autres fois où je suis allé je suis toujours tombé sur des personnes qui voulait rien savoir",5,il y a un an
POLE EMPLOI ROMANS SUR ISERE-PE,"SUPERBE accueil, personnel disponible et souriant (me le à travers le masque)",5,il y a un an
POLE EMPLOI ROMANS SUR ISERE-PE,Faire faire 80 km pour un rendez-vous inutile qui a consisté à scanner mon passeport..scandaleux !,1,il y a un an
POLE EMPLOI ROMANS SUR ISERE-PE,"Je n'ai jamais eu de problème dans mes accompagnements avec pole emploi. J'ai toujours eu de très bon conseiller. Merci à eux, merci à toute l'équipe",4,il y a un an
POLE EMPLOI ROMANS SUR ISERE-PE,ne sert strictement a rien ne travail jamais on ne peut pas les contacter si vous voulez du travail aller voir ailleurs ces beaucoup mieux,1,il y a un an
POLE EMPLOI ROMANS SUR ISERE-PE,Aucun,1,il y a 2 ans
POLE EMPLOI ROMANS SUR ISERE-PE,"Une grosse blague. Professionnalisme 0. Relationnel 0. Aide par téléphone 0. 1 étoile parce que je ne peux pas mettre moins. Je défis n'importe qui d'être aussi désagréable et incompétent que les personnes qui s'occupent du dossier de maman. Une seule chance c, est que ma maman ne souhaite pas que je m'occupe de faire le lien entre elle et eux. Parce qu'on verrait bien s'ils se permettraient de me parler comme ils le font avec elle. Intolérable et inacceptable pour un service public !",1,il y a 2 ans
POLE EMPLOI ROMANS SUR ISERE-PE,Service indemnisation qui ne fait absolument pas son travail inscrit depuis avril 2020 on me dit que mon inscription est pris en compte en juin 2020 sauf que j'ai toute les preuves qu'il font n'importe quoi et dise bien ce qu'il veule pour bâcler les dossier ^^ demande des documents déjà envoyé plus de 20 fois !!! Des réponses toute faite et qui ont rien à voir avec ce qu'ils ont dit la veille en attendant j'ai 1 mois dans le vent due à l'incompétence de ces dernier mais je ne vais pas me laisser faire ! La personne au bout du fil coupé la parole et méprisante désagréable soupire à tout bout de chant et ne veux absolument rien entendre prétextant que c'est nous les con 👏 !!! Mail et courrier envoyé au directeur suite à l'incompétence de ces derniers ! Bravo pôle emploi la vous faite très fort !,1,il y a 2 ans
POLE EMPLOI ROMANS SUR ISERE-PE,Usine à gaz ?,1,il y a 3 ans
POLE EMPLOI ROMANS SUR ISERE-PE,"Pôle emploi...
L'hypocrisie poussé à son paroxysme.
Ne perdez plus votre temps, allez directement aux intérim si vous espérez bosser. PE c'est qu'une façade vide de l'intérieur.",1,il y a 3 ans
POLE EMPLOI ROMANS SUR ISERE-PE,Aucun,4,il y a 3 ans
POLE EMPLOI ROMANS SUR ISERE-PE,Aucun,3,il y a 3 ans
POLE EMPLOI ROMANS SUR ISERE-PE,Aucun,2,il y a 3 ans
POLE EMPLOI ROMANS SUR ISERE-PE,Aucun,5,il y a 3 ans
POLE EMPLOI ROMANS SUR ISERE-PE,"Incompétence totale,  employée  qui induisent en erreurs, on me dit que mon dossier n’est pas pris en charge lors de mon inscription, alors que 2 mois plus tôt j’ai appelé pour être sûr et tout m’a étais  confirmé.

Donc je perd tout mes droits à cause de ces incompétents qui de connaissent pas leur travail...",1,il y a 3 ans
POLE EMPLOI ROMANS SUR ISERE-PE,Aucun,4,il y a 3 ans
POLE EMPLOI ROMANS SUR ISERE-PE,Aucun,1,il y a 4 ans
POLE EMPLOI ROMANS SUR ISERE-PE,Des employes qui font de leurs mieux. Arreter d'être désagréable ils le seront aussi.,5,il y a 4 ans
POLE EMPLOI ROMANS SUR ISERE-PE,"Une étoile qui ne mérite mème pas. Pôle emploie sont censé aider, c’est totalement faux !!! Obligé de téléphoner 10 fois si ce n’est plus au 3949 pour demander un recalcule de droits, sans compter le nombre de mail envoyé pour des réclamations ainsi que les renvoies de documents pourtant déjà effectué auparavant !!! Se tromper 4 fois de suite dans le recalcule des droits, est-ce professionnel ? Un conseil à donner pour les futurs demandant de l’ARE, recalculé bien de votre côté, vos salaires totaux + primes, n’ayez aucune confiance !!! J’ai pu bizarrement avoir 300€ de plus par Mois grâce à mes calculs que j’ai effectué de mon côté et que je leur ai transmis ensuite...",1,il y a 4 ans
POLE EMPLOI ROMANS SUR ISERE-PE,Aucun,1,il y a 4 ans
POLE EMPLOI ROMANS SUR ISERE-PE,Jamais vu des employés aussi incompétants de ma vie en plus d'être désagréables et ce sont eux qui sont censés nous conseiller...,1,il y a 4 ans
POLE EMPLOI ROMANS SUR ISERE-PE,"Alors pour moi c'est le comble :""je prends 3 semaines de congrès et on me contacte durant ce congé ! Chercher l'erreur !!!!!",1,il y a 4 ans
POLE EMPLOI ROMANS SUR ISERE-PE,L'incompétence a l'état pur. Comment ces personnes peuvent nous aider à retrouver un emploi? ...,1,il y a 4 ans
POLE EMPLOI ROMANS SUR ISERE-PE,Aucun,1,il y a 4 ans
POLE EMPLOI ROMANS SUR ISERE-PE,"SERVICE A REVOIR VRAIMENT, ATTENDRE 18 MIN POUR MÊME PAS AVOIR L'INFORMATION QU'ON SOUHAITE SA CRAINT",1,il y a 5 ans
POLE EMPLOI ROMANS SUR ISERE-PE,Totalement incompétent ! Dommage qu'on ne puisse pas mettre 0 étoile,1,il y a 5 ans
POLE EMPLOI ROMANS SUR ISERE-PE,Aucun,1,il y a 5 ans
POLE EMPLOI ROMANS SUR ISERE-PE,Des touristes,1,il y a 5 ans
POLE EMPLOI ROMANS SUR ISERE-PE,"On peut dire que vous nous aidez bien !! En plus dès qu'on appelle on entend bien une voix désagréable. Franchement je mets une étoile, mais je pourrais en mettre 0 je le ferai sans hésitation.",1,il y a 5 ans
POLE EMPLOI ROMANS SUR ISERE-PE,"Que ce soit : Pierre,Jacques ou Pole Emploi le boulot il n'y en a pas ! Merci Macron d'avoir virer les CAE-CUI du con !",3,il y a 5 ans
POLE EMPLOI ROMANS SUR ISERE-PE,"Une remise en question sur l'agence et le personnel.
Je trouve qu'il abuse et ne serve à rien, c'est toujours nous qui ne savons pas faire et qui est  incapable.
Le comble  de tout on a jamais les critères qu'il faut pour avoir des aides
( aux formation, financier et autre ).
La où c'est loin d'être normal , ceux  qui ne se  bouge pas les fesses, ils on toute les aides possibles, et que l'on me dise pas que c'est faux
.Marre d'être obliger de tout se payer et d'avoir aucune aide même sur les frais.",1,il y a 5 ans
POLE EMPLOI ROMANS SUR ISERE-PE,incomptence total,1,il y a 6 ans
POLE EMPLOI ROMANS SUR ISERE-PE,Aucun,2,il y a 6 ans
POLE EMPLOI ROMANS SUR ISERE-PE,"Aucun professionnalisme,  les conseillers se permettent d'appeller et de menacer les personnes de faire trainer leur dossier, obliger de mentir pour pouvoir defendre leur non competences. Agence malhonnete.",1,il y a 6 ans
POLE EMPLOI ROMANS SUR ISERE-PE,On ne peut pas mettre zéro étoile. Ne pas s'étonner du nombre de chômeurs en France quant on constate le niveau de compétences....,1,il y a 6 ans
POLE EMPLOI ROMANS SUR ISERE-PE,"Non mais ils sont serieux??? Et les après-midi c'est quoi pause café??!!! On doit tout scaner et envoyer mais ils sont pas capable de traiter les fichiers et après ils doivent nous ""aider"" et ""conseiller""??? La bonne blague!!!!",1,il y a 6 ans
POLE EMPLOI ROMANS SUR ISERE-PE,"On peut pas louper le bâtiment, il est horrible !",2,il y a 7 ans
POLE EMPLOI ROMILLY-SUR-SEINE-PE,Aucun,5,il y a 2 semaines
POLE EMPLOI ROMILLY-SUR-SEINE-PE,"Vraiment très déçue de l’approche et du comportement condescendant de ma conseillère. Aucune pédagogie, aucune approche productive, aucune compréhension. Pas de confiance dès le début de l’échange. Très mauvaise impression. Pôle emploi c’est plutôt décourager qu’encourager. C’est vraiment dommage. Si c’est pour avoir affaire à des personnes qui ne sont pas professionnelles cela ne sert à rien. Je ne leur fait pas confiance pour m’aider.",1,il y a un mois
POLE EMPLOI ROMILLY-SUR-SEINE-PE,"1 étoile car on ne peut pas mètre 0, incompétence totale...",1,il y a un mois
POLE EMPLOI ROMILLY-SUR-SEINE-PE,"Équipe a revoir sérieusement !!
Un mois sur deux ils trouvent des excuses pour ne pas payer ou payer le 20 du mois, cette argent que vous distribuez il ne faudrait pas oublié qu’il nous appartient et que nous le cotisons en travaillant !",1,il y a 4 mois
POLE EMPLOI ROMILLY-SUR-SEINE-PE,"Il serait bon de rappeler à vos """"conseillers d'orientation"""" (je parle ici de Mme H.) de respecter les décisions personnelle , les choix, les valeurs , les objectifs et limites propre à chacun. Le respect, le non-jugement et l'écoute sont pourtant les bases, surtout quand on est censé être là pour aider les autres... Mais ce n'est pas inné pour tout le monde apparemment. Et non, le fait d'insister très lourdement, sous couvert de menaces, pour espérer me faire adhérer à vos choix, n'est pas non plus une pratique très professionnelle !
Sur ce, Mme la bien-pensante, j'ai des choses plus intéressantes à faire.

Par contre la dame de l'accueil, elle était sympathique.",1,il y a 6 mois
