Description;demarche en ligne;compte ou espace personnel;telephone;e-mail;courrier;accueil;reseaux sociaux;Description_2;Description_3;clusters
ai eu besoin d une assistance au cours des declarations du chomage partiel  reponse immediate  pas d attente telephonique une jeune femme adorable  professionnelle  aide rapide et efficace  merci ;1;0;1;0;0;0;0;['declar', 'chomag', 'repons', 'immediat', 'jeun', 'femm', 'ador'];declar chomag repons immediat jeun femm ador;3
les courriels emis par les services de pole emploi ne sont pas proprement chiffres et signes  ce qui represente un reel souci de securite et de vie privee ;0;0;0;1;0;0;0;['courriel', 'emis', 'propr', 'represent', 'souc', 'securit', 'prive'];courriel emis propr represent souc securit prive;-1
j ai ete bien accueilli lors de mon inscription a pe;0;0;1;0;0;0;0;[];;3
depuis janviers 21 pour calculer l apl  la caf a acces au drm  dispositif de ressources mensuelles  afin d eviter les fraudes et diverses erreurs soit disant il se trouve que pour mon cas par exemple  les montants donnes par le pole emploi sont inexacts et impossible de ma part de les modifier  en appelant le pole emploi  ils etaient meme pas au courant et ne connaissaient pas ce que c est malgre mes explications ils finissant par me dire que  il doit y avoir une erreur et tout ce qu ils peuvent faire pour moi c est de me donner des attestations mais n ont pas la main dessus pour les modifier la caf de son cote bien qu ils aient acces a mes paiements et constatant les erreurs  ils ne tiennent compte que du drm  c est aberrant je me trouve coince et sans solution avec une dette pour un trop percu alors que je devrais pas en avoir si on calculait a partir des montants reellement percus voila les joies de l administration et de ce nouveau dispositif sans parler de certains salaries qui manquent de formation et d informations je suppose ;0;0;1;0;0;0;0;['21', 'apl', 'caf', 'drm', 'ressourc', 'fraud', 'divers', 'inexact', 'appel', 'attest', 'main', 'dessus', 'caf', 'pai', 'constat', 'tiennent', 'compt', 'drm', 'aberr', 'coinc', 'det', 'percus', 'joi', 'administr', 'manquent', 'format', 'suppos'];21 apl caf drm ressourc fraud divers inexact appel attest main dessus caf pai constat tiennent compt drm aberr coinc det percus joi administr manquent format suppos;-1
je remarque que les conseillers polemploi dans ma commune ne connaissent strictement rien a la creation d entreprise  ils melangent les textes de lois de la micro entreprise des autres statuts  au resultat  ils ne vous payent pas vos indemnites a temps  ce qui fait des trous dans ma tresorerie  a chaque fois  il faut se battre pour etre payer correctement  non seulement  la micro entreprise me prend du temps mais en plus polemploi me met des battons dans les roues   ;0;0;0;1;0;0;0;['remarqu', 'polemploi', 'connaissent', 'strict', 'melangent', 'lois', 'micro', 'payent', 'indemnit', 'trous', 'tresorer', 'battr', 'pai', 'micro', 'polemploi', 'batton', 'rou'];remarqu polemploi connaissent strict melangent lois micro payent indemnit trous tresorer battr pai micro polemploi batton rou;3
rien ne fonctionne  complexe conseillers qui vendent leur produit pour prouver qu ils servent a qlq chosegros budget pour peu de resultatsquand le gouvernement va reagir et fermer ces etablissements qui coutent tres cherje remercie les agences d interim ;1;1;0;1;1;1;0;['vendent', 'produit', 'prouv', 'qlq', 'chosegros', 'budget', 'resultatsquand', 'gouvern', 'reag', 'ferm', 'etabl', 'coutent', 'cherj', 'interim'];vendent produit prouv qlq chosegros budget resultatsquand gouvern reag ferm etabl coutent cherj interim;-1
le 19 avril 2017  j ai ete licencie de mon poste d hotesse d accueil en entreprise sans preavis et sans procedureje me suis inscrite au pole emploi d asnieres sur seine le en avril 2017 de la ville d asnieres sur seinele pole emploi a refuse de finaliser la procedure dama qui permet la transmission de mon actualisation au pole emploi pour le versement de mes indemnites de chomage tout les mois  j ai ete oblige de reclamer a l accueil une attestation d actualisation que j envoyais moi meme par e mail au gestionnaire de la reunion des musees nationaux  les delais de versement de mes indemnites de chomage n etaient pas respectes  le pole emploi ne me remettait pas d attestation de versement de mon chomage  j ai ete accueilli a chaque fois comme une personne etrangere et en situation d irregularites  j ai ete denigre suite a mon demenagement vers la ville de capesterre belle eau  le pole emploi m a informe que la transmission de mon dossier vers la guadeloupe prendrait plus d une annee le pole emploi de capesterre belle eau a dit que j etais inscrite au pole emploi depuis le 13 fevrier 2018  je me suis toujours actualise dans les delais  le pole emploi a modifie a plusieurs reprises ma date d inscription au pole emploi le pole emploi de capesterre belle eau a refuse de l accorder l aide a l obtention du permis de conduire  le pole emploi a refuse de me remettre l entierete de mes indemnites de chomage salarie le pole emploi a refuse de me remettre mes indemnites d artiste auteur pour mon activite de creatrice textileplusieurs demandes de formation m ont ete refuse ;1;0;0;1;0;1;0;['19', '2017', 'licenc', 'hotess', 'preav', 'procedurej', 'inscrit', 'asnier', 'sein', '2017', 'asnier', 'seinel', 'procedur', 'indemnit', 'chomag', 'reclam', 'attest', 'e', 'gestionnair', 'muse', 'national', 'indemnit', 'chomag', 'respect', 'remet', 'attest', 'chomag', 'etranger', 'irregularit', 'denigr', 'demenag', 'capesterr', 'eau', 'dossi', 'guadeloup', 'prendr', 'capesterr', 'eau', 'inscrit', '13', '2018', 'capesterr', 'eau', 'accord', 'obtent', 'conduir', 'remettr', 'entieret', 'indemnit', 'chomag', 'remettr', 'indemnit', 'artist', 'auteur', 'creatric', 'textileplusieur', 'format'];19 2017 licenc hotess preav procedurej inscrit asnier sein 2017 asnier seinel procedur indemnit chomag reclam attest e gestionnair muse national indemnit chomag respect remet attest chomag etranger irregularit denigr demenag capesterr eau dossi guadeloup prendr capesterr eau inscrit 13 2018 capesterr eau accord obtent conduir remettr entieret indemnit chomag remettr indemnit artist auteur creatric textileplusieur format;3
je suis inscrite au pole emploi depuis en avril 2017  mon dossier a ete transfere vers le pole emploi de la ville de capesterre belle eau en guadeloupesuite au transfert de mon dossier  j ai rencontre plusieurs difficultes techniques avec mon espace de demandeur d emploi je n ai pas acces aux courriers qui me sont adresses via mon espace en ligne  apres le telechargement de ces courriers  le fichier est dit  corrompu  j ai signaler ce probleme a plusieurs reprises par des reclamations j ai change d appareil electronique les courriers qui sont deposes a mon espace de demandeur d emploi sont toujours illisibles je denonce un codage volontairement malveillant ;1;1;0;0;0;0;0;['inscrit', '2017', 'dossi', 'transfer', 'capesterr', 'eau', 'guadeloupesuit', 'transfert', 'dossi', 'techniqu', 'courri', 'telecharg', 'courri', 'corrompu', 'reclam', 'appareil', 'electron', 'courri', 'illisibl', 'denonc', 'codag', 'volontair', 'malveil'];inscrit 2017 dossi transfer capesterr eau guadeloupesuit transfert dossi techniqu courri telecharg courri corrompu reclam appareil electron courri illisibl denonc codag volontair malveil;-1
malgre les mails envoyes  2 semaines avant  pour demander un document indispensable pour une inscription a un concours  reorientation professionnelle  en precisant la date buttoir pour un des etablissements en vue  impossible d obtenir un rendez vous meme telephonique avant la dite date  resultat  la conseillere au telephone explique qu elle va envoyer le document des la fin de l appel  11h30   document recu a 15h  impossible a ouvrir  la derniere levee etant a 16h  deux jours apres la conseillere envoie un mail    desolee  je suppose qu il est trop tard   idem pour une convention de stage  document transmis il y a 3 semaines  stages dans 2 semaines  toujours aucun retour ;0;0;1;1;1;0;0;['docu', 'indispens', 'concour', 'reorient', 'buttoir', 'etabl', 'docu', 'appel', '11h30', 'docu', '15h', 'leve', '16h', 'desole', 'suppos', 'idem', 'convent', 'docu'];docu indispens concour reorient buttoir etabl docu appel 11h30 docu 15h leve 16h desole suppos idem convent docu;3
je demande ma mise a la retraite  impossible d avoir un conseiller  pole emploi me demande un formulaire de regularisation de retraite impossible de l obtenir  a partir de mars  pole emploi ne me versera plus mes aides  ;1;1;1;1;0;0;0;['retrait', 'formulair', 'retrait'];retrait formulair retrait;-1
j ai trouve la perle rare  apres avoir fait toutes les demarches aupres de pole emploi pour le recrutement  d un salarie d origine argentine   j ai ete bloque dans la procedure de finalisation de ma demande d autorisation  le site internet ne fonctionne pas  clairement il y a vraiment un probleme  la ligne dediee non plus  je n ai jamais reussi a avoir qui que ce soit au telephone  mes differents courriers sont quasi tous restes sans reponse  j ai commence les demarches fin aout pour une embauche mi novembre  ce futur employe qui avait deja reserver son billet d avion est maintenant ici et je ne sais pas quoi lui dire puisque il n a pas pu avoir son visa de travail  je suis au pied du mur et lui d autant plus  je suis enerve  decu et desuvre  l heure est grave  c est bien de mettre en place des systeme moderne mais de conserver le papier c est bien aussi   ou de donner des alternatives quand cela ne fonctionne pas ;1;0;1;0;0;0;0;['perl', 'rar', 'demarch', 'origin', 'argentin', 'procedur', 'autoris', 'internet', 'dedie', 'courri', 'quas', 'rest', 'repons', 'demarch', 'mi', 'futur', 'reserv', 'billet', 'avion', 'pied', 'mur', 'enerv', 'desuvr', 'grav', 'system', 'modern', 'conserv', 'altern'];perl rar demarch origin argentin procedur autoris internet dedie courri quas rest repons demarch mi futur reserv billet avion pied mur enerv desuvr grav system modern conserv altern;3
j ai du envoyer des documents a pole emploi  pour cela on scanne ses documents qu on enregistre  sur l ordinateur et il y a sur le site internet  pole emploi sur la page de l espace personnel des liens vers dossier demandeur d emploi   transmettre et suivre les documents  envoyer le document  selectionner un document  contexte d envoi  situation  selection   vous pourriez rajouter autres  courriersdivers documents ;1;1;0;0;0;0;0;['docu', 'docu', 'internet', 'lien', 'dossi', 'docu', 'docu', 'selection', 'docu', 'context', 'select', 'rajout', 'courriersdiver', 'docu'];docu docu internet lien dossi docu docu selection docu context select rajout courriersdiver docu;-1
aucune communication ou alors avec une machine qui demande des choses dont on a aucune idee  resultat je me sens rabaisse en tant que senior ;1;0;1;0;0;0;0;['machin', 'ide', 'rabaiss', 'senior'];machin ide rabaiss senior;3
voila  cela fait 2 ans consecutifs que pole emploi me redemande du trop percus  2 contrats que j ai du commencer en milieu de mois  dans le domaine d agent de collectivite locale le pourquoi ils me redemandent le trop percus est simple    les mairies font leur declaration de salaires au centre des impots vers le 20 de chaque mois  c est connu  et on est donc paye que le mois suivant  il semblerait que pole emploi considere qu il s agit de travail au noir pourtant on s actualise chaque mois  on leur signale ce probleme  mais pour des raisons inconnues  ils n en tiennent pas compte je demande au gouvernement de prendre en compte ce probleme que l on doit rencontrer egalement dans le prive afin de pouvoir vivre correctement de son travail merci d avoir lu mon commentaire et de le comprendre;0;0;1;0;1;0;0;['consecut', 'redemand', 'percus', 'contrat', 'milieu', 'agent', 'collectivit', 'redemandent', 'percus', 'mair', 'declar', 'salair', 'impot', 'pay', 'sembl', 'agit', 'noir', 'raison', 'inconnu', 'tiennent', 'compt', 'gouvern', 'compt', 'lu', 'commentair'];consecut redemand percus contrat milieu agent collectivit redemandent percus mair declar salair impot pay sembl agit noir raison inconnu tiennent compt gouvern compt lu commentair;3
lorsque j appelle pour demander de l aide ou une confirmation concernant des documents que j ai transmis a pole emploi  les personnes avec qui j echange au telephone ne sont pas gentilles et semblent agacees par mon appel  je pose des questions simples pour etre certain de bien comprendre les procedures et je recois des reponses prononcees sur un ton degradant et grossier  je ne suis pas en mesure de demander de l aide d une maniere positive et encourageante  mais j ai l impression de leur faire perdre leur temps  meme s ils sont la pour cela  de plus  je suis souvent oblige d appeler et de m assurer que mes documents et paiements sont faits  car ils semblent etre oublieux   compte tenu de ma situation de chomeur  je n ai pas besoin d etre deprime par les services censes m aider a trouver un emploi et a me reinserer dans la societe  je suis choque par le traitement que je recois   cordialement  personne a la recherche d un emploi;0;0;1;0;0;0;0;['appel', 'docu', 'gentill', 'semblent', 'agace', 'appel', 'simpl', 'procedur', 'repons', 'prononce', 'degrad', 'grossi', 'encourag', 'impress', 'appel', 'assur', 'docu', 'pai', 'semblent', 'oublieux', 'compt', 'tenu', 'deprim', 'reinser', 'choqu'];appel docu gentill semblent agace appel simpl procedur repons prononce degrad grossi encourag impress appel assur docu pai semblent oublieux compt tenu deprim reinser choqu;-1
je suis un senior de 58 ans qui a souhaite devenir autoentrepreneur apres son licenciement fin mars  j ai sollicite a plusieurs reprises mon conseiller pole emploi pour m aider dans mes demarches   pas le temps de me recevoir  j ai commis une erreur en construisant mon dossier qui aurait pu etre eviter si j avais beneficie de l aide demandee  j ai trouve une mission suite a 4 entretiens avec une societe de prestations dans le cadre de ma nouvelle entreprise  celle ci  debutera debut mai prochain  il est important d etre soutenu dans la premiere periode de chomage car cela determine son investissement personnel et sa politique de recherche d emploi  l humain est important pour affronter l epreuve du chomage  internet ne suffit pas     ;0;0;0;1;0;1;0;['senior', '58', 'deven', 'autoentrepreneur', 'licenci', 'demarch', 'comm', 'construis', 'dossi', 'benefic', 'demande', 'debut', 'soutenu', 'chomag', 'determin', 'invest', 'polit', 'affront', 'epreuv', 'chomag', 'internet', 'suff'];senior 58 deven autoentrepreneur licenci demarch comm construis dossi benefic demande debut soutenu chomag determin invest polit affront epreuv chomag internet suff;-1
bonjour j ai eu recemment un rendez vous avec ma nouvelle conseillere pole emploi  avant meme de l avoir rencontre j avais une tres grosse apprehension sur le fait qu elle ne serait pas capable de repondre a mes questions  ni meme de trouver des solutions a mon changement de situation professionnel mais au final  une tres belle rencontre  elle a ete attentive  encourageante  pleine de bons conseils que je suis a la lettre  elle m a bien remotivee et relancer gout a mon projet  pour tout cela merci  ;0;0;0;0;0;1;0;['recent', 'gross', 'apprehens', 'capabl', 'solut', 'encourag', 'plein', 'remotive', 'gout'];recent gross apprehens capabl solut encourag plein remotive gout;-1
je suis inscrit a pole emploi  j ai eu un questionnaire de controle que j ai du remplir et envoyer  comme je n arrivais pas a l envoyer par l espace pole emploi  je l ai transmis a l adresse mail de la personne concernee qui m a envoye le mail  je n ai pas eu de reponse  apres  j ai recu un appel comme quoi je n avais pas envoye les documents  alors a la suite de cet appel j ai re envoye a l adresse les documents en utilisant  wetransfer  pour avoir la preuve que les documents ont ete bien telecharges  trois jours apres j ai recu un message de  wetransfer  que le document n avait pas ete telecharge ensuite j ai eu dans mon espace pole emploi un avertissement de radiation me precisant que si je ne renvoyais pas les documents j allai etre radie mais cela n est pas le seul probleme    avant ce probleme j avais fait une demande de formation pour une reconversion dans un autre domaine que le mien  et cela m a ete refuse car ce n etait pas dans mon domaine de competence  on m a alors inscrit a une formation pour rechercher des formations a pole emplois a laquelle je n ai pas ete  mais si je ne voulais pas aller a cette formation  il fallait que j envoie un mail a ma conseillere  en disant que je n etais pas interesse  j ai fait cela  et je pensais donc que le mail allait etre pris en compte je n ai donc pas ete a la formation et trois jours apres  j ai recu une lettre dans mon espace pole emploi que me precisait que si je ne donnais pas une justification valable  j allais etre radie suite a ca j ai demande un changement de conseiller  mais le traitement des mails ne s est toujours pas ameliore ;1;0;0;0;0;0;0;['inscrit', 'questionnair', 'arriv', 'concerne', 'repons', 'appel', 'docu', 'appel', 're', 'docu', 'wetransf', 'docu', 'telecharg', 'wetransf', 'docu', 'telecharg', 'avert', 'renvoi', 'docu', 'allai', 'format', 'reconvers', 'mien', 'competent', 'inscrit', 'format', 'format', 'format', 'allait', 'compt', 'format', 'justif', 'valabl', 'allais'];inscrit questionnair arriv concerne repons appel docu appel re docu wetransf docu telecharg wetransf docu telecharg avert renvoi docu allai format reconvers mien competent inscrit format format format allait compt format justif valabl allais;1
je suis venu avoir de l aide au pole emploi 7 collines pour pouvoir de reinscrire chez pole emploi car j ai ete radie suite a l expiration de mon titre de sejour  j ai ete accueilli par un jeune service civique qui m a bien explique la raison de ma radiation et qui ma aide a pouvoir me reinscrire j en suis satisfait ;0;0;0;0;0;1;0;['venu', 'collin', 'reinscrir', 'expir', 'sejour', 'jeun', 'civiqu', 'reinscrir', 'satisf'];venu collin reinscrir expir sejour jeun civiqu reinscrir satisf;3
j ai suivi le programme d accompagnement intensif jeune de pole emploi  ma conseillere a ete tres a l ecoute  ce programme m a ete d une grande aide puisque j ai pu passer une formation essentielle pour la suite de mon projet professionnel ;0;0;0;1;0;0;0;['programm', 'intens', 'jeun', 'programm', 'format', 'essentiel'];programm intens jeun programm format essentiel;1
bonjour je tenais a raconter une experience que j ai vecu avec pole emploi  c est un accompagnement dans le cadre d un programme de groupe qui nous a emmene a reflechir a comment se reprendre en charge afin d aller de l avant en d autre termes comment etre resilient et reussir a rebondir  on a ete accompagnes par un psychologue du travail et une conseillere  l evolution est tres interessante et m a enormement aide a voir les choses du bon cote afin de reprendre confiance en moi et d aller de l avant en depassant les prejuges  on etait le premier groupe a tester cela et j espere que d autres personnes pourront en beneficier ;0;0;0;0;0;1;0;['ten', 'racont', 'programm', 'group', 'emmen', 'reflech', 'resilient', 'reuss', 'rebond', 'psychologu', 'evolu', 'depass', 'prejug', 'group', 'test', 'pourront'];ten racont programm group emmen reflech resilient reuss rebond psychologu evolu depass prejug group test pourront;-1
apres la perte de mon emploi  j ai ete tres bien conseillee et suivie par le pole emploi de la ville de lunel  ma conseillere ainsi que toute l equipe ont ete remarquables  ils font un travail extraordinaire  en termes d aide pour une resilience personnelle  ou au niveau des formations qu ils proposent  il est important de notifier ;0;1;0;0;0;1;0;['conseille', 'lunel', 'equip', 'remarqu', 'extraordinair', 'resilient', 'format', 'proposent', 'notifi'];conseille lunel equip remarqu extraordinair resilient format proposent notifi;1
service concerne  pole emploi de lunelapres avoir exerce le meme metier pendant 16 ans  je ne souhaitais plus l exercer et voulais donc entamer une reconversion professionnelle  mais cela representait un gros changement et beaucoup d apprehensions  ma conseillere du pole emploi de lunel a ete a mon ecoute et m a aide a construire ce nouveau projet  pour cela  j ai pu echanger avec un psychologue du travail  et j ai ensuite beneficie de la prestation activ  projet  celle ci m a permis de definir clairement un nouveau projet et de mettre en place les actions necessaires pour me reconvertir  j ai pu entamer une formation pour commencer a me former a mon nouveau metier  aujourd hui je suis en contrat de professionnalisation afin de pouvoir obtenir un diplome dans ce nouveau metier ma conseillere a ete disponible et a repondu a mes questions tout au long de ce parcours et son aide a ete precieuse  elle a su me proposer les bons outils pour entamer cette reconversion  sans cela je n aurais sans doute pas ose  sauter le pas  ;0;1;1;1;0;0;0;['lunelapr', 'exerc', '16', 'exerc', 'entam', 'reconvers', 'represent', 'apprehens', 'lunel', 'construir', 'psychologu', 'benefic', 'defin', 'reconvert', 'entam', 'format', 'contrat', 'professionnalis', 'precieux', 'entam', 'reconvers', 'ose', 'saut'];lunelapr exerc 16 exerc entam reconvers represent apprehens lunel construir psychologu benefic defin reconvert entam format contrat professionnalis precieux entam reconvers ose saut;-1
tres bonne experience  une conseillere a l ecoute et tres reactive a toutes mes interrogations et besoins  ;0;1;0;1;0;1;0;['reactiv', 'interrog', 'besoin'];reactiv interrog besoin;-1
