Description;accueil;Description_2;Description_3;clusters
ca fait trois fois que je viens pour motif de changement des indemnisations on m a dit trois quelque chose de different les gens ont l air competents pourtant l information est peut etre mal transmise ou pas du tout  formez vos collaborateurs    ;1;['indemnis', 'air', 'competent', 'collabor'];indemnis air competent collabor;-1
j ai ete inscrite a cette agence en aout 2022 suivi par une dame  dont je ne mentionnerais pas le nom  que je n ai  entre autres  jamais rencontrer    je possede a ce jour une rqth et une oeth qui de ce fait normalement doit etre suivi par cap emploi   mais cap emploi justement    parlons en   un organisme qui doit aider et accompagner les personnes en situation de handicap mais qui n ai autres qu un organisme finance par l etat et qui ne sert a rien   car a l heure d aujourd hui il fusionne avec cette organisme d incompetents qui n ai autre que pole emploi    en 6 mois ils m ont proposer une sorte de formation  bilan de competences  avec archer    bilan  qui n a servi a rien car en sachant qu auparavant j avais deja effectue un bilan de competences financer par la cpam    j ai recontacter par la suite ma conseillere pole emploi qui m a inviter a me presenter a l agence des lors que des offres d emploi ou de formations ce presenterait dans n importe quelles domaines    en sachant que justement je ne peux travailler dans n importe quelles secteurs    du grand n importe quoi   ne comptez absolument pas sur eux pour trouver un emploi  ;1;['inscrit', 'agenc', 'possed', 'rqth', 'oeth', 'cap', 'cap', 'just', 'parlon', 'person', 'handicap', 'financ', 'fusion', 'incompetent', 'format', 'archer', 'serv', 'auparav', 'financ', 'cpam', 'recontact', 'invit', 'agenc', 'offre', 'format', 'domain', 'just', 'secteur', 'compt'];inscrit agenc possed rqth oeth cap cap just parlon person handicap financ fusion incompetent format archer serv auparav financ cpam recontact invit agenc offre format domain just secteur compt;0
le personel manque vraiment d empathie envers les personnes inscrits au pole emploi aucune discretion concernant le traitement de nos donnees personnelles on demande aux conseilleres une aide sur les ordinateurs concernent notre espace personnel documents a scanner ect ect on a l impression de les deranger plus qu autre chose    aucun sourire c est a peine si on vous dit bonjour  je suis profondement choquee par ce manque de politesse et de discretion  vraiment il manque une formation a ce personel sur le site romans;1;['personel', 'empath', 'enver', 'person', 'inscrit', 'discret', 'personnel', 'concernent', 'personnel', 'docu', 'ect', 'ect', 'impress', 'derang', 'sourir', 'profond', 'choque', 'politess', 'discret', 'format', 'personel', 'roman'];personel empath enver person inscrit discret personnel concernent personnel docu ect ect impress derang sourir profond choque politess discret format personel roman;1
j ai ete au pole emploi de romans pour m inscrire au plan d aide de recherche d emploi pour les 18 25 ans  lors de l entretien  le conseiller me demande mes origines  bien que cette question soit peu approprie  je n y ai vu aucun mal et j ai aimablement repondu que je suis antillais  suite a ca j ai eu le droit a des remarques desobligeantes du genre  par contre il faut que vous soyez vif  parceque vous les antillais c est doucement le matin  pas trop vite l apres midi     j etais choque  a present j ai 25 ans  cela fait maintenant 4 ans que j attend leurs pseudo  aide  que je n ai jamais obtenu meme apres l obtentionde mon caces 1 3 5  mon dossier a surement ete  perdu   et meme si je ne sais pas comment il s est perdu je sais tres bien pourquoi ;1;['roman', 'plan', '18', 'origin', 'appropr', 'aimabl', 'antill', 'remarqu', 'desoblig', 'vif', 'parcequ', 'antill', 'douc', 'choqu', 'attend', 'pseudo', 'obtenu', 'obtentiond', 'cac', 'dossi', 'sur'];roman plan 18 origin appropr aimabl antill remarqu desoblig vif parcequ antill douc choqu attend pseudo obtenu obtentiond cac dossi sur;0
tres bon accueil  reponses efficaces et bienveillante ;1;['repons', 'efficac'];repons efficac;1
quand au telephone on a une personne agreable qui nous confirme que je peux accompagner mon mari a son rdv et qu en arrivant on tombe sur une personne desagreable qui refuse que je rentre avec lui  il y a de quoi etre agacee sachant que j avais pris mon apres midi specialement pour cet entretien    et que d autres sont autorises   ;1;['person', 'confirm', 'rdv', 'arriv', 'person', 'agace', 'special', 'autoris'];person confirm rdv arriv person agace special autoris;1
merci a la conseillere sara et a pole emploi romans d avoir enfin recruter des personnes aimable  serviable et qui prennent bien le temps  de repondre au mieux a nous demandeur d emploi   en effet  je souhaitais feliciter cette conseillere sara en particulier   elle a fait preuve de professionnalisme et bienveillance envers nous demandeurs d emploi qui sommes bien souvent  neglige    enfin  je tenais a vraiment prendre le temps de souligner l attitude profesionnelle de cette personne  car oui  quand ca se passe bien  il faut aussi le dire   bonne continuation a cette dame  au plaisir ;1;['sar', 'roman', 'person', 'aimabl', 'serviabl', 'prennent', 'felicit', 'sar', 'professionnal', 'enver', 'neglig', 'ten', 'soulign', 'attitud', 'profesionnel', 'person', 'plais'];sar roman person aimabl serviabl prennent felicit sar professionnal enver neglig ten soulign attitud profesionnel person plais;0
une honte d accueillir les recrutements de la sfam dans vos locaux  le recruteur ludovic n a aucune honte  il convoque a 9h30 pour prendre qu a 10h30 et si il nous a deja eu en entretien pour un autre poste il nous refuse l entretien  pourquoi nous convoquer dans ce cas la    bien a l image de la societe pour qui il travaille  des escrocs notoires sans education juste bon a arnaquer des gens sans defenses;1;['sfam', 'recruteur', 'ludovic', 'convoqu', '9h30', '10h30', 'convoqu', 'imag', 'escroc', 'notoir', 'educ', 'arnaqu', 'defens'];sfam recruteur ludovic convoqu 9h30 10h30 convoqu imag escroc notoir educ arnaqu defens;0
ce matin je suis alle car j avais un probleme d inscription je suis tombe sur une dame qui s appelle joel et je la remercierai jamais assez pour sa patience et gentillesse  il faut mettre plus de personnes comme elle dans cette agence encore merci car malheureusement les autres fois ou je suis alle je suis toujours tombe sur des personnes qui voulait rien savoir;1;['joel', 'remerci', 'patienc', 'gentilless', 'person', 'agenc', 'person'];joel remerci patienc gentilless person agenc person;1
superbe accueil  personnel disponible et souriant  me le a travers le masque ;1;['superb', 'personnel', 'souri', 'traver', 'masqu'];superb personnel souri traver masqu;-1
faire faire 80 km pour un rendez vous inutile qui a consiste a scanner mon passeport  scandaleux  ;1;['80', 'km', 'consist', 'passeport', 'scandal'];80 km consist passeport scandal;1
ils sont t tres a  l ecoute au pole  emploi rouen saint sever ils nous donne de bons conseils seille et sont tres aimable rin a  y redire;1;['rouen', 'saint', 'sev', 'seil', 'aimabl', 'rin', 'redir'];rouen saint sev seil aimabl rin redir;1
tres a l ecoute et un suivi rigoureux       ;1;['rigour'];rigour;-1
personnel a l ecoute  tres serviable et professionne l;1;['personnel', 'serviabl', 'profession'];personnel serviabl profession;1
j ai ete bien recue  ecoutee et ma demande a ete prise en consideration  merci a mon conseiller ;1;['ecoute'];ecoute;1
lieu propre  bon accueil et conseiller agreable ;1;['propr'];propr;-1
accueil impeccable et explications super ;1;['impecc'];impecc;1
super accueil et c pas la premiere fois   aujourd hui une dame qui nous a assiste sur les ordinateurs juste adorable   d une gentillesse et si douce je tenais vraiment la remercier encore pour son professionnalisme juste qu elle etait tte seule a gerer tt le monde faudrait mettre une collegue aussi efficace qu elle car elle etait un peu sur mesure a mon gout;1;['ador', 'gentilless', 'douc', 'ten', 'remerci', 'professionnal', 'tte', 'tt', 'collegu', 'gout'];ador gentilless douc ten remerci professionnal tte tt collegu gout;0
personnel sympathique;1;['personnel', 'sympath'];personnel sympath;-1
bilan de deux annees  pole emploi   3 conseilleres consecutives  rdv avec la premiere qui m explique tout  je me sens en confiance  puis au bout de qq mois  je decouvre  que j ai une nouvelle conseillere avec qui je n ai eu qu un rdv telephonique  quant a la 3eme  elle m est totalement inconnue  je demande des aides administratives pour la creation de ma micro entreprise  reponse   il n y en a pas  la deuxieme m inscrit a une formation sur ma demande mais je decouvre par la conseillere en charge de la formation qu une fois votre me declaree  vous n avez plus droit aux formations   info que l on ne m a pas donne en amont  ca aurait ete sympa  pire  ma conseillere attitree me propose de fermer ma me  de faire la formation et de la reouvrir apres  certes    du coup  je n ai au droit a aucune formation et je me debrouille toute seule pour le developpement de ma me pire j ai travaille 2 semaines en entreprise  resultat   votre salaire est deduit des indemnites donc en fin de mois    une indemnite diminuee avec du stress en plus et de l essence en moins  c est quoi deja le boulot de pole emploi  ;1;['consecut', 'rdv', 'qq', 'decouvr', 'rdv', '3em', 'inconnu', 'administr', 'micro', 'repons', 'inscrit', 'format', 'decouvr', 'format', 'format', 'info', 'amont', 'attitre', 'ferm', 'format', 'reouvr', 'cert', 'format', 'debrouill', 'developp', 'salair', 'deduit', 'indemnit', 'indemnit', 'diminue', 'stress', 'essenc', 'boulot'];consecut rdv qq decouvr rdv 3em inconnu administr micro repons inscrit format decouvr format format info amont attitre ferm format reouvr cert format debrouill developp salair deduit indemnit indemnit diminue stress essenc boulot;0
tres bien accueilli et bien accompagne  conseillere tres calme et competente  12  ;1;['calm', 'competent'];calm competent;-1
hyper desagreable les personnes qui y travaillent  honteux ;1;['hyp', 'person', 'travaillent'];hyp person travaillent;1
j ai ete recu par une conseillere vraiment tres sympathique ;1;['sympath'];sympath;-1
agence d incapable  annonce des trop percus alors que les actualisation etais faite en temps et en heure  directeur d agence qui n assume pas et qui decide de cloturer la discussion par mail quand on lui annonce qu ont conteste ce trop percus   la seule etoile que je suis oblige de mettre reviens a la conseillere qui m avais accompagne dans mon projet de formation l annee derniere et qui faisait elle  parfaitement son travail  contrairement a d autre  ;1;['agenc', 'percus', 'directeur', 'agenc', 'assum', 'clotur', 'discuss', 'contest', 'percus', 'revien', 'format'];agenc percus directeur agenc assum clotur discuss contest percus revien format;0
on annule mon rdv avec un conseiller sans explication    histoire de bien retarder ma recherche d emploi;1;['rdv', 'histoir', 'retard'];rdv histoir retard;1
conseillere professionnelle  de la place pour se garer  ;1;[];;-1
personnel ponctuel et engage  dans mon cas ils ont fait de leur mieux pour comprendre ma situation et me conseiller   l administratif c est toujours complique  courage ;1;['personnel', 'ponctuel', 'engag', 'administr', 'courag'];personnel ponctuel engag administr courag;-1
agreablement surprise par la conseillere pole emploi que j ai vue et par l agence  ils ont ouvert et m ont prise en charge a l heure  ont ete tres accueillants  la conseillere a ete tres souriante et ma donne de bons conseils  ca fait vraiment plaisir  ;1;['agenc', 'ouvert', 'souri', 'plais'];agenc ouvert souri plais;1
car le personnel est tres a l ecoute et aide bien dans les demarches;1;['personnel', 'demarch'];personnel demarch;-1
il y a du mieux est c est tant mieux notamment dans les relations entre organismes et il faut savoir qu y aller directement peut faire gagner un peu de temps  ;1;[];;-1
se faire renvoyer chez soit sous la plus apres avoir tourne en rond pendant 1h sans trouver le batiment cacher je ne sais ou  ils veulent pas qu on bosse en fait c est ca   ;1;['renvoi', 'rond', '1h', 'cach', 'veulent', 'boss'];renvoi rond 1h cach veulent boss;1
tres bon accueil  personne tres agreable avec de tres bonnes explications et renseignements ;1;['person'];person;-1
personnelles tres accueillant et serviable ;1;['personnel', 'serviabl'];personnel serviabl;1
toujours tres bien accueillie  le delais a ete assez long pour avoir un rdv avec ma conseillere  mais on sent une reelle bienveillance dans les echanges  prise en charge de mon dossier rapide et efficace  rappels reguliers de la part de la conseillere pour m informer  c est tres appreciable  rien a voir avec les grosses agences  le contact est humain ;1;['rdv', 'dossi', 'reguli', 'appreci', 'gross', 'agenc', 'contact'];rdv dossi reguli appreci gross agenc contact;1
bonne accueil tres aimable et direct et a l ecoute;1;['aimabl'];aimabl;1
tres bon accueil  personne tres agreable avec de tres bonnes explications et renseignements ;1;['person'];person;-1
personnelles tres accueillant et serviable ;1;['personnel', 'serviabl'];personnel serviabl;1
toujours tres bien accueillie  le delais a ete assez long pour avoir un rdv avec ma conseillere  mais on sent une reelle bienveillance dans les echanges  prise en charge de mon dossier rapide et efficace  rappels reguliers de la part de la conseillere pour m informer  c est tres appreciable  rien a voir avec les grosses agences  le contact est humain ;1;['rdv', 'dossi', 'reguli', 'appreci', 'gross', 'agenc', 'contact'];rdv dossi reguli appreci gross agenc contact;1
bonne accueil tres aimable et direct et a l ecoute;1;['aimabl'];aimabl;1
bonjour a tous je vous laisse un avis car je me suis rendu ce matin a l agence de st priest et j ai etais tres agreablement surprise de l accueil et du professionnalisme des personnes qui m ont accueilli  au vu des commentaires negatifs  que j avais pu lire    je peux vous confirmer que pour moi c etait une tres bonne experience ;1;['agenc', 'st', 'priest', 'professionnal', 'person', 'commentair', 'confirm'];agenc st priest professionnal person commentair confirm;1
tres mal recu  pas d empathie  pas de bienveillance  genre marche ou creve  alors qu ils travaillaient a temps partiel de chez eux  le reste paye par l etat  cause covid   pour le 1er confinement     honteux   ;1;['empath', 'crev', 'pay', 'covid', 'confin'];empath crev pay covid confin;0
merci a madame felisiak pour l aide qu elle m a apporte une bonne continuation a vous ;1;['felisiak', 'apport'];felisiak apport;1
rien a dire  je suis surprise en voyant les avis negatifs  j avoue qu ils nous aident pas trop quant a la recherche d un travail mais ils ne sont pas chiants et sont a l ecoute quand on en a besoin ;1;['avou', 'aident', 'chi'];avou aident chi;1
sont ils capable de trouver un emploi a par le leur ;1;['capabl'];capabl;1
bon accueil;1;[];;-1
cette agence c est une catastrophe    le pire de tout la france     meme les conseillers rest 2 3 mois maximum apres ils annonce leurs depart lol frenchement eviter cette agence si vous pouvez;1;['agenc', 'rest', 'maximum', 'lol', 'french', 'agenc'];agenc rest maximum lol french agenc;-1
franchement  c est vraiment pourri ce pole emploi  a l accueil  les agents ne sont pas tres agreables  les conseillers pole emploi ne servent a pas grand chose  ils parlent plus avec les collegues qu a avec les demandeurs d emplois  et nous font attendre pour parler que quelques minutes  pour un service public c est un peu limite  les boites d interim conseillent mieux et plus attentifs que ceux qui travaillent a pole emploi  ils sont vraiment payer a rien faire  un vrai scandale  ;1;['agent', 'parlent', 'collegu', 'servic', 'interim', 'conseillent', 'travaillent', 'pai', 'scandal'];agent parlent collegu servic interim conseillent travaillent pai scandal;1
endroit avec personnelles correctes;1;['endroit', 'personnel'];endroit personnel;1
temps d attente trop longue  peu d explication  mal aimable  desagreable pendant les explications  te laisse seule dans le bureau le temps d aller parler avec un collegue pendant un rdv     ;1;['aimabl', 'bureau', 'collegu', 'rdv'];aimabl bureau collegu rdv;1
super accueil  une aide precieuse de demarches sur ordinateur   merci ;1;['precieux', 'demarch'];precieux demarch;1
venus pour une situation complexe  tres bien accueillis  de l ecoute et de l empathie et au final une aide precieuse merci ;1;['venus', 'empath', 'precieux'];venus empath precieux;1
service mediocre  je sais pas comment vous recrutez votre personnel  mais aleatoirement visiblement  le personnel est irrespectueux  on dirait qu ils n ont pas envie de travailler  qu ils sont blaze de la vie  je suis tombe sur une dame hyper seche aujourd hui  heureusement que pole emploi est monopole dans son secteur  ils ont de la chance d etre les seuls  sinon j aurais laisse tombe depuis lonnnngtemps avec un service de m rde et des dames tres hautaines et seches pffff de quoi passer une mauvaise journee a cause de ces comportements  une education qui laisse a desirer ;1;['servic', 'mediocr', 'personnel', 'aleatoir', 'visibl', 'personnel', 'irrespectu', 'dir', 'blaz', 'hyp', 'sech', 'monopol', 'seul', 'lonnnngtemp', 'servic', 'rde', 'hautain', 'sech', 'pffff', 'educ', 'desir'];servic mediocr personnel aleatoir visibl personnel irrespectu dir blaz hyp sech monopol seul lonnnngtemp servic rde hautain sech pffff educ desir;0
agent disponible  aimables  a l ecoute  lieux propre et plutot bien equipes ;1;['agent', 'aimabl', 'lieux', 'propr', 'equip'];agent aimabl lieux propr equip;1
polis  agreables  empathiques  solidaires    vraiment top la team chez saint genevieve;1;['empath', 'solidair', 'top', 'team', 'saint', 'geneviev'];empath solidair top team saint geneviev;-1
tres bon accueil  disponibilite et courtoisie  ils repondent meme le dimanche par mail   sourire telephonique  traitement immediat ou a peine differe de quelques heures  patience et reactivite  malgre nombreuses demandes formulees  j en suis si etonnee que j ai decide de le noter ici dans l espoir qu ils le lisent egalement  on ne le dit pas assez quand les agents font un bon travail  merci a vous ;1;['disponibilit', 'courtois', 'repondent', 'dimanch', 'sourir', 'immediat', 'differ', 'patienc', 'reactivit', 'nombreux', 'formule', 'etonne', 'espoir', 'lisent', 'agent'];disponibilit courtois repondent dimanch sourir immediat differ patienc reactivit nombreux formule etonne espoir lisent agent;0
j y etais alle l an dernier  parce que  dans mon ancien travail  j etais victime de arcelement morale  d insultes et de menaces  ils m ont tres bien accueilli  conseille et guide sur ce probleme  une des conseillere m a meme imprime de la documentation sur la convention collective  finalement  j ai reussi a trouver un nouveau travail  et m a situation professionnelle c est arrange  ils sont bons conseiller repondent aux questions que l on peut se poser sur les employeurs et les lois qui protege les employes  ce qui a ete mon cas l an dernier  cordialement   ;1;['victim', 'arcel', 'moral', 'insult', 'guid', 'document', 'convent', 'collect', 'arrang', 'repondent', 'pos', 'employeur', 'lois', 'proteg'];victim arcel moral insult guid document convent collect arrang repondent pos employeur lois proteg;-1
polis  agreables  empathiques  solidaires    vraiment top la team chez saint genevieve;1;['empath', 'solidair', 'top', 'team', 'saint', 'geneviev'];empath solidair top team saint geneviev;-1
tres bon accueil  disponibilite et courtoisie  ils repondent meme le dimanche par mail   sourire telephonique  traitement immediat ou a peine differe de quelques heures  patience et reactivite  malgre nombreuses demandes formulees  j en suis si etonnee que j ai decide de le noter ici dans l espoir qu ils le lisent egalement  on ne le dit pas assez quand les agents font un bon travail  merci a vous ;1;['disponibilit', 'courtois', 'repondent', 'dimanch', 'sourir', 'immediat', 'differ', 'patienc', 'reactivit', 'nombreux', 'formule', 'etonne', 'espoir', 'lisent', 'agent'];disponibilit courtois repondent dimanch sourir immediat differ patienc reactivit nombreux formule etonne espoir lisent agent;0
bien renseigne bien accueilli rapide et efficace;1;[];;-1
super accueil de l appartement des conseillers moi j ai obtenue la reponse a mes questions sans problemes;1;['appart', 'obtenu', 'repons'];appart obtenu repons;1
tres bon acceuil de ma conseillere soreya  ses bons conseils m ont servi  ;1;['acceuil', 'sorei', 'serv'];acceuil sorei serv;1
bien bon accueil on prend le temps d echanger avec des conseillers ;1;[];;-1
je suis arrive a 12h30 pour ouvrir un nouveau compte  45 minutes avant la fermeture de l agence  et la dame me demande de revenir demain alors qu il t avais personnes devant moi et que l inscription prends que 15 minutes grand max  n importe quoi     heureusement que je suis aller voir avec un autre agent et il m a fait l inscription en 10 minutes;1;['12h30', 'compt', '45', 'fermetur', 'agenc', 'reven', 'demain', 'person', 'prend', 'max', 'agent'];12h30 compt 45 fermetur agenc reven demain person prend max agent;-1
inventer son emploi et non le denicher  dans la situation actuelle et avec l attitude colerique de certains de leurs  clients   ils sont forts competents  evidemment  eux aussi sont pris dans la meme tourmente alors ne l oubliez pas   on peut ne pas etre content des procedures longues de cet organisme  on peut etre agace par nos soucis financiers actuelles  passes et futures   mais ils ne sont pas nos souffres  douleurs  alors merci de sourire  pour nous  pour eux  pour vous  ;1;['invent', 'denich', 'actuel', 'attitud', 'coler', 'competent', 'tourment', 'content', 'procedur', 'agac', 'souc', 'financi', 'actuel', 'futur', 'souffr', 'douleur', 'sourir'];invent denich actuel attitud coler competent tourment content procedur agac souc financi actuel futur souffr douleur sourir;-1
franchement  nous sommes alles ce matin  on avait peur vu les mauvais avis ici  au contraire   une tres bonne experience a l entree   des gens tres competents  pro  gentils et bienveillant  tres utile egalement l aide sur les programmes d ordinateurs et l inscripten sur place   nous sommes tres contents de cette experience positive   ;1;['peur', 'mauv', 'entre', 'competent', 'pro', 'gentil', 'util', 'programm', 'inscripten', 'content'];peur mauv entre competent pro gentil util programm inscripten content;-1
l acueil vraiment pas top  top et les gilets bleue qui font leurs  services civiques  desole mais sont vraiment tres incompetent   j etais de passage a sartrouville et je me suis dit tiens un pole emploi ouvert je vais pouvoir poser une simple question pour savoir comment effectuer un changement de rib et il y avait du monde et du coup je pose ma question a une des gilets bleue me dit qu il faut faire la file d attente pour poser la question a l accueil je lui explique que c est une simple question et si elle peut demander a un emolyer de pole emploi en  back stage  mais elle a refuser categoriquement   j ai du attendre 25 min dans la fille d attente et une fois mon tour a l accueil je pose ma question et en meme 2 min elle m explique comment proceder pour le changement de rib   bilan   25min d attente pour une reponse en 2 min franchement ils faut que les gilets bleus du service civique soient un minimum comprehensible ou qu il y est un personnel pole emploi avec eux pour les gens qui ont des petites questions simples ;1;['acueil', 'top', 'top', 'gilet', 'bleu', 'servic', 'civiqu', 'desol', 'incompetent', 'passag', 'sartrouvill', 'ouvert', 'pos', 'rib', 'gilet', 'bleu', 'fil', 'pos', 'emoli', 'back', 'categor', 'min', 'fill', 'tour', 'min', 'proced', 'rib', '25min', 'repons', 'min', 'gilet', 'bleus', 'servic', 'civiqu', 'comprehensibl', 'personnel', 'simpl'];acueil top top gilet bleu servic civiqu desol incompetent passag sartrouvill ouvert pos rib gilet bleu fil pos emoli back categor min fill tour min proced rib 25min repons min gilet bleus servic civiqu comprehensibl personnel simpl;1
tres bon accueil et bien accompagne par monsieur romain  ;1;['romain'];romain;1
conseillere se payant ma tete  j ai une double fracture du pied et elle me demande de venir a pied a un rendez vous sachant que j ai prevenu que je ne pourrais pas venir  j ai eu une panne de voiture  elle me menace de me retirer mes allocations si je ne lui ramene pas un justificatif sachant que j avais prevenu et qu elle a le culot de m envoyer un mail en me disant que j avais pas prevenu  me demander un justificatif medical pour mieux m invalider  inutile le pole emploi ;1;['pai', 'tet', 'doubl', 'fractur', 'pied', 'pied', 'prevenu', 'pann', 'voitur', 'retir', 'alloc', 'ramen', 'justif', 'prevenu', 'culot', 'prevenu', 'justif', 'medical', 'invalid'];pai tet doubl fractur pied pied prevenu pann voitur retir alloc ramen justif prevenu culot prevenu justif medical invalid;0
tres bon accueil  les conseillers sont tres bien renseignes et aidant  prets a echanger et a proposer des solutions  je suis tres satisfait;1;['pret', 'solut', 'satisf'];pret solut satisf;1
bon accueil  sympathique  ce matin sans rendez vous etait bien rassurant et agreable  je vous le redis  merci ;1;['sympath', 'rassur', 'red'];sympath rassur red;-1
merci beaucoup a fanny pour son professionnalisme et sa courtoisie;1;['fanny', 'professionnal', 'courtois'];fanny professionnal courtois;1
a l ecoute  aide comme il faut dans l aide a la recherche d emploi rien a dire a part que je suis satisfait  ;1;['satisf'];satisf;1
a l ecoute  aide comme il faut dans l aide a la recherche d emploi rien a dire a part que je suis satisfait  ;1;['satisf'];satisf;1
bonne agence a l ecoute ;1;['agenc'];agenc;-1
bonne agence a l ecoute ;1;['agenc'];agenc;-1
une galere avec certaines personnes de chez eux   incapables de te renseigner  c est pas moi c est mon collegue   une vraie partie de ping pong    aucune pedagogie  limite aimable   certains ne doivent pas aimer leur metier   ils nous parlent avec mepris   ;1;['galer', 'person', 'collegu', 'vrai', 'ping', 'pong', 'pedagog', 'aimabl', 'parlent', 'mepr'];galer person collegu vrai ping pong pedagog aimabl parlent mepr;1
ce matin  j ai ete recue par une conseillere tres agreable et professionnelle  qui m a aidee dans mes questionnements sur ma future inscription a pole emploi  elle a pris le temps de m orienter dans mes demarches et de me rassurer pour ma future formation  merci beaucoup    ;1;['aide', 'futur', 'orient', 'demarch', 'rassur', 'futur', 'format'];aide futur orient demarch rassur futur format;-1
tres bon accueil et bonne prise en charge;1;[];;-1
accueil rapide  employes polyvalent et a l ecoute  ils n hesite pas a venir nous voir pour savoir si nous avons besoin de quoi que ce soit et nous aident dans les demarches  merci;1;['polyvalent', 'hesit', 'aident', 'demarch'];polyvalent hesit aident demarch;1
service accueillant  espace propre et spacieux  meilleur pole emploi que j ai fait  ;1;['servic', 'propr', 'spacieux', 'meilleur'];servic propr spacieux meilleur;-1
la personne qui m a recu n est pas du tout professionnel  elle est impolie  menacante  imbu de pouvoir    c est permis de me tutoyer et d etre condescendante a bien des niveaux  a refuse que je sorte des locaux  tout cela devant temoins pendant la bourse des emplois mvs;1;['person', 'impol', 'imbu', 'tutoi', 'condescend', 'niveau', 'temoin', 'bours', 'mv'];person impol imbu tutoi condescend niveau temoin bours mv;0
tres bon accueil;1;[];;-1
rdv pris la veille pour le lendemain  accueil excellent  la conseillere qui etait presente ce matin etait tres sympathique  on sent qu elle est contente d etre la  locaux tres propres  j ai pu faire le point avec mon conseiller  tres gentil  patient  a l ecoute  ca change du pole emploi de villeneuve  la rochelle  ;1;['rdv', 'veil', 'lendemain', 'excellent', 'sympath', 'content', 'propr', 'gentil', 'patient', 'villeneuv', 'rochel'];rdv veil lendemain excellent sympath content propr gentil patient villeneuv rochel;1
je suis tombe sur une conseillere tres humaine comprehensive et professionnel chose assez rare dans les agences pole emploi qui merite d etre preciser  merci mdme v     ;1;['comprehens', 'rar', 'agenc', 'merit', 'mdme', 'v'];comprehens rar agenc merit mdme v;1
tres bon accueil  la personne qui ma accueillie a ete super et ma beaucoup aider  je recommande   ;1;['person', 'recommand'];person recommand;1
jamais pris a l heure et ignorer ma presence;1;['ignor', 'presenc'];ignor presenc;1
excellent accueil  recu a l heure fixee du rdv  mme a  dubus tres professionnelle dans ses explications et demarches a suivre ;1;['excellent', 'fixe', 'rdv', 'mme', 'dubus', 'demarch'];excellent fixe rdv mme dubus demarch;1
l accueil est favorable  on aimerez y travailler   ;1;['favor'];favor;1
intolerable la facon dont a ete traitee ma compagne  elle s est deplacee ce matin pour rechercher du taff  la dame de l accueil lui a mal parle et lui a ordonne de partir si elle ne savait pas ou chercher du travail  je suis a deux doigts de porter plainte  changez de boulot si c est pour etre comme ca ;1;['intoler', 'traite', 'compagn', 'deplace', 'taff', 'ordon', 'sav', 'doigt', 'plaint', 'chang', 'boulot'];intoler traite compagn deplace taff ordon sav doigt plaint chang boulot;0
toujours bien accueilli  je les remercie pour leurs conseils precieux ;1;['precieux'];precieux;1
