Description;telephone;Description_2;Description_3;clusters
pour m inscrire au pole emploi  j ai rempli mon dossier sur internetune des pieces justificatives est  une copie de la declaration annuelle des donnees sociales  d a d s   de la societe       les dads n existent plus depuis plusieurs annees  supprimees par l administration et remplacee par un protocole differentmon dossier d indemnisation se retrouve donc bloque  j ai tente de joindre un service en passant par le telephone 3949 mais rien ne correspond a ma situation et je n arrive pas a parler a un conseillermon premier rendez vous etant en avril  je n ai pas de contact avec le pole emploi d ici et me demande comment va avancer mon dossier ;1;['dossi', 'internetun', 'justif', 'declar', 'annuel', 'dad', 'existent', 'supprime', 'administr', 'remplace', 'protocol', 'differentmon', 'dossi', 'indemnis', 'servic', '3949', 'conseillermon', 'contact', 'dossi'];dossi internetun justif declar annuel dad existent supprime administr remplace protocol differentmon dossi indemnis servic 3949 conseillermon contact dossi;-1
ma conseillere pole emploi me contacte en me disant qu  ils ont recu un papier comme quoi je vais etre a la retraite en septembre 2021  je precise que je suis au chomage indemnise depuis decembre 2019 juste avant le covid et depuis j ai des difficultes a retrouver du travail sauf petit contrat de septembre a novembre 2020 je veux continuer a rechercher du travail et continuer jusqu a mes 64 ans pour ne rien perdre deja que ma pension ne sera pas enorme on ne me laisse pas le choix et je le deplore   je veux reprendre un emploi et je vais le faire  ;1;['contact', 'retrait', 'chomag', 'indemnis', '2019', 'covid', 'contrat', '64', 'pension', 'deplor'];contact retrait chomag indemnis 2019 covid contrat 64 pension deplor;-1
inscrite a pole emploi depuis un an  je n ai rencontre mon conseiller qu une fois j ai du le joindre deux fois par mail pour des renseignements et a la fin de mes deux conversations telephoniques  mon conseiller me dit    je vais vous envoyer une synthese de l entretien  mais de quel entretien parle t il   si je ne l avais pas contacte  jamais il n aurait pu remplir ses statistiques  je me demene pour trouver une formation je lui envoie un mail pour l en informer  il me rappelle et me dit  bon a quelle session souhaitez vous vous inscrire     je lui reponds  c est bon je suis en contact directement avec l organisme de formation  je verrais avec eux pour l inscription a la session   il me repond que l objectif c est qu il me place  j effectue toutes mes demarches seules et c est le conseiller qui va en retirer les lauriers en disant a son administration qu il m a place si je reprends ses termes  c est honteuxa part  vanter le site internet pole emploi  les conseillers n apportent rien en terme de conseils  de recherche sur notre secteur d activite  etc  la preuve apres un an de recherche  je suis toujours a la recherche d un emploi avec un seul rendez vous  je me pose vraiment la question de savoir si tous les conseillers pole emploi conseillent les demandeurs d emploi de la meme facon ;1;['inscrit', 'synthes', 'contact', 'statist', 'demen', 'format', 'session', 'contact', 'format', 'verr', 'session', 'object', 'demarch', 'seul', 'retir', 'lauri', 'administr', 'reprend', 'vant', 'internet', 'apportent', 'conseillent'];inscrit synthes contact statist demen format session contact format verr session object demarch seul retir lauri administr reprend vant internet apportent conseillent;-1
suite a une demission en juillet 2019  j ai voulu trouver le moyen d ouvrir mes droits au chomage pour pouvoir faire une formation pole emploi m a guidee tout du long de mon parcours tout d abord en me proposant d effectuer un travail saisonnier ce qui me permettait d ouvrir mes droits au chomage  suite a cette emploi qui a dure 8 mois  de aout 2019 a mars 2020   j ai donc pu obtenir les aides au retour a l emploi et realiser mon projet de reconversion professionnelle pole emploi m a guidee dans mon choix de centre de formation  puis dans les aides de financement  grace a un rendez vous avec un psychologue sur place  j ai pu confirmer mon choix de me former en tant qu assistante comptable  les demarches entre pole emploi et le centre de formation on ete tres complique car il y a peu de communication entre les deux  mais avec acharnement  j ai pu debuter ma formation en septembre 2020 et etre finalement embauche dans un cabinet comptable en tant que secretaire comptable ma conseillere pole emploi a ete tres presente toute au long de mon parcours et tres reactive  j ai eu beaucoup de chance de l avoir et elle m a permis d avancer rapidement et efficacement sur mon projet meme si ca a prit du temps  mais au bout d un parcours de reconversion qui a prit 1 an et demi  j ai enfin pu atteindre mon objectif  ;1;['demiss', 'juillet', '2019', 'chomag', 'format', 'guide', 'abord', 'saisonni', 'chomag', '2019', 'reconvers', 'guide', 'format', 'financ', 'psychologu', 'confirm', 'comptabl', 'demarch', 'format', 'acharn', 'debut', 'format', 'cabinet', 'comptabl', 'secretair', 'comptabl', 'reactiv', 'efficac', 'prit', 'reconvers', 'prit', 'dem', 'atteindr', 'object'];demiss juillet 2019 chomag format guide abord saisonni chomag 2019 reconvers guide format financ psychologu confirm comptabl demarch format acharn debut format cabinet comptabl secretair comptabl reactiv efficac prit reconvers prit dem atteindr object;0
je suis inscrite au pole emploi depuis le 15 juillet 2015 mon espace en ligne indique que je suis inscrite au pole emploi depuis le 21 janvier 2021 mon numero de demandeur d emploi a ete modifie par le pole emploi a quatre reprise ;1;['inscrit', 'juillet', '2015', 'inscrit', '21', 'quatr'];inscrit juillet 2015 inscrit 21 quatr;-1
depuis le mois de mars 2021 nous n avons toujours pas recu notre aide legale due au titre du chomage partiel il nous a ete repondu que l administration etait debordee  depuis  malgre tous les documents transmis  nous n avons recu aucune reponse a nos mails et nos messages telephoniques merci de prendre le relai cela devient insoutenable et cela met en peril notre entreprise bien cordialement ;1;['legal', 'du', 'chomag', 'administr', 'deborde', 'docu', 'repons', 'rel', 'insouten', 'peril'];legal du chomag administr deborde docu repons rel insouten peril;-1
j avais demande par courrier en lr avec ar en date de mi avril 2021 un rendez vous avec un conseiller pole emploi ou le directeur afin d avoir des explications fiables  exactes  sures et non approximatives sur le montant alloue en allocation de chomage pour la periode du 01 04 a mi mai 2021 puisque des mi mai j ai retrouve moi meme un emploi durant ce temps pas un appel d un conseiller  ni meme d une eventuelle proposition de formation ou encore pour connaitre le pourquoi du comment de la perte d emploi durant ce mois et 9 jours de chomage  j ai appele le 3949 pratiquement tous les jours et a chaque fois les explications et les informations etaient differentes de la veilles   c est quand meme fou   bravo a l algorithme utilise par pole emploi  voir article de france inter du 02 11 2019 de lea guedj    n arrivant pas a avoir de bons conseils et explications  je me suis rendu par 2 fois directement au pole emploi cristallerie  tous cela pour rien  le conseiller m a endormi avec des explications a dormir debout et qui en plus m a pris de haut   conclusions du probleme    nous sommes le 27 07 et toujours aucune nouvelle du pole emploi pour ces fameuses explications   j ai fait plusieurs relance pour enfin avoir de vraies explications sur le versement bizarrement calcule de mon allocation de chomage  j ai meme transmis mes courriers et mes demandes a mme la deputee de nancy pour qu elle puisse intervenir  il m a ete repondu d une maniere laconique et  bateau  qu elle comprenait la situation et que j allais etre contacte prochainement    nous sommes quand meme le 27 07  4 mois  et toujours rien    bravo ;1;['courri', 'lr', 'ar', 'mi', 'directeur', 'fiabl', 'exact', 'sur', 'approxim', 'allou', 'alloc', 'chomag', '01', '04', 'mi', 'mi', 'eventuel', 'format', 'connaitr', '9', 'chomag', '3949', 'pratiqu', 'veil', 'fou', 'algorithm', 'articl', 'inter', '02', '11', '2019', 'le', 'guedj', 'arriv', 'cristaller', 'endorm', 'dorm', 'debout', 'haut', 'conclus', '27', '07', 'fameux', 'vrai', 'bizarr', 'alloc', 'chomag', 'courri', 'mme', 'depute', 'nancy', 'interven', 'lacon', 'bateau', 'compren', 'allais', 'contact', '27', '07'];courri lr ar mi directeur fiabl exact sur approxim allou alloc chomag 01 04 mi mi eventuel format connaitr 9 chomag 3949 pratiqu veil fou algorithm articl inter 02 11 2019 le guedj arriv cristaller endorm dorm debout haut conclus 27 07 fameux vrai bizarr alloc chomag courri mme depute nancy interven lacon bateau compren allais contact 27 07;-1
pour eviter les papiers  quand est ce que pole emploi et ameli vont s accorder pour le cesu   au vu de mes multiples employeurs  cela peut aller entre 300 et 500 feuilles et des fois plus  on renonce a nos droits  par contre lors de controle des services trouvent la solution  j ai meme un courrier c est bizarre    cordialement ;1;['amel', 'accord', 'employeur', '300', '500', 'renonc', 'servic', 'trouvent', 'courri', 'bizarr'];amel accord employeur 300 500 renonc servic trouvent courri bizarr;-1
inscrite au chomage depuis 2017  tres longue duree   desolee de vous dire malheureusement que la communication n en est pas une    absence de conseillers la premiere annee et absence d allocations pendant six mois  de quoi etre inquiete   changements de conseillers   une dizaine depuis la premiere qui m a refuse mon dossier de formation pour motif que je n etais pas prioritaire avec un bac 5  difficultes d acces aux conseillers depuis le 17 03 2020  ils envoient les candidats vers d autres conseillers   on peut se demander ou peut etre le suivi dans ces circonstances mais je retiendrai que parmi la vingtaine d employes de la fonction publique  il y en a un qui evitait de me faire venir pour rien et qui m a meme offert un bilan de competences dont je revais depuis des annees mais on pense bien que l on peut attendre encore des mois sans allocation depuis aout 2020  sans compter la crise sanitaire qui nous empeche d acceder aux guichets de la fonction publique heureusement que j ai quand meme une conseillere qui m envoie vers une nouvelle conseillere  de quoi je me plains     si elles ne sont pas disponibles avant la rentree alors que j ai besoin d eux avant cette date butoir  notamment pour completer mon dossier caf  avec l absence de conseillers  je crois qu on ne nous aide pas et qu on nous retarde dans nos projets de formation avec l absence de reponse dans les delais qui sont demandes   cela nous ferme des portes qui doivent rester ouvertes ;1;['inscrit', 'chomag', '2017', 'dure', 'desole', 'absenc', 'absenc', 'alloc', 'six', 'inquiet', 'chang', 'dizain', 'dossi', 'format', 'prioritair', 'bac', '17', '03', 'envoient', 'circonst', 'retiendr', 'parm', 'vingtain', 'offert', 'rev', 'alloc', 'compt', 'cris', 'sanitair', 'empech', 'guichet', 'plain', 'disponibl', 'rentre', 'butoir', 'dossi', 'caf', 'absenc', 'crois', 'retard', 'format', 'absenc', 'repons', 'ferm', 'ouvert'];inscrit chomag 2017 dure desole absenc absenc alloc six inquiet chang dizain dossi format prioritair bac 17 03 envoient circonst retiendr parm vingtain offert rev alloc compt cris sanitair empech guichet plain disponibl rentre butoir dossi caf absenc crois retard format absenc repons ferm ouvert;-1
j ai ete contacte par un agent pole emploi  cet agent m a fixe un rendez vous pour participer a une reunion d information  cette agent pole emploi ne m a pas envoye d avis de rendez vous  la plateforme d appel pole emploi n a pas souhaite me renseigner sur le lieu du rendez vous  l appel a ete coupe ;1;['contact', 'agent', 'agent', 'fix', 'agent', 'plateform', 'coup'];contact agent agent fix agent plateform coup;-1
j ai actualise ma periode d activite sur le site du pole emploi   mon espace en ligne renseigne que mon actualisation a ete valide le 3 octobre 2021  il est inscrit que ma validation concerne la periode du 31 aout 2021 au 31 aout 2021 uniquement  le service technique du pole emploi ne repond pas correctement au reclamation  les correspondances qui sont deposees a mon espace en ligne sont rendus inutilisables et illisibles par un code informatique ;1;['inscrit', '31', '31', 'servic', 'reclam', 'depose', 'rendus', 'inutilis', 'illisibl'];inscrit 31 31 servic reclam depose rendus inutilis illisibl;1
depuis mars 2020  j ai fais une demande d allocation chomage aupres de pole emploi suite a la crise sanitaire qui est restee sans reponse jusqu a maintenant  meme avec mes plusieurs relances  environ 100 relances  90  par telephone et 10   par mail   un dossier depose il y a environ 17 mois   a chaque fois que je prend contact avec pole emploi  j ai toujours plusieurs reponse differentes ;1;['alloc', 'chomag', 'cris', 'sanitair', 'reste', 'repons', '100', '90', 'dossi', '17', 'contact', 'repons'];alloc chomag cris sanitair reste repons 100 90 dossi 17 contact repons;-1
