Description;telephone;Description_2;Description_3;clusters
je ne peux pas donner d avis sur l accueil physique mais concernant les echanges mails et telephoniques  je n ai jamais ete aussi bien  accueillie   les reponses sont rapides  claires et respectueuses ;1;['repons', 'rapid', 'clair', 'respectu'];repons rapid clair respectu;2
plus inutile que vous   ca n existe pas  vos  conseilleres    absolument execrables et irrespectueuses  c est un pur scandale  j appelle un matin pour avoir un simple renseignement concernant une alternance  dans un domaine precis  car je debute dans le monde du travail et j aimerait quelques conseilles concernant les endroits ou faire mes recherches  je pose ma question en etant tres agreable malgre de longues minutes d attentes et un  bonjour  a peine audible articule   la reponse de la conseillere    euuh madame on vas pas trouver votre stage a votre place hein    attendez mais j hallucine   premierement ce n est pas un stage que je recherche mais une alternance     deuxiemement  pole emploi est un centre d information pour les formations et emplois   cette dame connait elle au moins son metier     troisiemement  a quel moment j ai appele pour que vous me trouviez quoi que ce soit   cela fait des mois que je fais mes propres recherches je n ai jamais reclame aucune aide  j appelais pour une simple information  apprenez a ecouter ce que les gens disent avant de dire d enormes m       et au passage  le respect c est pas a 50 piges qu on l acquiert  je ne vous parle meme pas de la suite de la conversation ou cette dame s est vite mise a me parler de facon agressive  j ai evidemment raccroche et c est bien la derniere fois que j ai a faire a vous car vous etes les pires de tous dans le domaine  j espere que l affreuse dame a qui j ai parle est moins frustree depuis  sinon  c est vraiment triste comme vie  bizous;1;['execr', 'irrespectu', 'pur', 'scandal', 'altern', 'prec', 'debut', 'endroit', 'audibl', 'articul', 'repons', 'euuh', 'vas', 'hein', 'attend', 'hallucin', 'premier', 'altern', 'format', 'troisiem', 'propr', 'reclam', 'appren', 'disent', 'passag', 'respect', '50', 'pig', 'acquiert', 'agress', 'raccroch', 'pir', 'affreux', 'frustre', 'trist', 'bizous'];execr irrespectu pur scandal altern prec debut endroit audibl articul repons euuh vas hein attend hallucin premier altern format troisiem propr reclam appren disent passag respect 50 pig acquiert agress raccroch pir affreux frustre trist bizous;1
mon compagnon s est inscrit au mois de fevrier  jamais il n a pu rencontrer le moindre agent de pole emploi  uniquement des entretiens telephoniques hatifs  aucune proposition d emploi  on l a juste oriente vers une de ces agences privees censees assurer une orientation vers une formation professionnelle  des tests ridicules niveau college  la aussi par telephone et aucun resultat tangible   son emploi  en cdi  il se l est trouve tout seul  l argent du chomage et de la formation continue est bien mal utilise et les chomeurs semblent bien peu consideres   ;1;['compagnon', 'inscrit', 'agent', 'hatif', 'orient', 'agenc', 'prive', 'cense', 'assur', 'orient', 'format', 'test', 'ridicul', 'colleg', 'tangibl', 'cdi', 'argent', 'chomag', 'format', 'semblent'];compagnon inscrit agent hatif orient agenc prive cense assur orient format test ridicul colleg tangibl cdi argent chomag format semblent;1
telephone inutile  juste pour faire serieux ;1;[];;-1
tres bon premier contact avec mon conseiller qui m a donne toutes les informations dont j avais besoin  et plus ;1;['contact'];contact;0
bilan de deux annees  pole emploi   3 conseilleres consecutives  rdv avec la premiere qui m explique tout  je me sens en confiance  puis au bout de qq mois  je decouvre  que j ai une nouvelle conseillere avec qui je n ai eu qu un rdv telephonique  quant a la 3eme  elle m est totalement inconnue  je demande des aides administratives pour la creation de ma micro entreprise  reponse   il n y en a pas  la deuxieme m inscrit a une formation sur ma demande mais je decouvre par la conseillere en charge de la formation qu une fois votre me declaree  vous n avez plus droit aux formations   info que l on ne m a pas donne en amont  ca aurait ete sympa  pire  ma conseillere attitree me propose de fermer ma me  de faire la formation et de la reouvrir apres  certes    du coup  je n ai au droit a aucune formation et je me debrouille toute seule pour le developpement de ma me pire j ai travaille 2 semaines en entreprise  resultat   votre salaire est deduit des indemnites donc en fin de mois    une indemnite diminuee avec du stress en plus et de l essence en moins  c est quoi deja le boulot de pole emploi  ;1;['consecut', 'rdv', 'qq', 'decouvr', 'rdv', '3em', 'inconnu', 'administr', 'micro', 'repons', 'inscrit', 'format', 'decouvr', 'format', 'format', 'info', 'amont', 'attitre', 'ferm', 'format', 'reouvr', 'cert', 'format', 'debrouill', 'developp', 'salair', 'deduit', 'indemnit', 'indemnit', 'diminue', 'stress', 'essenc', 'boulot'];consecut rdv qq decouvr rdv 3em inconnu administr micro repons inscrit format decouvr format format info amont attitre ferm format reouvr cert format debrouill developp salair deduit indemnit indemnit diminue stress essenc boulot;1
appel pour un renseignement standardiste tres mal eleve je le dis incorrect ne laisse pas parler et ce prend de haut franchement pole emplois fermer de bon a rien ;1;['standard', 'elev', 'incorrect', 'haut', 'ferm'];standard elev incorrect haut ferm;-1
votre temps d attente est estimee a moins d une minute  j ai raccroche au bout de 10min d attente  ;1;['estime', 'raccroch', '10min'];estime raccroch 10min;-1
appel pour un renseignement standardiste tres mal eleve je le dis incorrect ne laisse pas parler et ce prend de haut franchement pole emplois fermer de bon a rien ;1;['standard', 'elev', 'incorrect', 'haut', 'ferm'];standard elev incorrect haut ferm;-1
votre temps d attente est estimee a moins d une minute  j ai raccroche au bout de 10min d attente  ;1;['estime', 'raccroch', '10min'];estime raccroch 10min;-1
c est la meilleure de l annee      j ai jamais annule mon rdv je recois un message qui me dis vous avez fait une demande de report        en plus impossible de vous joindre    ;1;['meilleur', 'rdv', 'report'];meilleur rdv report;2
accueil froid et desagreable par telephone  ils se moquent des gens car demandent le meme document 5 fois en disant que ce n etait pas le bon et finalement quand j ai demande juste de lire attentivement on me dit   ah oui c est bien celui la    manque de competences de certains conseillers  qui ne savent pas compter ou lire  ni ecouter  comment on les embroche   ma conseillere qui ne repond pas aux mails et les conseillers qui ne transmettent pas les documents en retardant le payement  bravo  il faut etre plus humain meme envers les etrangers ;1;['froid', 'moquent', 'demandent', 'docu', 'ah', 'savent', 'compt', 'embroch', 'transmettent', 'docu', 'retard', 'pai', 'enver', 'etranger'];froid moquent demandent docu ah savent compt embroch transmettent docu retard pai enver etranger;2
travaillant depuis plusieurs annees sans avoir eu besoin d aide  suite a une reconversion professionnelle  j appelle pour des renseignements et la conseillere s engage a me contacter a nouveau l apres midi meme  cela fait 15 jours que j attends son appel  sa fait plaisir de savoir pour quoi et pour qui je me leve le matin  je comprends mieux pourquoi le chomage ne baisse pas si ce sont ce genre de personne qui doivent accompagner ;1;['reconvers', 'engag', 'contact', 'attend', 'plais', 'lev', 'chomag', 'baiss', 'person'];reconvers engag contact attend plais lev chomag baiss person;0
abominable   impossible de les avoir ;1;['abomin'];abomin;2
bonjour a tous les internautes   et voila malgre multiples appel a pole emploi conseiller devait me contacter mais apparemment doivent etre surbookee   lol  je ne compte plus sur cette organisme a bout de souffle  j ai fait demarche seul en me payant formation avec mon cpf   et ensuite j ai deja plusieurs offres d emplois mais pas grace a pole emploi seul moi ayant fait demarche sans aucun soutien   et comme a chaque fois pole emploi se limite a radier les personnes pour statistiques  c est simple passer a l agence de saint avold et vous constaterez comme sa bosse tres tres dur  franchement decu et outre par leur manque de parole   donc comme d habitude il faut se debrouiller seul pour emploi  une reorganisation totale de l agence serait pas du luxe   et qu on reponde a mon avis et la je vais prouver qu une personne motivee a travailler est mis de cote sans suivie et empathie   mais bon que peut t on faire a notre niveau   c est simple se debrouiller par ses propres moyens comme a chaque fois  salutations distinguees  ;1;['internaut', 'contact', 'apparent', 'surbooke', 'lol', 'compt', 'souffl', 'demarch', 'pai', 'format', 'cpf', 'offre', 'demarch', 'soutien', 'radi', 'person', 'statist', 'agenc', 'saint', 'avold', 'constat', 'boss', 'outr', 'parol', 'habitud', 'debrouill', 'reorganis', 'total', 'agenc', 'lux', 'prouv', 'person', 'motive', 'empath', 'debrouill', 'propr', 'salut', 'distingue'];internaut contact apparent surbooke lol compt souffl demarch pai format cpf offre demarch soutien radi person statist agenc saint avold constat boss outr parol habitud debrouill reorganis total agenc lux prouv person motive empath debrouill propr salut distingue;1
une vieille dame aigrie  m appelle pour mon ami qui n a actuellement plus de telephone  je lui explique calmement que je suis indisposee a dire a mon ami qu il a un appel car je suis tout comme elle sur mon lieu de travail  donc ne suis pas a mon logement  elle me raccroche directement a la gu eule   changer d entreprise madame ou mettez vous a la retraite  car vous vous etes completement trompee de voix professionnelle  ;1;['vieil', 'aigr', 'ami', 'calm', 'indispose', 'ami', 'log', 'raccroch', 'gu', 'eul', 'retrait', 'trompe', 'voix'];vieil aigr ami calm indispose ami log raccroch gu eul retrait trompe voix;2
injoignables le matin par telephone sur les heures d ouverture  il ne faut pas avoir besoin de conseils    redirigee vers le standard ;1;['injoign', 'ouvertur', 'redirige', 'standard'];injoign ouvertur redirige standard;2
tres bon accueil  disponibilite et courtoisie  ils repondent meme le dimanche par mail   sourire telephonique  traitement immediat ou a peine differe de quelques heures  patience et reactivite  malgre nombreuses demandes formulees  j en suis si etonnee que j ai decide de le noter ici dans l espoir qu ils le lisent egalement  on ne le dit pas assez quand les agents font un bon travail  merci a vous ;1;['disponibilit', 'courtois', 'repondent', 'dimanch', 'sourir', 'immediat', 'differ', 'patienc', 'reactivit', 'nombreux', 'formule', 'etonne', 'espoir', 'lisent', 'agent'];disponibilit courtois repondent dimanch sourir immediat differ patienc reactivit nombreux formule etonne espoir lisent agent;1
se sont pas des personne irresponsables quand ils font des erreurs ils refuse de reconnaitre ils m ont demande de rembourse de l argent que j ai ne pas recu et le soit disant responsable de pole emploi      n a rien a faire il te dit appeller 3949 et quand tu appelles ils te repondent je sais pas madame vous avez forcement faire une fausse de declaration sans meme verifier je suis au chomage depuis octobre 2021  j ai deja rembourse 1094  64 euros et la encore  ils me demandent de rembourser 129 euro     que je n ai jamais vu la couleur;1;['person', 'irrespons', 'reconnaitr', 'rembours', 'argent', 'respons', '3949', 'repondent', 'declar', 'chomag', 'rembours', '1094', '64', 'euros', 'demandent', 'rembours', '129', 'couleur'];person irrespons reconnaitr rembours argent respons 3949 repondent declar chomag rembours 1094 64 euros demandent rembours 129 couleur;-1
j ai essaye d appeler pour la premiere fois sur leur numero avec le mien  qui leur etait donc inconnu  et la reponse automatique etait  bonjour  pole emploi a essaye de vous joindre  si vous n avez pas ete en contact avec  pole emploi depuis ce message  merci de rappeler le 3949     grosse blague;1;['mien', 'inconnu', 'repons', 'contact', '3949', 'gross', 'blagu'];mien inconnu repons contact 3949 gross blagu;0
les conseillere telephonique du 3949 pas du tout emable ce n est pas professionnel  c est bien dommage  par contre mon conseiller et top;1;['3949', 'emabl', 'top'];3949 emabl top;-1
j ai apprecier que l on me donne des renseignements apres ma rupture conventionnelle dans la fonction public  sans rendez vous et que l on m a rappeler pour me donner toutes les informations   merci pole emploi st genevieve des bois   contrairement a d autres pole emploi ou j ai ete tres mal recu   encore merci a toute l equipe de st genevieve des bois ;1;['appreci', 'conventionnel', 'st', 'geneviev', 'bois', 'equip', 'st', 'geneviev', 'bois'];appreci conventionnel st geneviev bois equip st geneviev bois;2
tres bon accueil  disponibilite et courtoisie  ils repondent meme le dimanche par mail   sourire telephonique  traitement immediat ou a peine differe de quelques heures  patience et reactivite  malgre nombreuses demandes formulees  j en suis si etonnee que j ai decide de le noter ici dans l espoir qu ils le lisent egalement  on ne le dit pas assez quand les agents font un bon travail  merci a vous ;1;['disponibilit', 'courtois', 'repondent', 'dimanch', 'sourir', 'immediat', 'differ', 'patienc', 'reactivit', 'nombreux', 'formule', 'etonne', 'espoir', 'lisent', 'agent'];disponibilit courtois repondent dimanch sourir immediat differ patienc reactivit nombreux formule etonne espoir lisent agent;1
j ai essaye d appeler pour la premiere fois sur leur numero avec le mien  qui leur etait donc inconnu  et la reponse automatique etait  bonjour  pole emploi a essaye de vous joindre  si vous n avez pas ete en contact avec  pole emploi depuis ce message  merci de rappeler le 3949     grosse blague;1;['mien', 'inconnu', 'repons', 'contact', '3949', 'gross', 'blagu'];mien inconnu repons contact 3949 gross blagu;0
les conseillere telephonique du 3949 pas du tout emable ce n est pas professionnel  c est bien dommage  par contre mon conseiller et top;1;['3949', 'emabl', 'top'];3949 emabl top;-1
tres decue  ma conseillere n etait pas tres investie  plusieurs appels  plusieurs relances  derniers mails sans reponse       je me suis retrouvee en fin de droit sans infos ni ressources  j aurais pense etre mieux accompagnee ;1;['invest', 'derni', 'repons', 'retrouve', 'infos', 'ressourc', 'accompagne'];invest derni repons retrouve infos ressourc accompagne;-1
injoignable     tele travail ou non le telephone eux ne le decroche jamais;1;['injoign', 'tel', 'decroch'];injoign tel decroch;-1
dommage que l on soit oblige de mettre une etoile  j ai mis 2 mois a me faire indemniser car ma conseillere ne comprenait rien a mon dossier et me disait que je n avais pas le droit aux allocations car je n avais pas assez travaille hors que je n ai eu aucune interruption depuis plus de 7 ans   ils m ont ensuite radier par erreur et m ont envoye une mise en demeure disant que je ne m etais pas presentee a un rendez vous physique alors que le rendez vous a bien eu lieu mais par telephone comme cela etait convenu   une fois en agence la conseillere m indique que je dois faire une reclamation par courrier avec une demande retroactive  choses a laquelle je lui ai repondu qu il en etait hors de question car il s agissait d une erreur de leur part et quand on fait des erreurs on les repare   je leur ai dit que je ne bougerai pas tant que je ne verrai pas un responsable  et cette personne a reussi a regler l ensemble de mes problemes en 3 jours   c est quand meme dingue que l on ai a leur apprendre leur metier    a aujourd hui je souhaite faire une formation dans le but eventuellement de me mettre a mon compte mais aucun creneau de disponible que ce soit en presentiel en visio ou par telephone   je ne comprends vraiment pas quel est le role de pole emploi a part nous donner des cheveux blancs et puiser sur notre sante mentale     bref  vraiment peu qualifie et peu consciencieux  ca craint beaucoup ;1;['indemnis', 'compren', 'dossi', 'alloc', 'hor', 'interrupt', 'radi', 'demeur', 'presente', 'convenu', 'agenc', 'reclam', 'courri', 'retroact', 'hor', 'agiss', 'repar', 'boug', 'verr', 'respons', 'person', 'ensembl', 'dingu', 'apprendr', 'format', 'but', 'eventuel', 'compt', 'creneau', 'presentiel', 'visio', 'rol', 'cheveux', 'blanc', 'puis', 'sant', 'mental', 'qualif', 'conscienci', 'craint'];indemnis compren dossi alloc hor interrupt radi demeur presente convenu agenc reclam courri retroact hor agiss repar boug verr respons person ensembl dingu apprendr format but eventuel compt creneau presentiel visio rol cheveux blanc puis sant mental qualif conscienci craint;1
je travail depuis 2002 avec quelques passage via pole emploi   j ai arreter mon ancien metier en mai 2020   j ai etait malade pendant 5 mois et en stand bye pendant 2 mois   j ai perdue de l argent a cause de sa arret maladie de quatre jours   puis j ai effectuer une formation en debut d annee 2021que jai reussi et depuis se temps je recherche du travail   en fevrier 2022 j ai trouver un cdd de deux mois et demi   et depuis je suis a la recherche mais fin de droit se termine dici quelques jour   durant mon chomage j ai eu l occasion de voir ma conseiller que5 6 fois par mail et quelque fois par telephone    elle m a envoyer une annonce qu au finale c etait negatif  je n est eu aucune autre aide de sa par   pole emploi m a proposer de faire un vsi en fin d are et je doit etre seule pour faire ma demarche pour rechercher du taff   je veux bien etre comprehensible  mais la sa m enerve en sachant que je suis active dans ma recherche d emploi  ;1;['2002', 'passag', 'malad', 'stand', 'bye', 'perdu', 'argent', 'malad', 'quatr', 'format', '2021que', 'cdd', 'dem', 'dic', 'chomag', 'occas', 'que5', 'vsi', 'demarch', 'taff', 'comprehensibl', 'enerv'];2002 passag malad stand bye perdu argent malad quatr format 2021que cdd dem dic chomag occas que5 vsi demarch taff comprehensibl enerv;1
conseiller sympa lors du premier rdv en face a face  mais apres  zero retours a mes e mails et impossible de les joindre  malgre un engagement de nous repondre sous 48h ouvrees ;1;['rdv', 'fac', 'fac', 'e', 'engag', '48h', 'ouvre'];rdv fac fac e engag 48h ouvre;1
impossible d obtenir un rdv physique  que du telephone ou de la visio  quand il reste des creneaux disponibles  3949 c est une plate forme  pas de contact direct avec des gens de l agence  en plus pas franchement aimables ;1;['rdv', 'visio', 'creneau', 'disponibl', '3949', 'plat', 'contact', 'agenc', 'aimabl'];rdv visio creneau disponibl 3949 plat contact agenc aimabl;0
catastrophique radier pour avoir rate 2 appels telephonique j ai pourtant prevenu mon conseiller que mon telephone etant defectueux je ne l entendais pas sonne   je fait une lettre de recours pour expliquer que j avais convenue avec mon conseiller un bilan de competence et que le devis et en attente j ai recu l accuser de reception j ai jamais eu de reponse   je me reinscris apres ma radiation je vais en agence car je n arrive pas a valider le devis depuis plusieurs semaines    4 interlocuteurs personne sait comment faire sois disant un bug   ce qui es faux j avais apeller le support technique   ont m envoie chez une conseillere qui sait meme pas rejoindre une reunion sur zomm   entre temps j avais recu un apel pour me changer de conseiller    je croise mon conseiller et lui demande la raison  c est comme ca c est des decision en interne je lui dit que je refuse car nous avions deja convenue du bilan de competences   il me dit que je n ai pas le choix   je repars agacer sans avoir reussit a valider le devis   j y arrive par moi meme quelques jours plus tard  j harcele mon conseiller par mail pour qu il me reponde ce qu il en ai pour la validation du bilan  et la il me repond quoi   que ce ne seras pas financer qu il faut que j aille faire active projet que j ai deja fait 5 avant     monsieur jean luc petit m as fait perdre mon temps depuis le mois de janvier  il es incompetent et mensonger   attente j ai recu l accuse j ai jamais eu de reponse;1;['radi', 'rat', 'prevenu', 'defectu', 'entend', 'son', 'recour', 'convenu', 'competent', 'accus', 'repons', 'reinscr', 'agenc', 'interlocuteur', 'person', 'bug', 'apel', 'support', 'rejoindr', 'zomm', 'apel', 'crois', 'decis', 'intern', 'convenu', 'repar', 'agac', 'reuss', 'harcel', 'financ', 'aill', 'jean', 'luc', 'incompetent', 'mensong', 'accus', 'repons'];radi rat prevenu defectu entend son recour convenu competent accus repons reinscr agenc interlocuteur person bug apel support rejoindr zomm apel crois decis intern convenu repar agac reuss harcel financ aill jean luc incompetent mensong accus repons;1
ne repondent jamais au telephone  de plus l adresse n est pas correcte sur maps  agence situee a cote de  grand frais  ;1;['repondent', 'map', 'agenc', 'situe', 'frais'];repondent map agenc situe frais;-1
une veritable catastrophe  le chomage baisse  c est facile quand on enregistre pas les gens qui cotisent depuis des annees et qui perdent leur emploi a cause de la crise sanitaire et de la non reprise de l activite economique  on a laisse des mails  des appels avec messages tous les jours car personne ne reponds et qu un repondeur vous dit que vous aurez une reponse sous 24h  j ai envoye mes documents le lendemain de mon licenciement  aujourd hui apres plusieurs mois rien de rien    je ne peux plus payer mon loyer car les allocations dues ne sont pas versees a cause d un manque de personnel et surtout de personnel incompetent  je vais me rapprocher d un avocat car aujourd hui j ai pleins de frais bancaires   des lettres d impayes car je n ai pas touches tous ces mois d allocations  des bons a rien  pole emploi   zero franchement vous devriez avoir honte ;1;['chomag', 'baiss', 'cotisent', 'perdent', 'cris', 'sanitair', 'person', 'repondeur', 'repons', '24h', 'docu', 'lendemain', 'licenci', 'pai', 'alloc', 'du', 'verse', 'personnel', 'personnel', 'incompetent', 'rapproch', 'avocat', 'plein', 'frais', 'bancair', 'impay', 'alloc'];chomag baiss cotisent perdent cris sanitair person repondeur repons 24h docu lendemain licenci pai alloc du verse personnel personnel incompetent rapproch avocat plein frais bancair impay alloc;1
agence nul qui ne ce casse ps la tete avec leur chomeur  pas professionnel du tout jamais de proposition d emplois   jamais de reponse  jamais de reponse des conseillers    ni mails ni telephone    il faut y aller et y retourner  si on les bouge pas c est difficile   ;1;['agenc', 'cass', 'p', 'tet', 'repons', 'repons', 'boug'];agenc cass p tet repons repons boug;-1
au telephone nickel ma conseiller un spy;1;['nickel', 'spy'];nickel spy;-1
passer beaucoup de temps au telephone  balader de service en service il ne savent pas repondre a nos questions  j ai le droit a 2 ans de chomage a 1500 euros par mois  je croit que je vais en profiter du coup ca sera plus simple;1;['balad', 'servic', 'servic', 'savent', 'chomag', '1500', 'euros', 'croit', 'profit'];balad servic servic savent chomag 1500 euros croit profit;-1
certaine personne non pas que sa a faire d apeller le 3949 pour taper plusieurs touche sans que rien aboutisse au bout  y a rien pour nous guider quand on est jeune  j ai 21 ans et franchement sa laisse a desirer je ne compte pas faire 45min de route tous le temps pour venir seulement le matin sans rendez vous car l apres midi c est avec rendez vous et encore quand on peux vous recevoir  serieusement sa laisse a desirer     quand on apeller directement le pole emploi de falaise on a une dame qui nous dit d apeller se foutu numero 3949 et sa raccroche;1;['person', 'apel', '3949', 'tap', 'about', 'guid', 'jeun', '21', 'desir', 'compt', '45min', 'rout', 'desir', 'apel', 'falais', 'apel', 'foutu', '3949', 'raccroch'];person apel 3949 tap about guid jeun 21 desir compt 45min rout desir apel falais apel foutu 3949 raccroch;1
ma conjointe c est faite agresser par madame claire blanchard   conseillere agressive   insultante et profere a des denonciations calomnieuses  tout en precisant que l appel est enregistre   je l espere bien    de mon cote je vais joindre la direction de celle ci car cela ne peut rester ainsi  ;1;['conjoint', 'agress', 'blanchard', 'agress', 'insult', 'profer', 'denonci', 'calomni'];conjoint agress blanchard agress insult profer denonci calomni;-1
mauvaise gestion des dossiers  erreur et perte de documents  impossible de joindre un conseiller  beaucoup plus simple pour radier une personne  ;1;['gestion', 'dossi', 'docu', 'radi', 'person'];gestion dossi docu radi person;1
mon con seille est inexistant  aucune aide  meme de la part du service telephonique  3949  qui la plupart du temps ne sont pas com petents pour vous donner une reponse  ma situation etait la suivante   fin de contrat janvier 2020 en tant qu aide soignante debut de grossesse fevrier 2020  covid en mars 2020 donc personne a risque ne pouvant pas reprendre le travail pour le moment  arret de travail du medecin   inscrite a pole emploi avec 2 ans de chomage que je suis censee toucher mais que l on refuse de me donner  la raison de pole emploi    madame vous n avez pas fait assez d effort pour retrouver un emploi      ma question encore aujourd hui    con naissez vous ne serait ce qu un employeur qui prend sans hesiter une femme enceinte   avec ce que cela implique derriere  conge maternite   ;1;['seil', 'inexist', 'servic', '3949', 'plupart', 'com', 'petent', 'repons', 'contrat', 'soign', 'grossess', 'covid', 'person', 'medecin', 'inscrit', 'chomag', 'cense', 'effort', 'naiss', 'employeur', 'hesit', 'femm', 'enceint', 'impliqu', 'derrier', 'cong', 'maternit'];seil inexist servic 3949 plupart com petent repons contrat soign grossess covid person medecin inscrit chomag cense effort naiss employeur hesit femm enceint impliqu derrier cong maternit;1
pas aimables du tout  irrespectueuses ce n est pas parce qu on est en recherche d emploi qu il faut se sentir superieures une honte couper la parole  raccrocher au nez ton condescendant si vous etes blasees faites autre chose   ;1;['aimabl', 'irrespectu', 'superieur', 'coup', 'parol', 'raccroch', 'nez', 'condescend', 'blase'];aimabl irrespectu superieur coup parol raccroch nez condescend blase;1
franchement j ai honte d etre francais   j aurais du etre ukrainien surement mes allocations serait plus rapide et genereuse     aucune reponse pour des questions simples   saisie arbitraires sans justification de jugement completement single       raccrocher au nez;1;['ukrainien', 'sur', 'alloc', 'gener', 'repons', 'simpl', 'arbitrair', 'justif', 'jug', 'singl', 'raccroch', 'nez'];ukrainien sur alloc gener repons simpl arbitrair justif jug singl raccroch nez;2
completement a cote de la plaque recu un appel jeudi d un conseiller qui a l air tres calme et stone qui devait me rappeler le lendemain il ma jamais rappeler et j ai donc appeler l entreprise qui ma dit n avoir jamais recu ma candidature de ce fameux conseiller;1;['plaqu', 'jeud', 'air', 'calm', 'ston', 'lendemain', 'fameux'];plaqu jeud air calm ston lendemain fameux;2
bonjour j ai un rendez vous pour premier entretien par telephone esque je peux presente directement a l agence pole emploi     ;1;['esque', 'agenc'];esque agenc;-1
conseillers et personnel tres pro  je tiens a le souligner  ayant eu plusieurs fois des soucis lors d inscriptions ces derniers ont toujours ete tres gentils  il faudrait plus de gens comme vous     surtout au 39 49 ou la par contre le service laisse clairement a desirer ;1;['personnel', 'pro', 'soulign', 'souc', 'derni', 'gentil', '39', '49', 'servic', 'desir'];personnel pro soulign souc derni gentil 39 49 servic desir;-1
