Description;demarche en ligne;compte ou espace personnel;Description_2;Description_3;clusters
catastrophique radier pour avoir rate 2 appels telephonique j ai pourtant prevenu mon conseiller que mon telephone etant defectueux je ne l entendais pas sonne   je fait une lettre de recours pour expliquer que j avais convenue avec mon conseiller un bilan de competence et que le devis et en attente j ai recu l accuser de reception j ai jamais eu de reponse   je me reinscris apres ma radiation je vais en agence car je n arrive pas a valider le devis depuis plusieurs semaines    4 interlocuteurs personne sait comment faire sois disant un bug   ce qui es faux j avais apeller le support technique   ont m envoie chez une conseillere qui sait meme pas rejoindre une reunion sur zomm   entre temps j avais recu un apel pour me changer de conseiller    je croise mon conseiller et lui demande la raison  c est comme ca c est des decision en interne je lui dit que je refuse car nous avions deja convenue du bilan de competences   il me dit que je n ai pas le choix   je repars agacer sans avoir reussit a valider le devis   j y arrive par moi meme quelques jours plus tard  j harcele mon conseiller par mail pour qu il me reponde ce qu il en ai pour la validation du bilan  et la il me repond quoi   que ce ne seras pas financer qu il faut que j aille faire active projet que j ai deja fait 5 avant     monsieur jean luc petit m as fait perdre mon temps depuis le mois de janvier  il es incompetent et mensonger   attente j ai recu l accuse j ai jamais eu de reponse;1;1;['radi', 'rat', 'prevenu', 'defectu', 'entend', 'son', 'recour', 'convenu', 'competent', 'accus', 'repons', 'reinscr', 'agenc', 'interlocuteur', 'person', 'bug', 'apel', 'support', 'rejoindr', 'zomm', 'apel', 'crois', 'decis', 'intern', 'convenu', 'repar', 'agac', 'reuss', 'harcel', 'financ', 'aill', 'jean', 'luc', 'incompetent', 'mensong', 'accus', 'repons'];radi rat prevenu defectu entend son recour convenu competent accus repons reinscr agenc interlocuteur person bug apel support rejoindr zomm apel crois decis intern convenu repar agac reuss harcel financ aill jean luc incompetent mensong accus repons;1
ne repondent jamais au telephone  de plus l adresse n est pas correcte sur maps  agence situee a cote de  grand frais  ;1;0;['repondent', 'map', 'agenc', 'situe', 'frais'];repondent map agenc situe frais;-1
perso j ai ete tres bien recu et un jeune  qui ete la en stage pour m aider a comprendre  au niveau des ordinateurs  je ne maitrise pas l informatique  a ete tres sympas  ;1;0;['perso', 'jeun', 'maitris'];perso jeun maitris;0
l adresse de googlemaps ne correspond pas a la vraie adresse  pole emploi se trouve en face du supermarche grand frais peut etre a 2km environs de cette geolocalisation ;1;0;['googlemap', 'vrai', 'fac', 'supermarch', 'frais', '2km', 'geolocalis'];googlemap vrai fac supermarch frais 2km geolocalis;-1
pas au bon endroit sur google map;1;0;['endroit', 'googl', 'map'];endroit googl map;-1
vraiment decue  j ai 82 ans on me propose d enregistrer moi meme ma demande sur internet    j etais venue chercher de l aide pour proposer un travail    la personne ne sait pas ce que c est que le cesu        lamentable;1;0;['82', 'internet', 'venu', 'person'];82 internet venu person;-1
1 rue de l ouest  il n y a pas que le batiment qui est a l ouest   si vous n attendez rien de personne  allez la bas  ce sont des specialistes   la seule reponse qu ils peuvent vous donner c est   il faut prendre un mediateur   meme pour reparer leurs erreurs   j abandonne  je n attends plus rien de cette bande de bras casses   continuez comme ca  vous ne risquez pas de perdre votre emploi  car grace a vous les chomeurs ne sont pas pres de trouver du travail   vous ne savez faire que du vent  rien d autre  vive le vent  vive le vent     ;1;0;['ru', 'ouest', 'ouest', 'attend', 'person', 'special', 'repons', 'mediateur', 'repar', 'abandon', 'attend', 'band', 'bras', 'cass', 'sav', 'vent', 'viv', 'vent', 'viv', 'vent'];ru ouest ouest attend person special repons mediateur repar abandon attend band bras cass sav vent viv vent viv vent;2
attention a cette agence il vous compte souvent des trop percu en sachant que pour avoir un percu de pole emploi il faut envoyer nos bulletins de salaire pour pouvoir toucher une certaine somme  et vous reclame un trop percu de six mois   s ils passe moins de temps devant la machine a cafe leur travail serait fait correctement       ;1;0;['agenc', 'compt', 'bulletin', 'salair', 'somm', 'reclam', 'six', 'machin', 'caf'];agenc compt bulletin salair somm reclam six machin caf;-1
encore et toujours des forums bidons  une vraie perte de temps  les employes ne comprennent pas pourquoi il est souhaitable de publier la liste des stands avant ;1;0;['forum', 'bidon', 'vrai', 'comprennent', 'publi', 'stand'];forum bidon vrai comprennent publi stand;-1
qd l informatique de pole emploi ne permet pas l envoie de fichiers lourds    et qu on ne te fais pas entrer parce que trop de monde  12   tous avec un masque  et qu en plus les clefs usb ne sont pas autorisees   he pole   ya pas un informaticien au chomage que tu pourrais embaucher et acheter de la bande passante et ameliorer les fermes de serveurs  ;1;0;['qd', 'lourd', 'entrer', 'masqu', 'clef', 'usb', 'autorise', 'he', 'ya', 'informaticien', 'chomag', 'achet', 'band', 'ferm', 'serveur'];qd lourd entrer masqu clef usb autorise he ya informaticien chomag achet band ferm serveur;2
ce pole emploi est pathetique d incompetence    machine en panne  personnel desagreable et incompetent surtout si tu es du continent et j veux pas dire menteur suite aux arguments avances pour que je n enregistre pas mes documents  et ca c est pas d aujourd hui   7 ans que je traine en corse  toujours les memes problemes au meme endroit  a eviter ce lieu;0;1;['pathet', 'incompetent', 'machin', 'pann', 'personnel', 'incompetent', 'continent', 'menteur', 'argument', 'docu', 'train', 'cors', 'endroit'];pathet incompetent machin pann personnel incompetent continent menteur argument docu train cors endroit;-1
ordinateur impeccable   accueil chaleureux   une aide de aaz pour compose lettre de motivation et cv   j ai repris confiance grace a cette agence je recommande;1;0;['impecc', 'chaleur', 'aaz', 'compos', 'repr', 'agenc', 'recommand'];impecc chaleur aaz compos repr agenc recommand;-1
personnels a l ecoutent et traitement de mon dossier rapide au sujet de mon indemnisation  merci pour votre reactivite            ;1;0;['personnel', 'ecoutent', 'dossi', 'indemnis', 'reactivit'];personnel ecoutent dossi indemnis reactivit;1
bonjour les horaires il dise ouvert le jeudi matin  et tout les jeudi matin c est ferme c est inadmissible quand on a des papier a faire c est vachement important pour le travail  on compte sur ca et le pole emploi et fermer le jeudi matin dans ces cas la marque jeudi matin fermer sur la fiche d etablissement et le site web de pole emploi comment voulais vous que le systeme s ameliore dans c est conditions incroyable ;1;0;['horair', 'ouvert', 'jeud', 'jeud', 'ferm', 'inadmissibl', 'vach', 'compt', 'ferm', 'jeud', 'marqu', 'jeud', 'ferm', 'etabl', 'web', 'system', 'condit'];horair ouvert jeud jeud ferm inadmissibl vach compt ferm jeud marqu jeud ferm etabl web system condit;-1
je regrette de ne plus pouvoir y aller normalement  ou au moins avoir un rendez vous par interphone  seul moyen de communication etant l informatique ou le courrier;1;0;['interphon', 'courri'];interphon courri;0
accueil correct  mais disparition de ma conseillere  de belles paroles et des promesses jamais tenues  etant venu avec des objectifs clairs et precis  un projet de reconversion pour lequel j avais des pistes  je me suis retrouve sans aucune aide de la part de la conseillere jeune de pole emploi  qui m a entre autre empeche d acceder a une formation car elle n a plus jamais donne de nouvelles  le tout sans avoir rempli quelconque document administratif  j ai fait toutes les demarches par moi meme  y compris celles qui devaient etre faites par pole emploi pour me venir en aide ;1;0;['disparit', 'parol', 'promess', 'tenu', 'venu', 'object', 'clair', 'prec', 'reconvers', 'lequel', 'pist', 'jeun', 'empech', 'format', 'quelconqu', 'docu', 'administr', 'demarch', 'compr', 'cel'];disparit parol promess tenu venu object clair prec reconvers lequel pist jeun empech format quelconqu docu administr demarch compr cel;-1
je viens de lire les avis  et ca fait peur   en effet  inscrit depuis janvier 2021  mon dossier n a toujours pas ete regulariser  pour cause  l attestation employeur  bien sur  l original leur a ete transmis par voie postale  et sur l application  pole emploi   il est bien stipule que ce dossier leur a ete transmis  mais non  ils me certifient qu ils ne l ont pas recu et je mens   bref  je leur envoie de nouveau cette attestation  via la memoire de mon telephone puisque je l avais pris en photo    mais par voie dematerialise et j ai comme retour que ce document m a ete refuse   une belle bande de branquignoles  ;0;1;['peur', 'inscrit', 'dossi', 'attest', 'employeur', 'original', 'postal', 'stipul', 'dossi', 'certifient', 'attest', 'memoir', 'photo', 'dematerialis', 'docu', 'band', 'branquignol'];peur inscrit dossi attest employeur original postal stipul dossi certifient attest memoir photo dematerialis docu band branquignol;1
c est le seul endroit au monde     et j en suis sur  ou pour changer de rib en ligne  donc sur l application ou le site web  il faut alle en agence  le scanner pour qu il ne soit meme pas pris en compte au final                une reelle perte de temps pour moi et d argent des contribuables pour un systeme bancale en 2022              ;1;1;['endroit', 'rib', 'web', 'agenc', 'compt', 'argent', 'contribu', 'system', 'bancal'];endroit rib web agenc compt argent contribu system bancal;2
interlocuteur toujours tres gentil  le seul probleme c est qu ils n y connaissent absolument rien et ne savent repondre a aucune question  le premier rdv  la personne ne connait pas les modalites d attribution aux aides financieres  pourtant ils sont capables d envoyer un tableau recapitulatif avec les 17 modalites possibles d attribution aux aides financieres   en cas de probleme informatique pour leur envoyer des documents sur leur plate forme qui ne marche pas   personne ne sait  personne ne peut prendre en compte les documents  par mail ou papier   personne n aide a resoudre le probleme  a part me dire pour les autres ca marche donc vous aussi    resultat aucun droit d aide financiere juste pour ca   merci pole emploi  ;1;1;['interlocuteur', 'gentil', 'connaissent', 'savent', 'rdv', 'person', 'modalit', 'attribu', 'capabl', 'tableau', 'recapitul', '17', 'modalit', 'possibl', 'attribu', 'docu', 'plat', 'person', 'person', 'compt', 'docu', 'person', 'resoudr'];interlocuteur gentil connaissent savent rdv person modalit attribu capabl tableau recapitul 17 modalit possibl attribu docu plat person person compt docu person resoudr;2
aujourd hui vers 10h30  11h  aucune attente  j ai ete accueilli par un jeune homme tres competent et agreable  pour une reinscrption  apres une formation et debloquer mon compte que j avais moi meme bloque  je me suis installee devant l ordi  ce monsieur m a donne les premieres directives  puis il est revenu regulierement pour me demander si tout ce passer bien  merci;0;1;['10h30', '11h', 'jeun', 'homm', 'competent', 'reinscrption', 'format', 'debloqu', 'compt', 'installe', 'ordi', 'premier', 'regulier'];10h30 11h jeun homm competent reinscrption format debloqu compt installe ordi premier regulier;-1
pas assez de personnel disponible pour les demarches sur internet;1;0;['personnel', 'demarch', 'internet'];personnel demarch internet;-1
accueil de moins en moins agreable pour les chomeurs qui ont du mal a se connecter a des ordinateurs avec un reseau degrader en permanence     ;1;0;['connect', 'reseau', 'degrad', 'permanent'];connect reseau degrad permanent;-1
je suis passe c est matin 20 juin 2022 je me trouve a la porte ferme  dans le site meme pas prevenu dit ouvert juste 13 h30 bofff encore a attend;1;0;['juin', 'ferm', 'prevenu', 'ouvert', '13', 'h30', 'bofff', 'attend'];juin ferm prevenu ouvert 13 h30 bofff attend;0
un numero affiche en plein public sur internet qui fonctionne meme  c pas professionnel vous nous dites mettez un numero joignable sur les cv  et votre numero est injoignable  c bizarre non         ;1;0;['internet', 'joignabl', 'injoign', 'bizarr'];internet joignabl injoign bizarr;-1
appel telephonique du 16 06 de 10 25 comportement ignoble de la conseillere que a pris l appel qui etait destine a l agence de pontault  combault   cette derniere ne voyait pas mon document dans mon espace personnelle alors que je l avais egalement sous les yeux     cela peux arriver   mais cette derniere refusait d ecouter le numero de documents pour etre sur qu il s agisse bien du meme  elle insistait sur le fait que je l ai envoye par mail donc il n apparaissait pas   je essaye de lui dire que non   que je l avait bien envoye via mon espace  mais elle ne me laissait pas placer un mot   jusqu a ce qu elle disse   vas y raccroche moi au nez si tu veux   alors que je lui repetait   je suis la  madame    et qu elle me raccroche au nez   pourtant jusque la elle m entendait tres bien  par conscience j ai contacte une autre agence ou la conseillere vois bien le document en question a la date que je lui ai donnee  ;0;1;['16', '06', 'ignobl', 'destin', 'agenc', 'pontault', 'combault', 'docu', 'personnel', 'yeux', 'docu', 'agiss', 'insist', 'apparaiss', 'plac', 'diss', 'vas', 'raccroch', 'nez', 'repet', 'raccroch', 'nez', 'entend', 'conscienc', 'contact', 'agenc', 'vois', 'docu', 'donne'];16 06 ignobl destin agenc pontault combault docu personnel yeux docu agiss insist apparaiss plac diss vas raccroch nez repet raccroch nez entend conscienc contact agenc vois docu donne;2
pourquoi  avoir supprime  la borne   pole emploi     comment  faire si on a plus de portable  pour s actualise  avez  vous pensez  au personnes  qui sont  en difficultes  en sachant  que cest meme  pas ouvert  les aprem  midi sauf  sur rendez vous          ;1;0;['born', 'portabl', 'person', 'ouvert', 'aprem'];born portabl person ouvert aprem;-1
4 fois j ai du renvoyer un dossier 4 fois refuse  car le coin de la feuille etait legerement plie  ou quelques mots flou etc ca devient n importe quoi et tres complique pour envoyer un dossier  a l epoque on nous appelait quand ils avaient besoin d informations  la plus rien on vous laisse comme ca;1;0;['renvoi', 'dossi', 'coin', 'leger', 'pli', 'flou', 'dossi', 'epoqu'];renvoi dossi coin leger pli flou dossi epoqu;1
fermer le jeudi 21 septembre travaux alors que sur google ecrit ferme a 12h30   ;1;0;['ferm', 'jeud', '21', 'traval', 'googl', 'ferm', '12h30'];ferm jeud 21 traval googl ferm 12h30;0
le service entreprise est vraiment top  reponse dans la minute  personnel competent  sympathique et de bons conseils  annonce postee modifiee annulee dans la minute  dieu sait qu on peut souvent se plaindre de l administration  mais quand le job est bien fait il faut savoir le reconnaitre et la c est le cas ;1;0;['servic', 'top', 'repons', 'personnel', 'competent', 'sympath', 'poste', 'modifie', 'annule', 'dieu', 'plaindr', 'administr', 'job', 'reconnaitr'];servic top repons personnel competent sympath poste modifie annule dieu plaindr administr job reconnaitr;1
si vous voulez galerer plus de 4 mois a avoir votre allocation et encore je l ai toujours pas recu car a chaque fois qu on me demande un documents manquant que je le transmet on m en redemande un autre  j ai envoye mon attestation employeur  regroupant toute l annee  on me demande un bulletin de salaire pour mai  des conseilleres pourri qui te disent au rendez vous oui votre dossier est complet mais que dale  faudrait leur porter une pleine envers eux a plusieurs donc si vous etes de mon avis contacter moi  quelqu un de seultils feront absolument rien et trouveront des excuses;0;1;['galer', 'alloc', 'docu', 'transmet', 'redemand', 'attest', 'employeur', 'regroup', 'bulletin', 'salair', 'disent', 'dossi', 'dal', 'plein', 'enver', 'contact', 'seultil', 'feront'];galer alloc docu transmet redemand attest employeur regroup bulletin salair disent dossi dal plein enver contact seultil feront;-1
personnel a l ecoute    qui fait ce qu il peut avec les moyens qu il a   les algorithmes auront la peau des chomeurs en fin de droits ;1;0;['personnel', 'algorithm', 'peau'];personnel algorithm peau;-1
nul nul nul on dit vous avez rendez vous le 23 a 16h arrivee au pole emploi ah bah non monsieur vous n aviez pas pris rendez vous;1;0;['23', '16h', 'arrive', 'ah', 'bah'];23 16h arrive ah bah;0
dommage quil n y ait pas le logiciel word a disposition des demandeurs d emploi  ca serait plus pratique pour ecrire une lettre de motivation et ou modifier son cv ;1;0;['word', 'ecrir'];word ecrir;2
merci milles fois pour votre accueil et votre gentillesse  les hotes prennent le temps de vous expliquer  vous accompagnent  restent a votre disposition a la moindre question   de plus  je trouve ca genial que l entreprise pole emploi prenne des services civiques ;1;0;['mill', 'gentilless', 'hot', 'prennent', 'accompagnent', 'restent', 'genial', 'pren', 'servic', 'civiqu'];mill gentilless hot prennent accompagnent restent genial pren servic civiqu;0
j ai pris rdv sur internet directement avec mon conseiller  c est top   rdv dans leur agence  par telephone ou meme en webcam  facile a choisir soi meme  toujours un accueil professionnel  bravo merci de votre accompagnement et de la prise en compte de ma situation particuliere  au telephone  j avais deja eu un gestionnaire de l indemnisation qui avait ete hyper efficace et clair  en plus  confirmation de note discussion recue par mail  c est pro et serieux  merci a vous ;1;0;['rdv', 'internet', 'top', 'rdv', 'agenc', 'webcam', 'soi', 'compt', 'gestionnair', 'indemnis', 'hyp', 'discuss', 'pro'];rdv internet top rdv agenc webcam soi compt gestionnair indemnis hyp discuss pro;-1
ouvert jeudi matin soit disant jusqu a midi 30 puis ferme quand tu fait 1h30 de route a midi envoi de la part du directeur de l agence des menaces penales sans aucune raison  bref j ai  fait 3 jours a pole emploi orange avant de muter  puis la plupart ne comprennent rien  les adresses mails ne marchent pas  ils t appel 5 fois de suite mais rien n avance   j ai 3 ans en pologne mais impossible de faire le necessaire pour mon alloc;1;0;['ouvert', 'jeud', 'ferm', '1h30', 'rout', 'directeur', 'agenc', 'penal', 'orang', 'mut', 'plupart', 'comprennent', 'marchent', 'pologn', 'alloc'];ouvert jeud ferm 1h30 rout directeur agenc penal orang mut plupart comprennent marchent pologn alloc;-1
excellent apres avoir envoye mon dossier pour une demande de formation 4 fois  j ai plus qu a attendre un desistement  juste incroyable ;1;0;['excellent', 'dossi', 'format', 'desist'];excellent dossi format desist;1
je suis allee trois fois au pole emploi d oullins et j ai toujours ete tres bien accueillie  les personnes presentes sont gentilles et competentes  en tout cas je n ai rien a redire de ce cote la  elles ont toujours resolu les petits soucis que j avais avec mon dossier  je ne comprends pas les avis negatifs ;0;1;['oullin', 'person', 'gentill', 'competent', 'redir', 'resolu', 'souc', 'dossi'];oullin person gentill competent redir resolu souc dossi;1
vous inquiete pas si je vous le dit final pour ma pomme pareil mes jours diminu sur mon espace client elle dit non non croyez moi moi sur  mon ecran ils diminu pas  on leur ecris ils  mettent 3 mois pour do ner la reponse eux envoye t un courrier et ils te laisse 15j;1;0;['inquiet', 'pomm', 'pareil', 'diminu', 'croi', 'ecran', 'diminu', 'ecris', 'mettent', 'do', 'ner', 'repons', 'courri', '15j'];inquiet pomm pareil diminu croi ecran diminu ecris mettent do ner repons courri 15j;0
une plainte dans un contexte plus approprie suivra sans doute  pour le moment il suffit de savoir qu ils n ont aucune competence en communication  apres 4 mois mon dossier est toujours incomplet et je dois faire un travail telephonique constant pour obtenir des informations et debloquer le processus  lors d une reunion physique  le conseiller est devenu  physique   j ai subi une agression  une tres mauvaise scene en plein bureau public  pole emploi n est pas starbucks  si vous ne l aimez pas vous ne pouvez pas le changer  mais preparez vous a ce qui vous attend ;0;1;['plaint', 'context', 'appropr', 'suivr', 'suff', 'competent', 'dossi', 'incomplet', 'const', 'debloqu', 'processus', 'sub', 'agress', 'scen', 'bureau', 'starbuck', 'prepar', 'attend'];plaint context appropr suivr suff competent dossi incomplet const debloqu processus sub agress scen bureau starbuck prepar attend;1
j ai change un grand nombre de fois de conseille sans savoir pourquoi  des qu on envoie un mail pour poser une question on a comme reponse un truc deja tout fais  je ne suis pas un robot  vous etes paye pour conseiller les gens alors faites le correctement s il vous plait  cordialement ;1;0;['pos', 'repons', 'truc', 'robot', 'pay', 'plait'];pos repons truc robot pay plait;-1
non seulement les conseillers sont tres incompetents  mais pas sympa du tout  par ex  il vous faut un document  il faut venir le chercher meme si vous habitez loin    c est selon le desiderata de la direction    heureusement qu il y a encore des conseillees sympa au 3949 qui peuvent vous l envoyer par mail  ;1;0;['incompetent', 'ex', 'docu', 'habit', 'selon', 'desiderat', 'conseille', '3949'];incompetent ex docu habit selon desiderat conseille 3949;2
notre experience concernant le lieux beh on peut plus y aller a moitie et on nous dit vous pouvez prendre rdv avec votre conseillere quand vous avez besoin super faut pas que ca soit urgent surtout 3 semaine pour un rdv et 1 seul jour sur 2mois woaw;1;0;['lieux', 'beh', 'moit', 'rdv', 'urgent', 'rdv', '2mois', 'woaw'];lieux beh moit rdv urgent rdv 2mois woaw;2
verifier les textes de loi avant d entamer des demarches pour ne pas vous faire avoir sur vos droits ;1;0;['entam', 'demarch'];entam demarch;0
service deplorable  mon dossier bloque pour un changement de region  ne reponds pas a leurs collegues d une autre region fait tout pour mettre des batons dans les roues   continuer de faire les fantomes cela vous va si bien ;1;0;['servic', 'deplor', 'dossi', 'region', 'collegu', 'region', 'baton', 'rou', 'fantom'];servic deplor dossi region collegu region baton rou fantom;1
tres tres en colere  devoir se deplacer tout les 4 matin parce que au bout de 1 mois mon dossier n est toujours pas a jour   alors que tout a ete fait de mon cote correctement recevoir des lettres de sanction alors que rien n est fait de leur cote   insupportable       ;0;1;['coler', 'dossi', 'sanction', 'insupport'];coler dossi sanction insupport;1
equipe incompetente completement incapable de fournir un renseignement correctement resultats   je galere a obtenir un droit d option depuis maintenant 3 semaine et demi je ne toujours pas le dossier;1;0;['equip', 'incompetent', 'galer', 'option', 'dem', 'dossi'];equip incompetent galer option dem dossi;1
je suis passe chercher des formulaires administratifs  accueil sympathique et personnel serviable ;1;0;['formulair', 'administr', 'sympath', 'personnel', 'serviabl'];formulair administr sympath personnel serviabl;-1
tres mauvais accueil telephonique  prends les gens de haut alors que c est le site qui n est pas a jour  insolence et impolitesse bien au rendrez vous  tres fort pour rabaisser et humilier les gens ;1;0;['mauv', 'prend', 'haut', 'insolent', 'impolitess', 'rendr', 'rabaiss', 'humili'];mauv prend haut insolent impolitess rendr rabaiss humili;-1
sympa de reclamer un trop percu datant de 7 mois juste avant les vacances  un vrai plaisir  avec vous on passe plus de temps a regler les problemes administratifs qu a chercher un travail ;1;0;['reclam', 'vacanc', 'plais', 'administr'];reclam vacanc plais administr;0
ce vraiment horrible on se deplace pour un atestation et leur machine il ne fonctionne pas  se vraiment des bras casse  ils doivent les les licencies et mettre les gens competent avec des diplomes  bras casse vous servais a rien;1;0;['horribl', 'atest', 'machin', 'bras', 'cass', 'licenc', 'competent', 'bras', 'cass', 'serv'];horribl atest machin bras cass licenc competent bras cass serv;-1
je suis arrive tres enerve  je suis reparti avec le sourire grace a cette conseillere   une dame antillaise indienne de la martinique   elle m a aidee a mettre en place un echeancier sur mon espace  tres gentille cette dame ;0;1;['enerv', 'repart', 'sourir', 'antillais', 'indien', 'martin', 'aide', 'echeanci', 'gentill'];enerv repart sourir antillais indien martin aide echeanci gentill;0
equipe efficace  changements de conseillers trop souvent  disponibilite  informations affichees et accessibles;1;0;['equip', 'chang', 'disponibilit', 'affiche', 'accessibl'];equip chang disponibilit affiche accessibl;-1
quelle chance pour les habitants de gisors  j habite courcelles les gisors qui se trouve dans le 60   je suis suivie par meru et c est une catastrophe  dossier csp perdu  convoquee au bout de deux mois alors que le licencie pour cause economique doit etre convoque dans les 10 jours  calcul dans les indemnisations fausses  tout au moins provisoires  toujours pas reglees ce jour  aucune reponse aux mails  obligee de me deplacer a meru ou beauvais  cette situation me rend malade ;1;0;['habit', 'gisor', 'habit', 'courcel', 'gisor', '60', 'meru', 'dossi', 'csp', 'convoque', 'licenc', 'convoqu', 'indemnis', 'provisoir', 'regle', 'repons', 'oblige', 'meru', 'beauv', 'malad'];habit gisor habit courcel gisor 60 meru dossi csp convoque licenc convoqu indemnis provisoir regle repons oblige meru beauv malad;2
il est plus facile de trouver du travail en interim que de s inscrire chez pole enploi  inscrit en mai dossiers traites mi decembre lol;1;0;['interim', 'enploi', 'inscrit', 'dossi', 'mi', 'lol'];interim enploi inscrit dossi mi lol;1
aucune communication aucun moyen d appeler c est vachement utile surtout avec les convocation inutile completement hors sujets de vos recherches serieusement a eviter surtout avec les soit disant aide financier qui n existe pas ;1;0;['vach', 'util', 'convoc', 'hor', 'financi'];vach util convoc hor financi;-1
