"entite";"review_text";"rating";"rel_date";"convert_1";"annee"
"POLE EMPLOI RENNES EST-PE";"C'est indiqué ouvert le lundi 31 octobre sur Internet puis arrivée devant la porte il est notifié que l'agence est fermé. Le 31/10 n'est pas un jour férié !";"1";"il y a 6 mois";"il y a 6 mois";"2022"
"POLE EMPLOI RENNES EST-PE";"Aucun";"4";"il y a 7 mois";"il y a 7 mois";"2022"
"POLE EMPLOI RENNES EST-PE";"Aucun";"1";"il y a 11 mois";"il y a 11 mois";"2022"
"POLE EMPLOI RENNES EST-PE";"Aucun";"3";"il y a 11 mois";"il y a 11 mois";"2022"
"POLE EMPLOI RENNES EST-PE";"Not happy at all.
Counselor doesnt give consult but insult
Counselor doesnt present herself and does not pay attention if we dont understand her at all
Counselor doesnt answer questions and simply the time is up even if the whole session was only me staring at the counselor who seemed to be occupied by the computer
The service does not change at all, even 10 or 20 years passed. Can safely say that they dont really do their jobs which is to give advice and guidance on findinv a job.

Pas content du tout.
Le conseiller ne donne pas de consultation mais insulte
La conseillère ne se présente pas et ne fait pas attention si nous ne la comprenons pas du tout
Le conseiller ne répond pas aux questions et le temps est simplement écoulé, même si toute la session n'était que moi regardant le conseiller qui semblait être occupé par l'ordinateur
Le service ne change pas du tout, même 10 ou 20 ans se sont écoulés.  Peut dire en toute sécurité qu'il ne fait pas vraiment son travail, c'est-à-dire donner des conseils et des orientations sur chercher un emploi.";"1";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI RENNES EST-PE";"Aucun";"1";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI RENNES EST-PE";"0 lieu de recherche d'emploi pour les chômeurs";"5";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI RENNES EST-PE";"L'efficacité légendaire de Pôle Emploi. Aucune écoute, aucun conseil pour vous aider à trouver l'emploi que vous recherchez. Ici vous n'êtes qu'un numéro de dossier, le but n'est pas votre épanouissement au travail mais de vous envoyer rapidement vers un patron quelconque pour ployer le genou. En période de crise, on menace des demandeurs d'emploi modèles qui ont travaillé toute leur vie avant de subir la crise de leur retirer leurs droits s'ils ne rentrent pas dans les cases alors que la France donne gratuitement, sans aucun travail en retour, des aides à toute une partie de la population. Vous n'avez pas le droit de préparer au mieux votre réinsertion professionnelle pour la sortie de la crise puisque vous devez prestement abandonner le chômage pour lequel vous avez cotisé afin de trouver un emploi à des années lumières de ce que vous recherchez.
Je ne sais pas combien on vous paye, mais pour des gens dont le cœur de métier est l'emploi, un travail d'une telle médiocrité est une honte. Sans parler de votre condescendance lors des échanges. Il faut se ressaisir.";"1";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI RENNES EST-PE";"Aucun";"1";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI RENNES EST-PE";"Aucun";"5";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI RENNES EST-PE";"Bon accueil.";"5";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI RENNES EST-PE";"Aucun";"1";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI RENNES EST-PE";"Aucun";"5";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI RIVIERE SALEE-PE";"Aucun";"5";"il y a 6 mois";"il y a 6 mois";"2022"
"POLE EMPLOI RIVIERE SALEE-PE";"Ça fait trois fois que je viens pour motif de changement des indemnisations on m’a dit trois quelque chose de DIFFÉRENT les gens ont l’air compétents pourtant l’information est peut être mal transmise ou pas du tout… formez vos collaborateurs !!!";"1";"il y a 7 mois";"il y a 7 mois";"2022"
"POLE EMPLOI RIVIERE SALEE-PE";"Lors de son appel la conseillère ne s'intéresse pas vraiment à mon projet professionnel! Elle ne demande aucun renseignement aucun justificatif, et me dit qu'il faut que je fasse payé ma formation avec mon CPF car le pôle emploi ne payera pas. Et attention on me dirige vers une formation qui a rien à voir avec ce que je veux faire et mes compétences. Encore une fois très déçu. Je me demande à quoi sert ce truc au final. Le pôle emploi a juste contribué à me garder au chômage, en voulant m'oriente vers ce qui les arranges et non pas par ce qui me plaie et faire.";"1";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI RIVIERE SALEE-PE";"Aucun";"3";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI RIVIERE SALEE-PE";"Aucun";"4";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI RIVIERE SALEE-PE";"Seul inconvénienténiant et pas des moindres, les courriers automatiques de menaces auxquelles il faut répondre alors que le dossier est à jour!";"3";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI ROMANS SUR ISERE-PE";"J'ai été inscrite à cette agence en Août 2022 suivi par une dame (dont je ne mentionnerais pas le nom) que je n'ai ""entre autres"" jamais rencontrer... Je possède a ce jour une RQTH et une OETH qui de ce fait normalement doit être suivi par CAP EMPLOI ; mais CAP EMPLOI justement... parlons-en ! Un organisme qui doit aider et accompagner les personnes en situation de handicap mais qui n'ai autres qu'un organisme financé par l'état et qui ne sert à rien ! Car à l'heure d'aujourd'hui il fusionne avec cette organisme d'incompétents qui n'ai autre que Pôle Emploi... en 6 mois ils m'ont proposer une sorte de formation ""bilan de compétences"" avec Archer... Bilan  qui n'a servi à rien car en sachant qu'auparavant j'avais déjà effectué un bilan de compétences financer par la CPAM... j'ai recontacter par la suite ma conseillère Pôle emploi qui m'a inviter à me présenter à l'agence des lors que des offres d'emploi où de formations ce présenterait dans n'importe quelles domaines... en sachant que justement je ne peux travailler dans n'importe quelles secteurs... du grand n'importe quoi ! Ne comptez absolument pas sur eux pour trouver un emploi !";"1";"il y a un mois";"il y a 1 mois";"2023"
"POLE EMPLOI ROMANS SUR ISERE-PE";"Le personel manque vraiment d'empathie envers les personnes inscrits au pôle emploi
Aucune discrétion concernant le traitement de nos données personnelles
On demande aux conseillères une aide sur les ordinateurs concernent notre espace personnel
Documents a scanner ect ect on a l'impression de les déranger plus qu'autre chose .  Aucun sourire c'est à peine si on vous dit bonjour.
Je suis profondément choquée par ce manque de politesse et de discrétion. Vraiment il manque une formation a ce personel sur le site Romans";"2";"il y a 3 mois";"il y a 3 mois";"2023"
"POLE EMPLOI ROMANS SUR ISERE-PE";"J'ai été au Pôle Emploi de Romans pour m'inscrire au plan d'aide de recherche d'emploi pour les 18-25 ans. Lors de l'entretien, le conseiller me demande mes origines, bien que cette question soit peu approprié, je n'y ai vu aucun mal et j'ai aimablement répondu que je suis Antillais. Suite à ça j'ai eu le droit à des remarques désobligeantes du genre ""par contre il faut que vous soyez vif, parceque vous les Antillais c'est doucement le matin, pas trop vite l'après-midi""... j'étais choqué. À présent j'ai 25 ans, cela fait maintenant 4 ans que j'attend leurs pseudo ""aide"" que je n'ai jamais obtenu même après l'obtentionde mon CACES 1,3,5. Mon dossier à sûrement été ""perdu"", et même si je ne sais pas comment il s'est perdu je sais très bien pourquoi.";"1";"il y a 3 mois";"il y a 3 mois";"2023"
"POLE EMPLOI ROMANS SUR ISERE-PE";"Sérieusement, les conseillers s’en foutent royalement de vous ici.
Ils ne t’aident ni à trouver un emploi ni rien.";"1";"il y a 5 mois";"il y a 5 mois";"2022"
"POLE EMPLOI ROMANS SUR ISERE-PE";"Très bon accueil. Réponses efficaces et bienveillante.";"5";"il y a 7 mois";"il y a 7 mois";"2022"
"POLE EMPLOI ROMANS SUR ISERE-PE";"Quand au téléphone on a une personne agréable qui nous confirme que je peux accompagner mon mari à son rdv et qu’en arrivant on tombe sur une personne désagréable qui refuse que je rentre avec lui, il y a de quoi être agacée sachant que j’avais pris mon après-midi spécialement pour cet entretien!!!
Et que d’autres sont autorisés…..";"1";"il y a 9 mois";"il y a 9 mois";"2022"
"POLE EMPLOI ROMANS SUR ISERE-PE";"Aucun";"3";"il y a 9 mois";"il y a 9 mois";"2022"
"POLE EMPLOI ROMANS SUR ISERE-PE";"Merci à la conseillère Sara et à Pôle emploi Romans d'avoir enfin recruter des personnes aimable, serviable et qui prennent bien le temps  de répondre au mieux à nous demandeur d'emploi.

En effet, je souhaitais féliciter cette conseillère Sara en particulier . Elle a fait preuve de professionnalisme et bienveillance envers nous demandeurs d'emploi qui sommes bien souvent ""négligé"".

Enfin, je tenais à vraiment prendre le temps de souligner l'attitude profesionnelle de cette personne, car OUI, quand ça se passe bien, il faut aussi le dire ! Bonne continuation à cette dame, Au plaisir.";"5";"il y a 11 mois";"il y a 11 mois";"2022"
"POLE EMPLOI ROMANS SUR ISERE-PE";"Aucun";"1";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI ROMANS SUR ISERE-PE";"Les avis négatif ne sont peut-être plus d'actualité car je viens récemment de m'inscrire et je constate que trois jeunes sont vraiment a l'écoute des demandeur d'emploi.Ils prennent  vraiment le temps de bien nous expliquer la marche à suivre et d'une façon calme et détaillé.Open Space est lumineux et agréable.";"4";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI ROMANS SUR ISERE-PE";"Aucun";"1";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI ROMANS SUR ISERE-PE";"Une honte d'accueillir les recrutements de la SFAM dans vos locaux, le recruteur Ludovic n'a aucune honte. Il convoque à 9h30 pour prendre qu'à 10h30 et si il nous a déjà eu en entretien pour un autre poste il nous refuse l'entretien. Pourquoi nous convoquer dans ce cas là ?

Bien à l'image de la société pour qui il travaille, des escrocs notoires sans éducation juste bon à arnaquer des gens sans défenses";"1";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI ROMANS SUR ISERE-PE";"Aucune offre a notre demande";"1";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI ROMANS SUR ISERE-PE";"Aucun";"1";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI ROMANS SUR ISERE-PE";"Ce matin je suis allé car j’avais un problème d’inscription je suis tombé sur une dame qui s’appelle Joël et je la remercierai jamais assez pour sa patience et gentillesse. Il faut mettre plus de personnes comme elle dans cette agence encore merci
Car malheureusement les autres fois où je suis allé je suis toujours tombé sur des personnes qui voulait rien savoir";"5";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI ROMANS SUR ISERE-PE";"SUPERBE accueil, personnel disponible et souriant (me le à travers le masque)";"5";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI ROMANS SUR ISERE-PE";"Faire faire 80 km pour un rendez-vous inutile qui a consisté à scanner mon passeport..scandaleux !";"1";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI ROMANS SUR ISERE-PE";"Je n'ai jamais eu de problème dans mes accompagnements avec pole emploi. J'ai toujours eu de très bon conseiller. Merci à eux, merci à toute l'équipe";"4";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI ROMANS SUR ISERE-PE";"ne sert strictement a rien ne travail jamais on ne peut pas les contacter si vous voulez du travail aller voir ailleurs ces beaucoup mieux";"1";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI ROMANS SUR ISERE-PE";"Aucun";"1";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI ROMANS SUR ISERE-PE";"Une grosse blague. Professionnalisme 0. Relationnel 0. Aide par téléphone 0. 1 étoile parce que je ne peux pas mettre moins. Je défis n'importe qui d'être aussi désagréable et incompétent que les personnes qui s'occupent du dossier de maman. Une seule chance c, est que ma maman ne souhaite pas que je m'occupe de faire le lien entre elle et eux. Parce qu'on verrait bien s'ils se permettraient de me parler comme ils le font avec elle. Intolérable et inacceptable pour un service public !";"1";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI ROMANS SUR ISERE-PE";"Service indemnisation qui ne fait absolument pas son travail inscrit depuis avril 2020 on me dit que mon inscription est pris en compte en juin 2020 sauf que j'ai toute les preuves qu'il font n'importe quoi et dise bien ce qu'il veule pour bâcler les dossier ^^ demande des documents déjà envoyé plus de 20 fois !!! Des réponses toute faite et qui ont rien à voir avec ce qu'ils ont dit la veille en attendant j'ai 1 mois dans le vent due à l'incompétence de ces dernier mais je ne vais pas me laisser faire ! La personne au bout du fil coupé la parole et méprisante désagréable soupire à tout bout de chant et ne veux absolument rien entendre prétextant que c'est nous les con 👏 !!! Mail et courrier envoyé au directeur suite à l'incompétence de ces derniers ! Bravo pôle emploi la vous faite très fort !";"1";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI ROMILLY-SUR-SEINE-PE";"Aucun";"5";"il y a 2 semaines";"il y a 2 semaines";"2023"
"POLE EMPLOI ROMILLY-SUR-SEINE-PE";"Vraiment très déçue de l’approche et du comportement condescendant de ma conseillère. Aucune pédagogie, aucune approche productive, aucune compréhension. Pas de confiance dès le début de l’échange. Très mauvaise impression. Pôle emploi c’est plutôt décourager qu’encourager. C’est vraiment dommage. Si c’est pour avoir affaire à des personnes qui ne sont pas professionnelles cela ne sert à rien. Je ne leur fait pas confiance pour m’aider.";"1";"il y a un mois";"il y a 1 mois";"2023"
"POLE EMPLOI ROMILLY-SUR-SEINE-PE";"1 étoile car on ne peut pas mètre 0, incompétence totale...";"1";"il y a un mois";"il y a 1 mois";"2023"
"POLE EMPLOI ROMILLY-SUR-SEINE-PE";"Équipe a revoir sérieusement !!
Un mois sur deux ils trouvent des excuses pour ne pas payer ou payer le 20 du mois, cette argent que vous distribuez il ne faudrait pas oublié qu’il nous appartient et que nous le cotisons en travaillant !";"1";"il y a 4 mois";"il y a 4 mois";"2023"
"POLE EMPLOI ROMILLY-SUR-SEINE-PE";"Il serait bon de rappeler à vos """"conseillers d'orientation"""" (je parle ici de Mme H.) de respecter les décisions personnelle , les choix, les valeurs , les objectifs et limites propre à chacun. Le respect, le non-jugement et l'écoute sont pourtant les bases, surtout quand on est censé être là pour aider les autres... Mais ce n'est pas inné pour tout le monde apparemment. Et non, le fait d'insister très lourdement, sous couvert de menaces, pour espérer me faire adhérer à vos choix, n'est pas non plus une pratique très professionnelle !
Sur ce, Mme la bien-pensante, j'ai des choses plus intéressantes à faire.

Par contre la dame de l'accueil, elle était sympathique.";"1";"il y a 6 mois";"il y a 6 mois";"2022"
"POLE EMPLOI ROMILLY-SUR-SEINE-PE";"popol  emploi sont la pour radier pas pour aider il comprennent rien payer à radier ou a te mettre dans des réunion collective qui sert à rien et bien plus encore il on mis des personnes a la rue impossibilité de payer les factures .rsa couper aussi celà arrive sur toute les popol emploi  on pourrait même écrire un livre sûr tout les stars de conseillers  qui radie et qui mes des familles  a la rue impossibilité de payer les factures sont a rue a enfant handicapé ou pas . des réunion collective qui sert à rien pour répéter . il offre du café . des erreurs de calcul et J en passe la radiation baisse le chômage. la conseillère ou conseillers tranquille au chaud c est pire en pire bienvenue chez popol emploi inscrit Après radier selon les critères plein d autre chose des conseillers qui vous donne des réunion collective cv reboote il recommence tous les années ateliers  il fait chaud bof est encore.";"1";"il y a 6 mois";"il y a 6 mois";"2022"
"POLE EMPLOI ROMILLY-SUR-SEINE-PE";"D'une incompétence incomparable ce dire qu'il sont censé aidé à trouvé du taff sa fais peur pour ceux qui galere
te prenne de haut avec leur réponse toute faite et ne cherche pas assumé leur faute";"1";"il y a 7 mois";"il y a 7 mois";"2022"
"POLE EMPLOI ROMILLY-SUR-SEINE-PE";"Au lieu de menacer ma fille d'un avertissement de radiation pour un appel manqué suite au mauvais fonctionnement réseau ( ouais ça arrive!!!) Alors qu'en plus elle sort d'une formation de Mars à Juillet , et que là elle vient de débuter les vendanges !!!! ( Donc ouai vous allez recevoir le contrat via mail)
Aller donc faire des menaces aux personnes qui refusent vos formations ainsi que les vendanges et qui sont indemnisés !!!!(ce qui n'est pas le cas de ma fille !!!)
Quand on change les conseillères à longueur d'année il faudrait peut-être qu'elle se mette les dossiers à jour dans leur crâne !
À bon entendeur !!!";"1";"il y a 8 mois";"il y a 8 mois";"2022"
"POLE EMPLOI ROMILLY-SUR-SEINE-PE";"Pas sérieux";"2";"il y a 11 mois";"il y a 11 mois";"2022"
"POLE EMPLOI ROMILLY-SUR-SEINE-PE";"Des bon à rien. Incapables de vous accompagner dans le processus de création d'entreprise ! Ils sont censés nous aider mais ne servent finalement à rien. Conseiller qui doit vous rappeler mais qui ne le fait jamais, RDV pris à ma demande annulés ! Pole emploi recrute, sur pole emploi.";"1";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI ROMILLY-SUR-SEINE-PE";"Odieuses à l'accueil téléphonique !";"1";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI ROMILLY-SUR-SEINE-PE";"Aucun";"1";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI ROMILLY-SUR-SEINE-PE";"Rendez vous téléphonique à 10h30, je crois que la conseillère m'a oublié. J'espère que le café n'était pas trop sucre ! Après on dit que les jeunes ne veulent pas travailler ! Chapeau !";"1";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI ROMILLY-SUR-SEINE-PE";"Aujourd'hui lundi 17 mai 2021
Pôle emploi : Romilly-sur-Seine
10100 à 10h30
Objet : invitation à une réunion d'information ( TOM Recrutement ) avec l'entreprise ( ATALIAN )
La réunion d'information a duré 1h30, avec les responsables de l'entreprises
Mme TOM
Il manquait beaucoup de personnes à cette réunion d'information de Recrutement.
On était que deux personnes pour ce Recrutement.
Avis : la phobie coronavirus 19.
Qui a changé le mode de vie a beaucoup de personnes.
Le recrutement c'est bien passer avec la responsable de la DRH de l'entreprise.
Cordialement 😃
Didier Violas";"4";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI ROUEN MAROMME-PE";"Ils se trompent dans un versement et plusieurs mois après demandent un remboursement ! C’est n’importe quoi ! Les salariés n’ont qu’à faire leur travail correctement ! Et si ils ne le font pas par passion, il y a plein d’autres candidats pour les remplacer dans leur banque de données il me semble !!
Moi, si je me trompe dans un devis j’assume et fais mieux la fois d’après ! Je ne rappelle pas mon client pour lui demander 3 mois après de l’argent parce que j’ai fait une erreur… c’est trop facile pour eux et ne les force pas à être compétent…";"1";"il y a 3 semaines";"il y a 3 semaines";"2023"
"POLE EMPLOI ROUEN MAROMME-PE";"Aucun";"1";"il y a 6 mois";"il y a 6 mois";"2022"
"POLE EMPLOI ROUEN MAROMME-PE";"Disons que chez eux si tout se passe bien c’est cool, l’accueil est parfait. Les conseillers n’ont aucun problème à vous rappeler pour vous expliquer les choses clairement etc…

Mais alors si Pôle Emploi est responsable d’un problème dans votre dossier… vous aurez face à vous la définition même de la mauvaise foi. Des gens qui vous parle comme à un chien et qui s’étonnent ensuite que vous leur répondiez sur le même ton. 🥹
A ce jour aucune excuse pour une erreur qui pourtant vient bien de leur logiciel. Bravo changez rien 👏🏻";"1";"il y a 10 mois";"il y a 10 mois";"2022"
"POLE EMPLOI ROUEN MAROMME-PE";"Aucun";"4";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI ROUEN MAROMME-PE";"Je ne peux pas donner d'avis sur l'accueil physique mais concernant les échanges mails et téléphoniques, je n'ai jamais été aussi bien ""accueillie"". Les réponses sont rapides, claires et respectueuses.";"5";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI ROUEN MAROMME-PE";"Aucun";"1";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI ROUEN SAINT SEVER-PE";"Ils sont.t très à  l'écoute au pôle  emploi rouen saint sever.ils nous donne de bons conseils seille et sont très aimable.rin à  y redire";"5";"il y a un mois";"il y a 1 mois";"2023"
"POLE EMPLOI ROUEN SAINT SEVER-PE";"Une conseillère qu’est payer à rien faire voilà où vont nos impôts et nos cotisations 👏👏 …";"1";"il y a un mois";"il y a 1 mois";"2023"
"POLE EMPLOI ROUEN SAINT SEVER-PE";"Aucun";"1";"il y a 5 mois";"il y a 5 mois";"2022"
"POLE EMPLOI ROUEN SAINT SEVER-PE";"Plus inutile que vous ? ça n'existe pas. Vos ""conseillères"" ? absolument exécrables et irrespectueuses, c'est un pur scandale.
J'appelle un matin pour avoir un simple renseignement concernant une alternance (dans un domaine précis) car je débute dans le monde du travail et j'aimerait quelques conseilles concernant les endroits où faire mes recherches, je pose ma question en étant très agréable malgré de longues minutes d'attentes et un ""bonjour"" à peine audible/articulé ; la réponse de la conseillère ? ""Euuh madame on vas pas trouver votre stage à votre place hein !"" Attendez mais j'hallucine ? Premièrement ce n'est pas un stage que je recherche mais une ALTERNANCE ! , deuxièmement, Pôle Emploi est un centre d'information pour les FORMATIONS et EMPLOIS ! Cette dame connaît-elle au moins son métier ??? Troisièmement, à quel moment j'ai appelé pour que VOUS me trouviez quoi que ce soit ? Cela fait des mois que JE fais mes propres recherches je n'ai jamais réclamé aucune aide, j'appelais pour une simple INFORMATION. Apprenez à écouter ce que les gens disent avant de dire d'énormes m*****. Et au passage, le respect c'est pas à 50 piges qu'on l'acquiert.
Je ne vous parle même pas de la suite de la conversation où cette dame s'est vite mise à me parler de façon agressive. J'ai évidemment raccroché et c'est bien la dernière fois que j'ai à faire à vous car vous êtes les pires de tous dans le domaine.
J'espère que l'affreuse dame à qui j'ai parlé est moins frustrée depuis, sinon, c'est vraiment triste comme vie. Bizous";"1";"il y a 6 mois";"il y a 6 mois";"2022"
"POLE EMPLOI ROUEN SAINT SEVER-PE";"Aucun";"5";"il y a 8 mois";"il y a 8 mois";"2022"
"POLE EMPLOI ROUEN SAINT SEVER-PE";"A quoi vous servez ??? J'aimerai bien savoir ...";"1";"il y a 9 mois";"il y a 9 mois";"2022"
"POLE EMPLOI ROUEN SAINT SEVER-PE";"Expérience plutôt a nuancer,
très aléatoire sur l'encadrement des demandeurs d'emploi.

Des questions sont posées, mais la réponse n'est pas forcément dans le message de retour...

Cordialement.";"3";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI ROUEN SAINT SEVER-PE";"Aucun";"5";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI ROUEN SAINT SEVER-PE";"Aucun";"4";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI SABLE SUR SARTHE-PE";"Aucun";"1";"il y a 8 mois";"il y a 8 mois";"2022"
"POLE EMPLOI SABLE SUR SARTHE-PE";"Des salariés avec qui ont pourrait confondre pour de simple figurants, un suivie qui n'aboutit généralement à rien,
Pour cherché du boulot il ne faut pas compter sur eux, ce sont des incapables et c'est une honte";"1";"il y a 8 mois";"il y a 8 mois";"2022"
"POLE EMPLOI SABLE SUR SARTHE-PE";"Aucun";"2";"il y a 10 mois";"il y a 10 mois";"2022"
"POLE EMPLOI SABLE SUR SARTHE-PE";"Ponctuel à l'écoute investi une aide précieuse pour moi et mes démarche";"5";"il y a 10 mois";"il y a 10 mois";"2022"
"POLE EMPLOI SABLE SUR SARTHE-PE";"Fermeture exceptionnelle en ce jeudi 23 juin 2022. Comme souvent, juste une affiche posé sur la porte au dernier moment. Du coup, déplacement pour rien, notamment pour ceux qui n'habitent pas à côté en cette période où le prix de l'essence est cher.";"1";"il y a 10 mois";"il y a 10 mois";"2022"
"POLE EMPLOI SABLE SUR SARTHE-PE";"Aucun";"5";"il y a 10 mois";"il y a 10 mois";"2022"
"POLE EMPLOI SABLE SUR SARTHE-PE";"Aucun";"5";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI SABLE SUR SARTHE-PE";"Aucun";"1";"il y a un an";"il y a 1 an";"2022"
