Description;e-mail;Description_2;Description_3;clusters
efficacite de la conseillerereponse claire du service indemniteles applications pole emploi sont tres performantes ;1;['efficacit', 'conseillererepons', 'servic', 'indemnitel', 'perform'];efficacit conseillererepons servic indemnitel perform;-1
a ce jour je n ai toujours pas recu la prime de noel de la part de pole emploi alors que je suis eligible  en effet je touche l ass  pole emploi quand on arrive a les contacter demande a chaque fois un nouveau justificatif alors que cette prime est sensee etre versee automatiquement    il demande un justificatif de la caf  celle ci reponds que ce document n existe pas  c est un combat administratif inconcevable et perdu d avance tellement personne ne repond la meme chose  or j ai enormement besoin de cette prime en ce moment tout simplement pour pouvoir survivre   il n y a rien de positif dans mon histoire  je suis a bout ;1;['noel', 'eligibl', 'ass', 'contact', 'justif', 'sense', 'verse', 'justif', 'caf', 'docu', 'combat', 'administr', 'inconcev', 'person', 'survivr', 'histoir'];noel eligibl ass contact justif sense verse justif caf docu combat administr inconcev person survivr histoir;2
impossibilite de recuperer des attestations de plus de 3 anpas d espace messagerie pour communiquer  hors mis les reclamations et une question concernant offre d emploi avec son conseiller effacement des dossiers d inscription de plus de 3 ans;1;['impossibilit', 'recuper', 'attest', 'anpas', 'messager', 'communiqu', 'hor', 'reclam', 'offre', 'effac', 'dossi'];impossibilit recuper attest anpas messager communiqu hor reclam offre effac dossi;-1
j ai plusieurs experiences et il serait trop long de les detailler toutes icicontexte le principal probleme que j identifie vient du fonctionnement de la messagerie lorsqu on ecrit a un conseiller pole emploi 1  l historique de conversation disparait  quand on recoit la reponse du conseiller  on ne sait pas a quelle question il repond  et lui n a pas le temps d ecrire de longs textes s il s agit de questions tres precises2  l objet de l email  que je m applique a soigner  disparait dans la reponse  donc meme probleme  cf  exemple ci apres3  une autre personne  que le conseiller  peut y repondre et ne rien comprendre a l echangedu cote de pole emploi c est peut etre  lisible  afin de comprendre la demande du chomeur dans un echange de  questions reponses   mais du cote usager  c est ubuesque pour couronner le tout  on recoit un accuse de reception de l email envoye a notre conseiller  mais on ne sait pas quel email vecudans le cas d un echange urgent sur une signature de contrat entre pole emploi  une entreprise et moi  nous sommes retrouves dans cette situationexemple d objet d email de reponse de mon conseiller  ai remplace certains chiffres par un  x   pole emploi  200xxx000000xxx72 reponse de votre pole emploresultat  perte de temps cote pole emploi  usager et entreprise ;1;['detaill', 'icicontext', 'identif', 'vient', 'messager', 'lorsqu', 'histor', 'dispar', 'recoit', 'repons', 'ecrir', 'long', 'agit', 'precises2', 'objet', 'soign', 'dispar', 'repons', 'cf', 'apres3', 'person', 'echangedu', 'lisibl', 'repons', 'usag', 'ubuesqu', 'couron', 'recoit', 'accus', 'vecudan', 'urgent', 'signatur', 'contrat', 'retrouv', 'situationexempl', 'objet', 'repons', 'remplac', 'x', '200xxx000000xxx72', 'repons', 'emploresultat', 'usag'];detaill icicontext identif vient messager lorsqu histor dispar recoit repons ecrir long agit precises2 objet soign dispar repons cf apres3 person echangedu lisibl repons usag ubuesqu couron recoit accus vecudan urgent signatur contrat retrouv situationexempl objet repons remplac x 200xxx000000xxx72 repons emploresultat usag;-1
inscrite a pole emploi depuis un an  je n ai rencontre mon conseiller qu une fois j ai du le joindre deux fois par mail pour des renseignements et a la fin de mes deux conversations telephoniques  mon conseiller me dit    je vais vous envoyer une synthese de l entretien  mais de quel entretien parle t il   si je ne l avais pas contacte  jamais il n aurait pu remplir ses statistiques  je me demene pour trouver une formation je lui envoie un mail pour l en informer  il me rappelle et me dit  bon a quelle session souhaitez vous vous inscrire     je lui reponds  c est bon je suis en contact directement avec l organisme de formation  je verrais avec eux pour l inscription a la session   il me repond que l objectif c est qu il me place  j effectue toutes mes demarches seules et c est le conseiller qui va en retirer les lauriers en disant a son administration qu il m a place si je reprends ses termes  c est honteuxa part  vanter le site internet pole emploi  les conseillers n apportent rien en terme de conseils  de recherche sur notre secteur d activite  etc  la preuve apres un an de recherche  je suis toujours a la recherche d un emploi avec un seul rendez vous  je me pose vraiment la question de savoir si tous les conseillers pole emploi conseillent les demandeurs d emploi de la meme facon ;1;['inscrit', 'synthes', 'contact', 'statist', 'demen', 'format', 'session', 'contact', 'format', 'verr', 'session', 'object', 'demarch', 'seul', 'retir', 'lauri', 'administr', 'reprend', 'vant', 'internet', 'apportent', 'conseillent'];inscrit synthes contact statist demen format session contact format verr session object demarch seul retir lauri administr reprend vant internet apportent conseillent;-1
j ai recu un courriel a mon adresse email concernant le depot d un courrier pole emploi a mon espace de demandeur d emploi le fichier est corrompu  il n est pas possible de lire le fichier  j ai change de telephone portable  j ai aussi change le moteur de recherche mais les courriers deposes a mon espace de demandeur d emploi sont rendus illisiblesce n est pas la premiere fois que la qualite de mon service de pole emploi est deteriore  je souhaite le signaler c est une atteinte a l article 226 15 du code penal qui concerne les correspondances ;1;['courriel', 'depot', 'courri', 'corrompu', 'portabl', 'moteur', 'courri', 'rendus', 'illisiblesc', 'servic', 'deterior', 'atteint', 'articl', '226', 'penal'];courriel depot courri corrompu portabl moteur courri rendus illisiblesc servic deterior atteint articl 226 penal;-1
suite a une demission en juillet 2019  j ai voulu trouver le moyen d ouvrir mes droits au chomage pour pouvoir faire une formation pole emploi m a guidee tout du long de mon parcours tout d abord en me proposant d effectuer un travail saisonnier ce qui me permettait d ouvrir mes droits au chomage  suite a cette emploi qui a dure 8 mois  de aout 2019 a mars 2020   j ai donc pu obtenir les aides au retour a l emploi et realiser mon projet de reconversion professionnelle pole emploi m a guidee dans mon choix de centre de formation  puis dans les aides de financement  grace a un rendez vous avec un psychologue sur place  j ai pu confirmer mon choix de me former en tant qu assistante comptable  les demarches entre pole emploi et le centre de formation on ete tres complique car il y a peu de communication entre les deux  mais avec acharnement  j ai pu debuter ma formation en septembre 2020 et etre finalement embauche dans un cabinet comptable en tant que secretaire comptable ma conseillere pole emploi a ete tres presente toute au long de mon parcours et tres reactive  j ai eu beaucoup de chance de l avoir et elle m a permis d avancer rapidement et efficacement sur mon projet meme si ca a prit du temps  mais au bout d un parcours de reconversion qui a prit 1 an et demi  j ai enfin pu atteindre mon objectif  ;1;['demiss', 'juillet', '2019', 'chomag', 'format', 'guide', 'abord', 'saisonni', 'chomag', '2019', 'reconvers', 'guide', 'format', 'financ', 'psychologu', 'confirm', 'comptabl', 'demarch', 'format', 'acharn', 'debut', 'format', 'cabinet', 'comptabl', 'secretair', 'comptabl', 'reactiv', 'efficac', 'prit', 'reconvers', 'prit', 'dem', 'atteindr', 'object'];demiss juillet 2019 chomag format guide abord saisonni chomag 2019 reconvers guide format financ psychologu confirm comptabl demarch format acharn debut format cabinet comptabl secretair comptabl reactiv efficac prit reconvers prit dem atteindr object;1
depuis le mois de mars 2021 nous n avons toujours pas recu notre aide legale due au titre du chomage partiel il nous a ete repondu que l administration etait debordee  depuis  malgre tous les documents transmis  nous n avons recu aucune reponse a nos mails et nos messages telephoniques merci de prendre le relai cela devient insoutenable et cela met en peril notre entreprise bien cordialement ;1;['legal', 'du', 'chomag', 'administr', 'deborde', 'docu', 'repons', 'rel', 'insouten', 'peril'];legal du chomag administr deborde docu repons rel insouten peril;2
j avais demande par courrier en lr avec ar en date de mi avril 2021 un rendez vous avec un conseiller pole emploi ou le directeur afin d avoir des explications fiables  exactes  sures et non approximatives sur le montant alloue en allocation de chomage pour la periode du 01 04 a mi mai 2021 puisque des mi mai j ai retrouve moi meme un emploi durant ce temps pas un appel d un conseiller  ni meme d une eventuelle proposition de formation ou encore pour connaitre le pourquoi du comment de la perte d emploi durant ce mois et 9 jours de chomage  j ai appele le 3949 pratiquement tous les jours et a chaque fois les explications et les informations etaient differentes de la veilles   c est quand meme fou   bravo a l algorithme utilise par pole emploi  voir article de france inter du 02 11 2019 de lea guedj    n arrivant pas a avoir de bons conseils et explications  je me suis rendu par 2 fois directement au pole emploi cristallerie  tous cela pour rien  le conseiller m a endormi avec des explications a dormir debout et qui en plus m a pris de haut   conclusions du probleme    nous sommes le 27 07 et toujours aucune nouvelle du pole emploi pour ces fameuses explications   j ai fait plusieurs relance pour enfin avoir de vraies explications sur le versement bizarrement calcule de mon allocation de chomage  j ai meme transmis mes courriers et mes demandes a mme la deputee de nancy pour qu elle puisse intervenir  il m a ete repondu d une maniere laconique et  bateau  qu elle comprenait la situation et que j allais etre contacte prochainement    nous sommes quand meme le 27 07  4 mois  et toujours rien    bravo ;1;['courri', 'lr', 'ar', 'mi', 'directeur', 'fiabl', 'exact', 'sur', 'approxim', 'allou', 'alloc', 'chomag', '01', '04', 'mi', 'mi', 'appel', 'eventuel', 'format', 'connaitr', '9', 'chomag', 'appel', '3949', 'pratiqu', 'veil', 'fou', 'algorithm', 'articl', 'inter', '02', '11', '2019', 'le', 'guedj', 'arriv', 'cristaller', 'endorm', 'dorm', 'debout', 'haut', 'conclus', '27', '07', 'fameux', 'vrai', 'bizarr', 'alloc', 'chomag', 'courri', 'mme', 'depute', 'nancy', 'interven', 'lacon', 'bateau', 'compren', 'allais', 'contact', '27', '07'];courri lr ar mi directeur fiabl exact sur approxim allou alloc chomag 01 04 mi mi appel eventuel format connaitr 9 chomag appel 3949 pratiqu veil fou algorithm articl inter 02 11 2019 le guedj arriv cristaller endorm dorm debout haut conclus 27 07 fameux vrai bizarr alloc chomag courri mme depute nancy interven lacon bateau compren allais contact 27 07;-1
pour eviter les papiers  quand est ce que pole emploi et ameli vont s accorder pour le cesu   au vu de mes multiples employeurs  cela peut aller entre 300 et 500 feuilles et des fois plus  on renonce a nos droits  par contre lors de controle des services trouvent la solution  j ai meme un courrier c est bizarre    cordialement ;1;['amel', 'accord', 'employeur', '300', '500', 'renonc', 'servic', 'trouvent', 'courri', 'bizarr'];amel accord employeur 300 500 renonc servic trouvent courri bizarr;0
inscrite au chomage depuis 2017  tres longue duree   desolee de vous dire malheureusement que la communication n en est pas une    absence de conseillers la premiere annee et absence d allocations pendant six mois  de quoi etre inquiete   changements de conseillers   une dizaine depuis la premiere qui m a refuse mon dossier de formation pour motif que je n etais pas prioritaire avec un bac 5  difficultes d acces aux conseillers depuis le 17 03 2020  ils envoient les candidats vers d autres conseillers   on peut se demander ou peut etre le suivi dans ces circonstances mais je retiendrai que parmi la vingtaine d employes de la fonction publique  il y en a un qui evitait de me faire venir pour rien et qui m a meme offert un bilan de competences dont je revais depuis des annees mais on pense bien que l on peut attendre encore des mois sans allocation depuis aout 2020  sans compter la crise sanitaire qui nous empeche d acceder aux guichets de la fonction publique heureusement que j ai quand meme une conseillere qui m envoie vers une nouvelle conseillere  de quoi je me plains     si elles ne sont pas disponibles avant la rentree alors que j ai besoin d eux avant cette date butoir  notamment pour completer mon dossier caf  avec l absence de conseillers  je crois qu on ne nous aide pas et qu on nous retarde dans nos projets de formation avec l absence de reponse dans les delais qui sont demandes   cela nous ferme des portes qui doivent rester ouvertes ;1;['inscrit', 'chomag', '2017', 'dure', 'desole', 'absenc', 'absenc', 'alloc', 'six', 'inquiet', 'chang', 'dizain', 'dossi', 'format', 'prioritair', 'bac', '17', '03', 'envoient', 'circonst', 'retiendr', 'parm', 'vingtain', 'offert', 'rev', 'alloc', 'compt', 'cris', 'sanitair', 'empech', 'guichet', 'plain', 'disponibl', 'rentre', 'butoir', 'dossi', 'caf', 'absenc', 'crois', 'retard', 'format', 'absenc', 'repons', 'ferm', 'ouvert'];inscrit chomag 2017 dure desole absenc absenc alloc six inquiet chang dizain dossi format prioritair bac 17 03 envoient circonst retiendr parm vingtain offert rev alloc compt cris sanitair empech guichet plain disponibl rentre butoir dossi caf absenc crois retard format absenc repons ferm ouvert;-1
j ai actualise ma periode d activite sur le site du pole emploi   mon espace en ligne renseigne que mon actualisation a ete valide le 3 octobre 2021  il est inscrit que ma validation concerne la periode du 31 aout 2021 au 31 aout 2021 uniquement  le service technique du pole emploi ne repond pas correctement au reclamation  les correspondances qui sont deposees a mon espace en ligne sont rendus inutilisables et illisibles par un code informatique ;1;['inscrit', '31', '31', 'servic', 'reclam', 'depose', 'rendus', 'inutilis', 'illisibl'];inscrit 31 31 servic reclam depose rendus inutilis illisibl;2
depuis mars 2020  j ai fais une demande d allocation chomage aupres de pole emploi suite a la crise sanitaire qui est restee sans reponse jusqu a maintenant  meme avec mes plusieurs relances  environ 100 relances  90  par telephone et 10   par mail   un dossier depose il y a environ 17 mois   a chaque fois que je prend contact avec pole emploi  j ai toujours plusieurs reponse differentes ;1;['alloc', 'chomag', 'cris', 'sanitair', 'reste', 'repons', '100', '90', 'dossi', '17', 'contact', 'repons'];alloc chomag cris sanitair reste repons 100 90 dossi 17 contact repons;-1
les dossiers d allocation ne sont jamais traites   j avais deposer un dossier d allocation depuis 2019 jusqu a maintenant sans reponse meme avec plusieurs relance  meme quand je contacte ma soi disant conseillere que j ai jamais vue  qui repond pratiquement jamais a mes messages  quand elle repond c est pour me dire  je reviens vers vous des que j aurais une reponse   des reclamations qui prennent 1 mois voire plus pour etre prise en compte  c est affiche que les reclamations sont traiter en 24h normalement    et quand c est pris en compte c est pour me  dire nous avons bien recu votre reclamation   a force de reclamer  ils ont decide de me radier des demandeurs d emploi   j ai aussi contacte le soi disant mediateur 2 fois sans reponse de sa part  a quoi ca sert  ;1;['dossi', 'alloc', 'dossi', 'alloc', '2019', 'repons', 'contact', 'soi', 'pratiqu', 'revien', 'repons', 'reclam', 'prennent', 'compt', 'reclam', '24h', 'compt', 'reclam', 'reclam', 'radi', 'contact', 'soi', 'mediateur', 'repons'];dossi alloc dossi alloc 2019 repons contact soi pratiqu revien repons reclam prennent compt reclam 24h compt reclam reclam radi contact soi mediateur repons;-1
bonjour je trouve vraiment regrettable que l  on recoit un fichier pdf a remplir alors que les agences interim proposent des formulaires en ligne avec signature electroniques  la au chomage plus d encre et pas de scanner    il faut imprimer ecrire rescanner puis envoyer   perte de temps et d argent  meme un simple formulaire sur word ou excel je sais faire   ensuite il est regrettable de ne pas avoir un listing des salons entreprises  c est moi qui doit chercher sur le net  et le listing des formations  aussi j ai perdu 600  de mon dif vraiment pas aide   cause cas contact covid;1;['recoit', 'pdf', 'agenc', 'interim', 'proposent', 'formulair', 'signatur', 'electron', 'chomag', 'encre', 'ecrir', 'rescann', 'argent', 'formulair', 'word', 'excel', 'listing', 'salon', 'net', 'listing', 'format', '600', 'dif', 'contact', 'covid'];recoit pdf agenc interim proposent formulair signatur electron chomag encre ecrir rescann argent formulair word excel listing salon net listing format 600 dif contact covid;1
bonjour  j ai recu un courrier de pole emploi paris pour m informer de mon inscription et du versement d indemnites  une dizaine de pages de courrier   probleme    je n ai jamais rien demande  j ai du contacter le 3949 car on ne pouvait pas m aider par e mail  j aurais pu toucher des indemnites sans y avoir droit et surtout cela represente des demarches et des papiers inutiles pour vous comme pour moi ;1;['courri', 'paris', 'indemnit', 'dizain', 'courri', 'contact', '3949', 'e', 'indemnit', 'represent', 'demarch'];courri paris indemnit dizain courri contact 3949 e indemnit represent demarch;-1
quand votre enfant de 18 ans n est plus couvert par votre mutuelle qui exige une attestation pole emploi  l inscription se valide par un rendez vous physique que ma fille ne peut pas honorer etant sans permis  je suis disponible les mercredis et les vacances scolaires mais bien entendu aucune date dans ces creneaux   idem pour le permis  pas d aide puisque pas d inscription a pole emploi  ne peuvent ils pas faire l effort de l inscrire par rendez vous telephonique sachant qu elle ne peut se rendre sur place et ne pourra pas travailler tant qu elle n a pas le permis   c est grotesque et ils nous mettent dans la mouise ;1;['18', 'couvert', 'mutuel', 'attest', 'fill', 'honor', 'mercred', 'vacanc', 'scolair', 'entendu', 'creneau', 'idem', 'effort', 'grotesqu', 'mettent', 'mouis'];18 couvert mutuel attest fill honor mercred vacanc scolair entendu creneau idem effort grotesqu mettent mouis;2
j ai repondu a une annonce du pole emploi a partir de mon espace en ligne   les coordonnees de cette agence pole emploi  montluel  sont indisponibles  ma conseillere pole emploi m a envoye un message a vide sans les coordonnees de cette agence pole emploi  il m est donc impossible de repondre a une question qui m a ete pose par cette agence pole emploi  je suis empechee de retrouver un emploi ;1;['agenc', 'montluel', 'indisponibl', 'vid', 'agenc', 'agenc', 'empeche'];agenc montluel indisponibl vid agenc agenc empeche;-1
l adresse courriel de ma conseillere pole emploi est incorrecte  a plusieurs reprises mes courriels sont rejetes par sa messagerie   cette conseillere a une attitude qui n est pas impartiale ;1;['courriel', 'incorrect', 'courriel', 'messager', 'attitud', 'impartial'];courriel incorrect courriel messager attitud impartial;-1
bonjour  je suis tres active dans ma recherche d emploi   quand je candidate par pole emploi  plusieurs semaines s ecoulent avant que ma candidature soit examinee  voila ce que je lis   en cours d examen par le recruteur   plusieurs semaines    preuve a l appui avec copie d ecran  vous vous imaginez   et apres le recruteur marque    annonce cloturee   une honte pour cet organisme qui nous demande de nous justifier a longueur de temps  quand je suis redirigee sur une agence d interim  c est le parcours du combattant  jamais je n arrive directement sur la bonne agence  il faut d abord s inscrire a x qui vous redirige vers y auquel il faut s inscrire  bref vous etes oblige de vous inscrire a presque toutes les agence d interim pour pouvoir postuler  et bien sur  a moins d etre dans l urgence la boite d interim ne donne pas suite a votre candidature  si quelques unes envoie un mail programmer qui vous dit que dans les 15 jours si pas de reponse c est mort ;1;['ecoulent', 'examine', 'lis', 'examen', 'recruteur', 'appui', 'ecran', 'imagin', 'recruteur', 'marqu', 'cloture', 'longueur', 'redirige', 'agenc', 'interim', 'combatt', 'agenc', 'abord', 'x', 'redirig', 'auquel', 'agenc', 'interim', 'urgenc', 'interim', 'une', 'programm', 'repons', 'mort'];ecoulent examine lis examen recruteur appui ecran imagin recruteur marqu cloture longueur redirige agenc interim combatt agenc abord x redirig auquel agenc interim urgenc interim une programm repons mort;-1
