Description;e-mail;Description_2;Description_3;clusters
conseiller sympa lors du premier rdv en face a face  mais apres  zero retours a mes e mails et impossible de les joindre  malgre un engagement de nous repondre sous 48h ouvrees ;1;['rdv', 'fac', 'fac', 'e', 'engag', '48h', 'ouvre'];rdv fac fac e engag 48h ouvre;2
conseillere se payant ma tete  j ai une double fracture du pied et elle me demande de venir a pied a un rendez vous sachant que j ai prevenu que je ne pourrais pas venir  j ai eu une panne de voiture  elle me menace de me retirer mes allocations si je ne lui ramene pas un justificatif sachant que j avais prevenu et qu elle a le culot de m envoyer un mail en me disant que j avais pas prevenu  me demander un justificatif medical pour mieux m invalider  inutile le pole emploi ;1;['pai', 'tet', 'doubl', 'fractur', 'pied', 'pied', 'prevenu', 'pann', 'voitur', 'retir', 'alloc', 'ramen', 'justif', 'prevenu', 'culot', 'prevenu', 'justif', 'medical', 'invalid'];pai tet doubl fractur pied pied prevenu pann voitur retir alloc ramen justif prevenu culot prevenu justif medical invalid;2
membre du personnel incompetent  ne prenne pas soin de repondre aux mails  ou s entete sur des dossier qui ne prennent pas soins d etudier est qui laissent les gens sans revenus alors que ses gens ont des droits comme tous citoyens ;1;['membr', 'personnel', 'incompetent', 'pren', 'soin', 'entet', 'dossi', 'prennent', 'soin', 'etudi', 'laissent', 'revenus', 'citoyen'];membr personnel incompetent pren soin entet dossi prennent soin etudi laissent revenus citoyen;3
une veritable catastrophe  le chomage baisse  c est facile quand on enregistre pas les gens qui cotisent depuis des annees et qui perdent leur emploi a cause de la crise sanitaire et de la non reprise de l activite economique  on a laisse des mails  des appels avec messages tous les jours car personne ne reponds et qu un repondeur vous dit que vous aurez une reponse sous 24h  j ai envoye mes documents le lendemain de mon licenciement  aujourd hui apres plusieurs mois rien de rien    je ne peux plus payer mon loyer car les allocations dues ne sont pas versees a cause d un manque de personnel et surtout de personnel incompetent  je vais me rapprocher d un avocat car aujourd hui j ai pleins de frais bancaires   des lettres d impayes car je n ai pas touches tous ces mois d allocations  des bons a rien  pole emploi   zero franchement vous devriez avoir honte ;1;['chomag', 'baiss', 'cotisent', 'perdent', 'cris', 'sanitair', 'appel', 'person', 'repondeur', 'repons', '24h', 'docu', 'lendemain', 'licenci', 'pai', 'alloc', 'du', 'verse', 'personnel', 'personnel', 'incompetent', 'rapproch', 'avocat', 'plein', 'frais', 'bancair', 'impay', 'alloc'];chomag baiss cotisent perdent cris sanitair appel person repondeur repons 24h docu lendemain licenci pai alloc du verse personnel personnel incompetent rapproch avocat plein frais bancair impay alloc;2
agence nul qui ne ce casse ps la tete avec leur chomeur  pas professionnel du tout jamais de proposition d emplois   jamais de reponse  jamais de reponse des conseillers    ni mails ni telephone    il faut y aller et y retourner  si on les bouge pas c est difficile   ;1;['agenc', 'cass', 'p', 'tet', 'repons', 'repons', 'boug'];agenc cass p tet repons repons boug;4
tres nul   ne font rien de leurs journees   ils n aident pas les gens  mon conseiller ne se presente meme pas   de plus il n a rien compris a ma demande  il m envoie de l apprentissage alors que c est pas ce que je recherche   aucune reponse par mail   on se demande ce qu ils font  ;1;['aident', 'compr', 'apprentissag', 'repons'];aident compr apprentissag repons;-1
les conseillers ne repond pas aux mails   le suivie n est pas assure quand ont change de situation  de quoi commettre pas mal d erreur lors des declarations  erreurs qui nous serons bien fatale  des conseillers qui ne conseillent pas a quoi sa sert  ;1;['assur', 'commettr', 'declar', 'fatal', 'conseillent'];assur commettr declar fatal conseillent;3
1 an et demi de chomage et je n ai vu qu une seule fois mon conseiller  il mettait une bonne semaine avant de repondre a mes mails  et encore    parfois il ne s en donnait pas la peine  jamais il ne m a appele ou donne d autres rendez vous pour savoir ou j en etais  la premiere et derniere fois ou j y suis allee  j avais rendez vous a 14h  s en est suivi d une attente de 1h30  tout en sachant que le  rendez vous  a dure 20min  franchement decue  vous n aidez pas les gens  vous ne les soutenez pas  1 an et demi a chercher un boulot  silence radio complet  je me suis sentie abandonnee   il faut aussi ajouter qu une fois j ai eu une adorable femme au telephone qui a su repondre a toutes mes questions ;1;['dem', 'chomag', 'appel', '14h', '1h30', '20min', 'souten', 'dem', 'boulot', 'silenc', 'radio', 'abandonne', 'ajout', 'ador', 'femm'];dem chomag appel 14h 1h30 20min souten dem boulot silenc radio abandonne ajout ador femm;2
j ai beau envoyer des mails on me repond mais jamais precisement  je suis decu de pole emploi moi qui souhaiterais une participation reactive de leurs parts  ;1;['reactiv', 'part'];reactiv part;-1
vous ne meritez meme pas 1 etoile vous etes pas reactif aux mails aux demandes c est scandaleux      puis quand on se deplace a l accueil ils ne savent rien dire mis a part contacter votre conseiller par mail   eh oh il faut reagir la        ;1;['merit', 'reactif', 'scandal', 'savent', 'contact', 'eh', 'oh', 'reag'];merit reactif scandal savent contact eh oh reag;-1
service deplorable;1;['servic', 'deplor'];servic deplor;3
je mets une etoiles mais si je pouvais je mettrais 0 etoiles car la dame a l accueil indemnisation manque totale de respect envers les demandeurs d emploi pour une simple infos   si vous n aimais pas de travail changer de travail   pole emploi ne prends pas en compte ma situation vis a vis divers courriers en accuse de reception mail car j ai ete victime d une discrimination a l embauche  mais aucune prise en compte de ma situation   nul  et de plus pole emploi c des radins  et la le scoop j envoie un avis d imposition un document que je suis alle chercher a l administration fiscale  et ce document a ete refuse pour toucher les allocations specifiques  mais pole emploi ce son vraiment des radins   je comprends le comportement de certains chomeurs   et de plus pole emploi prefere indemniser des feneants que ceux qui font l effort de travailler  ;1;['mettr', 'indemnis', 'total', 'respect', 'enver', 'infos', 'prend', 'compt', 'diver', 'courri', 'accus', 'victim', 'discrimin', 'compt', 'radin', 'scoop', 'imposit', 'docu', 'administr', 'fiscal', 'docu', 'alloc', 'specif', 'radin', 'prefer', 'indemnis', 'fen', 'effort'];mettr indemnis total respect enver infos prend compt diver courri accus victim discrimin compt radin scoop imposit docu administr fiscal docu alloc specif radin prefer indemnis fen effort;2
changement de conseiller suite a son depart pour d autres responsabilites  tout se passait a peu pres bien avec l ancien conseiller mais depuis le changement rien ne va plus  plus de reponse aux mails  plus d indemnite  il faut que ca bouge     ;1;['responsabilit', 'repons', 'indemnit', 'boug'];responsabilit repons indemnit boug;-1
j attends qu on me donne un rdv depuis la fin janvier   au debut  je me suis trompee de conseillere  donc  on m a redirige vers une autre qui a quitte l agence et pour finir  la 3e etait en vacances  devait me recontacter a son retour mi fevrier et toujours dans l attente d une reponse      alors que j avais bien precise ma situation dans les mails    le directeur de l agence m a appele juste pour me demander si je savais lire et ecrire le francais apres avoir lu mon mail  alors que je le maitrise mieux que certaines personnes ayant un bac l      inadmissible   et apres  on va dire que les francais sont faineants   si pole emploi suivait derriere  il y aurait encore moins de chomeurs que maintenant   on se demande qui sont les faineants   ;1;['attend', 'rdv', 'trompe', 'redirig', 'quitt', 'agenc', '3e', 'vacanc', 'recontact', 'mi', 'repons', 'directeur', 'agenc', 'appel', 'sav', 'ecrir', 'lu', 'maitris', 'person', 'bac', 'inadmissibl', 'fain', 'derrier', 'fain'];attend rdv trompe redirig quitt agenc 3e vacanc recontact mi repons directeur agenc appel sav ecrir lu maitris person bac inadmissibl fain derrier fain;2
merci a la conseillere de pole emploi  merci au conseiller de cap  emploi   merci aux personnes qui nous aident sur l application   merci au conseiller que  j ai par mail;1;['cap', 'person', 'aident'];cap person aident;-1
je suis tres contente des contacts que j ai eu en agence  je ne m attendais pas a des reponses si rapides par mail  les conseilleres prennent en compte mon projet professionnel et ca fait vraiment plaisir de voir que l on crois en moi et a mon projet  j espere arriver au bout de mes demarches pour cette reconversion  l accueil en agence est tres agreable et tres efficace    ;1;['content', 'contact', 'agenc', 'attend', 'repons', 'rapid', 'prennent', 'compt', 'plais', 'crois', 'demarch', 'reconvers', 'agenc'];content contact agenc attend repons rapid prennent compt plais crois demarch reconvers agenc;0
service injoignable   ;1;['servic', 'injoign'];servic injoign;3
la quintessence de la nullite dans toute sa splendeur    une equipe tres irresponsable qui  en plus de ne se relayer aucune information sur la presence ou abscence de leurs conseillers  vous fait culpabiliser sur un ton gratuitement arrogant de ne pas vouloir donner suite a vos mails  meme au dela des 48h de delai  et qui en prime se permettent de faire leur victimes au moindre argument courtois et constructif   faineantise et nonchalance sont les maitres mots du pole emploi de marmande   le reflet basique de la vieille mentalite lot et garonnaise  il ne faudra pas s etonner d etre meprises par les bordelais a l avenir    nullissime  ;1;['quintessent', 'nullit', 'splendeur', 'equip', 'irrespons', 'relai', 'presenc', 'abscenc', 'culpabilis', 'gratuit', 'arrog', 'vouloir', '48h', 'permettent', 'victim', 'argument', 'courtois', 'construct', 'faineantis', 'nonchal', 'maitr', 'marmand', 'reflet', 'basiqu', 'vieil', 'mentalit', 'lot', 'garonnais', 'eton', 'mepris', 'bordel', 'aven', 'nullissim'];quintessent nullit splendeur equip irrespons relai presenc abscenc culpabilis gratuit arrog vouloir 48h permettent victim argument courtois construct faineantis nonchal maitr marmand reflet basiqu vieil mentalit lot garonnais eton mepris bordel aven nullissim;2
a mon inscription j avais une conseillere geniale qui etait tres reactive par mail pour repondre a mes questions  on me l a change il y a quelques mois et la nouvelle ne traite aucun de mes mails  la elle s est permise de cloturer une conversation sur un questionnement concernant l actualisation avec comme motif  deja traitee      bah effectivement apres plus de 15 jours sans reponse j ai pu m actualiser car en devant trouver une nouvelle fois la reponse par moi meme    je ne mettrais evidemment pas tous les conseillers de ce pole emploi dans le meme panier car la premiere conseillere que j avais eu ete top  mais faites attention si vous vous inscrivez ici  vous prendrez le risque de potentiellement tomber sur des conseillers pas reactifs et si c est votre premiere inscription a pole emploi on peut avoir besoin d une personne qui puisse repondre a nos questions   decue ;1;['genial', 'reactiv', 'permis', 'clotur', 'traite', 'bah', 'effect', 'repons', 'repons', 'mettr', 'pani', 'top', 'inscriv', 'prendr', 'potentiel', 'tomb', 'reactif', 'person'];genial reactiv permis clotur traite bah effect repons repons mettr pani top inscriv prendr potentiel tomb reactif person;-1
n informe pas l usager des demarches a suivre  ne repond pas aux mails lorsqu on appelle le conseiller n est jamais la on lui laissera le message       ;1;['usag', 'demarch', 'lorsqu', 'appel'];usag demarch lorsqu appel;-1
rdv automatiques  on vous oblige a installer une application pour des consultations en visio qui ne servent a rien mais tu le fais car si pas c est avertissement motif de radiation  on ecrit a son conseiller par email mais pas de reponse etc etc  jj ai un rendez vous le 03 fevrier mais le meme rendez vous le 17 fevrier pour faire un point sur ma recherche d emploi   celui du 03 est annule pour celui du 17      je n ai pas besoin de vous   une prise d otage pour faire des salaires a des gens blases  au prix de l essence un rdv au telephone quand on est  deja venu c est suffisant ;1;['rdv', 'install', 'visio', 'avert', 'repons', 'jj', '03', '17', '03', '17', 'otag', 'salair', 'blas', 'prix', 'essenc', 'rdv', 'venu'];rdv install visio avert repons jj 03 17 03 17 otag salair blas prix essenc rdv venu;1
conseiller qui ne repondent jamais aux mails    engagez a repondre aux mails en 48h    en revanche  quand c est dans le sens inverse  la ca ne le fait pas ;1;['repondent', 'engag', '48h', 'revanch', 'invers'];repondent engag 48h revanch invers;-1
impossible de les joindre par mail ou par telephone  j en ai plus qu assez de devoir constamment les contacter pendant 3 semaines ou plus pour un probleme qui peut se resoudre en 5 minutes  merci de bien vouloir nous notifier quand un e conseiller e part en vacances  puisque ceux ci ne prendront pas la peine de vous repondre   ps   j attends toujours au telephone apres 3 semaines   ;1;['const', 'contact', 'resoudr', 'vouloir', 'notifi', 'e', 'e', 'vacanc', 'prendront', 'p', 'attend'];const contact resoudr vouloir notifi e e vacanc prendront p attend;2
document envoye en a r et qui etait destine au directeur   ce n est meme pas lui qui repond   une honte  ;1;['docu', 'r', 'destin', 'directeur'];docu r destin directeur;2
apres mettre rendu sur place et avoir envoye un nombre de mails consequents  se n est qu une fois que que je partage mon agacement avec eux qu ils daignent enfin vouloir me repondre  pour me dire que ma conseillere est en vacances et me renvoyer vers un organisme avec qui j ai du prendre rdv  rdv qui a durer moins de 2min car il ne pouvais pas m aider  le mieux qu ils aient pu faire s est me renvoyer vers pole emploi en me conseillant de les harceler  de nouveau avec pole emploi et encore apres un nombre de mails consequents ma conseillere est bien rentrer et me renvoie cette fois ci vers la mission locale  je prends alors rdv avec la mission locale pour qu ils me disent que j aurais pu regler tout ca directement avec pole emploi eux meme ne comprenant pas pourquoi ils m ont renvoye vers eux   bref une belle bande d incompetent juste bon a se br  ler les  ;1;['partag', 'agac', 'daignent', 'vouloir', 'vacanc', 'renvoi', 'rdv', 'rdv', '2min', 'renvoi', 'harcel', 'renvoi', 'prend', 'rdv', 'disent', 'compren', 'renvoy', 'band', 'incompetent', 'br', 'ler'];partag agac daignent vouloir vacanc renvoi rdv rdv 2min renvoi harcel renvoi prend rdv disent compren renvoy band incompetent br ler;2
vous inquiete pas si je vous le dit final pour ma pomme pareil mes jours diminu sur mon espace client elle dit non non croyez moi moi sur  mon ecran ils diminu pas  on leur ecris ils  mettent 3 mois pour do ner la reponse eux envoye t un courrier et ils te laisse 15j;1;['inquiet', 'pomm', 'pareil', 'diminu', 'croi', 'ecran', 'diminu', 'ecris', 'mettent', 'do', 'ner', 'repons', 'courri', '15j'];inquiet pomm pareil diminu croi ecran diminu ecris mettent do ner repons courri 15j;-1
j ai change un grand nombre de fois de conseille sans savoir pourquoi  des qu on envoie un mail pour poser une question on a comme reponse un truc deja tout fais  je ne suis pas un robot  vous etes paye pour conseiller les gens alors faites le correctement s il vous plait  cordialement ;1;['pos', 'repons', 'truc', 'robot', 'pay', 'plait'];pos repons truc robot pay plait;-1
impossible de vous joindre;1;[];;-1
service deplorable  mon dossier bloque pour un changement de region  ne reponds pas a leurs collegues d une autre region fait tout pour mettre des batons dans les roues   continuer de faire les fantomes cela vous va si bien ;1;['servic', 'deplor', 'dossi', 'region', 'collegu', 'region', 'baton', 'rou', 'fantom'];servic deplor dossi region collegu region baton rou fantom;-1
deplorable   non seulement ils etait injoignables par telephone comme maintenant                                  momentanement   c est les autres agences qui prennent en charge les appels  rien a dire au moins ils reponds mais peuvent rien faire puisque c est pas mon agence   donc ca ne sert a rien   par e mail personne reponds depuis plus d un mois   demande d indemnisation pour conge non paye suite fermeture annuelle de l entreprise  pas traite depuis 3 mois ;1;['deplor', 'injoign', 'momentan', 'agenc', 'prennent', 'appel', 'agenc', 'e', 'person', 'indemnis', 'cong', 'pay', 'fermetur', 'annuel'];deplor injoign momentan agenc prennent appel agenc e person indemnis cong pay fermetur annuel;-1
beaucoup de mal a les joindre   ;1;[];;-1
je suis un employeur  indifference totale  ne reponds pas au courrier  font des erreurs et me demande de faire des recours qui restent sans reponse;1;['employeur', 'indifferent', 'total', 'courri', 'recour', 'restent', 'repons'];employeur indifferent total courri recour restent repons;4
aucun accompagnement  mme yeti pas d experience  trop jeune  repond pas aux mail pas de telephone  idem pour service indemnite zero pointe  c est plutot pole pas emploi;1;['mme', 'yeti', 'jeun', 'idem', 'servic', 'indemnit', 'point'];mme yeti jeun idem servic indemnit point;2
ils ont aucune connaissance de leur metier  j ai deja eu 3 rdv loupe avec eux car ils ne mon pas appeler sur le bon numero    du coup  j ai eu un avertissement de radiation  oblige d envoyer des mails a leur agence  ce sont des specimens tres interessant  de plus  quand j etais a l agence pour la premiere fois  quelqu un ce moquais d un beneficiaire ouvertement  bravo l hypocrisie   ;1;['rdv', 'loup', 'appel', 'avert', 'agenc', 'specimen', 'agenc', 'moqu', 'beneficiair', 'ouvert', 'hypocris'];rdv loup appel avert agenc specimen agenc moqu beneficiair ouvert hypocris;3
je recommande le pole emploi de guingamp   en effet j ai demande plusieurs fois a avoir un rdv avec mes conseillers et ceux ci ont accepte que ce soit par mail   telephone   un rdv physique a l agence   ma conseillere s est meme deplacee jusqu a l agence de paimpol pour avoir un entretien sur mes demarches   j attends un financement pour une formation et j ai ete bien conseille pour savoir quels organismes contacter   felicitation pour votre patience et votre serieux a bientot   kenavo;1;['recommand', 'guingamp', 'rdv', 'rdv', 'agenc', 'deplace', 'agenc', 'paimpol', 'demarch', 'attend', 'financ', 'format', 'contact', 'felicit', 'patienc', 'bientot', 'kenavo'];recommand guingamp rdv rdv agenc deplace agenc paimpol demarch attend financ format contact felicit patienc bientot kenavo;-1
ca fait plusieurs semaines que j ecris a ma conseillere et lui demande de me rappeler car son retour de mail ne repond pas a ma question  en vain   le contenu des mails est robotise et on ne sent pas de personnalisation ;1;['ecris', 'vain', 'contenu', 'robotis', 'personnalis'];ecris vain contenu robotis personnalis;-1
les conseillers ne repondent pas aux messages  impossible d avoir quelqu un au telephone  ils mettent des mois a traiter les documents  resultat 1 mois de retard dans le traitement de mon dossier  personne ne veut m expliquer pourquoi je n ai toujours pas touche mes indemnites  alors que j ai fais toutes les demarches en temps et en heure  un manque de professionnalisme et d humanite totale ;1;['repondent', 'mettent', 'docu', 'retard', 'dossi', 'person', 'indemnit', 'demarch', 'professionnal', 'humanit', 'total'];repondent mettent docu retard dossi person indemnit demarch professionnal humanit total;4
le pire pole emploi que j ai connu     des trop percu sorti de nul part   apres 1 ans de travail en 35h je recois une indemnisation de 290   personne ne peut vivre avec ca et ca ne les preoccupe pas et ils ont auser recuperer une parti du trop percu la dessus    j ai envoyer des courrier avec accuser de reception sans reponse   demander a ma conseillere un rdv qu elle m a refuser en me disant de faire une reclamation sur le site pole emploi   je n est toujours pas us de reponse      dans mon dossier ce trouve des fiche de paie ne m appartenant pas   et apparament il ne peuvent pas les retirer   pendant un mois cette ete je n est rien percu sous pretexte que mon dossier n a pas ete traiter vu que ma conseillere etais en vacances    j ai fourni toute mes fiche de paye en allant en agence avec une conseillere qui m a dit que tout etais en ordre pour que 6 mois plus tard on me dise qu il en manque alors que j ai bien tous envoyer    franchement si vous avez l occasion d aller autre part faite le    ;1;['35h', 'indemnis', '290', 'person', 'preoccup', 'aus', 'recuper', 'part', 'dessus', 'courri', 'accus', 'repons', 'rdv', 'reclam', 'us', 'repons', 'dossi', 'pai', 'apparten', 'appar', 'retir', 'pretext', 'dossi', 'vacanc', 'pay', 'allant', 'agenc', 'ordre', 'occas'];35h indemnis 290 person preoccup aus recuper part dessus courri accus repons rdv reclam us repons dossi pai apparten appar retir pretext dossi vacanc pay allant agenc ordre occas;4
pas de retour de ma conseillere indemnisation apres plusieurs emails et demande de rdv    mon dossier ne peut avancer sans son retour    ;1;['indemnis', 'rdv', 'dossi'];indemnis rdv dossi;-1
les conseillers de pole emploi villeurbanne ne servent a rien  ils ne repondent jamais aux mails ni ne vous rappellent pour honorer un entretien telephonique  de plus ils ne comprennent pas que lorsque vous etes personne a mobilite reduite et que vous dependez des transports en commun c est difficile de se rendre aux entretiens   c est une honte  ;1;['villeurbann', 'repondent', 'rappellent', 'honor', 'comprennent', 'person', 'reduit', 'depend', 'transport'];villeurbann repondent rappellent honor comprennent person reduit depend transport;3
lamentable inadmissible  pas de reponse aux mails apres 10j  alors que pole emploi s engage a repondre sous 48h apparement    la bonne blague  lorsqu on essaie de joindre l agence  un robot nous indique que   pole emploi a deja tente de vous contacter        ah bon      appeler le 3949   puis coupe immediatement  desolant ;1;['inadmissibl', 'repons', '10j', 'engag', '48h', 'appar', 'blagu', 'lorsqu', 'agenc', 'robot', 'contact', 'ah', 'appel', '3949', 'coup', 'immediat', 'desol'];inadmissibl repons 10j engag 48h appar blagu lorsqu agenc robot contact ah appel 3949 coup immediat desol;-1
je suis tres mecontent du service de pole emploi villeurbanne      je contacte depuis plusieurs semaines par mail mon conseiller indemnisation car les donnees pour le calcul ne correspond pas a mon dernier salaire brut  3 semaines que j attends une reponse quand meme     j ai contacte mon autre conseillere  pas de reponse non plus     si ces personnes la travaillaient dans le prive  elles seraient virees   c est inacceptable et d un professionnalisme  honteux      du coup  toujours pas de versement pour mon indemnisation du mois de juin 2022  donc je me retrouve avec 0  pour payer mon loyer et mes factures     bravo    les personnes chargees de l accueil m ont quand meme bien recu mais non aucun droit sur ce sujet  seul le responsable hierarchique est prevenu de ma venue  mais vu que la situation n avance pas  ca doit etre aussi un sacre machot     et apres les francais en ont ras le bol  serieusement    on n est deja pas capable de nous reinserer professionnellement et de nous renseigner  continuez comme ca  ;1;['mecontent', 'servic', 'villeurbann', 'contact', 'indemnis', 'salair', 'attend', 'repons', 'contact', 'repons', 'person', 'vire', 'inaccept', 'professionnal', 'indemnis', 'juin', 'pai', 'person', 'charge', 'respons', 'hierarch', 'prevenu', 'venu', 'sacr', 'machot', 'ras', 'bol', 'capabl', 'reinser'];mecontent servic villeurbann contact indemnis salair attend repons contact repons person vire inaccept professionnal indemnis juin pai person charge respons hierarch prevenu venu sacr machot ras bol capabl reinser;2
mails qui restent sans reponse   jamais de rendez vous donner   3 ans que je suis a celle de wattrelos je ne connais meme pas la tete de la conseillere qui suis mon dossier car je ne l ai jamais vu  mais ce permet de vous appeler pour vous menacer car vous refuser de faire une reunion de recrutement   sachant que je chercher a faire une formation      a fuir de toute urgence  ;1;['restent', 'repons', 'wattrelos', 'tet', 'dossi', 'appel', 'format', 'fuir', 'urgenc'];restent repons wattrelos tet dossi appel format fuir urgenc;-1
des gros bon a rien   ils bloque mon dossier et ne reponde pas au mail ni appel  ;1;['dossi', 'appel'];dossi appel;0
des employes qui ne repondent pas aux questions a condition que je me deplace  aucune adresse mail pour un contact le telephone ca sonne et ca coupe au nez  un parking tres petit par contre celui des employes pole emploi est grand et remplit pas pas totalement ;1;['repondent', 'condit', 'contact', 'son', 'coup', 'nez', 'parking'];repondent condit contact son coup nez parking;0
appel a pole emploi pour avoir un rendez vous avec un conseiller  etant inscrite depuis 7 mois sans aucun rendez vous     la standardiste ne me passe personne  ni ne me donne de rendez vous  elle me dit simplement j ai envoye un mail a la personne concernee   on vous recontacte      aucun respect des personnes qu ils ont au telephone  nous ne sommes que des machines   ;1;['appel', 'inscrit', 'standard', 'person', 'person', 'concerne', 'recontact', 'respect', 'person', 'machin'];appel inscrit standard person person concerne recontact respect person machin;0
