Description;demarche en ligne;compte ou espace personnel;Description_2;Description_3;clusters
le 19 avril 2017  j ai ete licencie de mon poste d hotesse d accueil en entreprise sans preavis et sans procedureje me suis inscrite au pole emploi d asnieres sur seine le en avril 2017 de la ville d asnieres sur seinele pole emploi a refuse de finaliser la procedure dama qui permet la transmission de mon actualisation au pole emploi pour le versement de mes indemnites de chomage tout les mois  j ai ete oblige de reclamer a l accueil une attestation d actualisation que j envoyais moi meme par e mail au gestionnaire de la reunion des musees nationaux  les delais de versement de mes indemnites de chomage n etaient pas respectes  le pole emploi ne me remettait pas d attestation de versement de mon chomage  j ai ete accueilli a chaque fois comme une personne etrangere et en situation d irregularites  j ai ete denigre suite a mon demenagement vers la ville de capesterre belle eau  le pole emploi m a informe que la transmission de mon dossier vers la guadeloupe prendrait plus d une annee le pole emploi de capesterre belle eau a dit que j etais inscrite au pole emploi depuis le 13 fevrier 2018  je me suis toujours actualise dans les delais  le pole emploi a modifie a plusieurs reprises ma date d inscription au pole emploi le pole emploi de capesterre belle eau a refuse de l accorder l aide a l obtention du permis de conduire  le pole emploi a refuse de me remettre l entierete de mes indemnites de chomage salarie le pole emploi a refuse de me remettre mes indemnites d artiste auteur pour mon activite de creatrice textileplusieurs demandes de formation m ont ete refuse ;1;0;['19', '2017', 'licenc', 'hotess', 'preav', 'procedurej', 'inscrit', 'asnier', 'sein', '2017', 'asnier', 'seinel', 'procedur', 'indemnit', 'chomag', 'reclam', 'attest', 'e', 'gestionnair', 'muse', 'national', 'indemnit', 'chomag', 'respect', 'remet', 'attest', 'chomag', 'person', 'etranger', 'irregularit', 'denigr', 'demenag', 'capesterr', 'eau', 'dossi', 'guadeloup', 'prendr', 'capesterr', 'eau', 'inscrit', '13', '2018', 'capesterr', 'eau', 'accord', 'obtent', 'conduir', 'remettr', 'entieret', 'indemnit', 'chomag', 'remettr', 'indemnit', 'artist', 'auteur', 'creatric', 'textileplusieur', 'format'];19 2017 licenc hotess preav procedurej inscrit asnier sein 2017 asnier seinel procedur indemnit chomag reclam attest e gestionnair muse national indemnit chomag respect remet attest chomag person etranger irregularit denigr demenag capesterr eau dossi guadeloup prendr capesterr eau inscrit 13 2018 capesterr eau accord obtent conduir remettr entieret indemnit chomag remettr indemnit artist auteur creatric textileplusieur format;-1
je suis inscrite au pole emploi depuis en avril 2017  mon dossier a ete transfere vers le pole emploi de la ville de capesterre belle eau en guadeloupesuite au transfert de mon dossier  j ai rencontre plusieurs difficultes techniques avec mon espace de demandeur d emploi je n ai pas acces aux courriers qui me sont adresses via mon espace en ligne  apres le telechargement de ces courriers  le fichier est dit  corrompu  j ai signaler ce probleme a plusieurs reprises par des reclamations j ai change d appareil electronique les courriers qui sont deposes a mon espace de demandeur d emploi sont toujours illisibles je denonce un codage volontairement malveillant ;1;1;['inscrit', '2017', 'dossi', 'transfer', 'capesterr', 'eau', 'guadeloupesuit', 'transfert', 'dossi', 'techniqu', 'courri', 'telecharg', 'courri', 'corrompu', 'reclam', 'appareil', 'electron', 'courri', 'illisibl', 'denonc', 'codag', 'volontair', 'malveil'];inscrit 2017 dossi transfer capesterr eau guadeloupesuit transfert dossi techniqu courri telecharg courri corrompu reclam appareil electron courri illisibl denonc codag volontair malveil;-1
je demande ma mise a la retraite  impossible d avoir un conseiller  pole emploi me demande un formulaire de regularisation de retraite impossible de l obtenir  a partir de mars  pole emploi ne me versera plus mes aides  ;1;1;['retrait', 'formulair', 'retrait'];retrait formulair retrait;4
j ai trouve la perle rare  apres avoir fait toutes les demarches aupres de pole emploi pour le recrutement  d un salarie d origine argentine   j ai ete bloque dans la procedure de finalisation de ma demande d autorisation  le site internet ne fonctionne pas  clairement il y a vraiment un probleme  la ligne dediee non plus  je n ai jamais reussi a avoir qui que ce soit au telephone  mes differents courriers sont quasi tous restes sans reponse  j ai commence les demarches fin aout pour une embauche mi novembre  ce futur employe qui avait deja reserver son billet d avion est maintenant ici et je ne sais pas quoi lui dire puisque il n a pas pu avoir son visa de travail  je suis au pied du mur et lui d autant plus  je suis enerve  decu et desuvre  l heure est grave  c est bien de mettre en place des systeme moderne mais de conserver le papier c est bien aussi   ou de donner des alternatives quand cela ne fonctionne pas ;1;0;['perl', 'rar', 'demarch', 'origin', 'argentin', 'procedur', 'autoris', 'internet', 'dedie', 'courri', 'quas', 'rest', 'repons', 'demarch', 'mi', 'futur', 'reserv', 'billet', 'avion', 'pied', 'mur', 'enerv', 'desuvr', 'grav', 'system', 'modern', 'conserv', 'altern'];perl rar demarch origin argentin procedur autoris internet dedie courri quas rest repons demarch mi futur reserv billet avion pied mur enerv desuvr grav system modern conserv altern;-1
j ai du envoyer des documents a pole emploi  pour cela on scanne ses documents qu on enregistre  sur l ordinateur et il y a sur le site internet  pole emploi sur la page de l espace personnel des liens vers dossier demandeur d emploi   transmettre et suivre les documents  envoyer le document  selectionner un document  contexte d envoi  situation  selection   vous pourriez rajouter autres  courriersdivers documents ;1;1;['docu', 'docu', 'internet', 'personnel', 'lien', 'dossi', 'docu', 'docu', 'selection', 'docu', 'context', 'select', 'rajout', 'courriersdiver', 'docu'];docu docu internet personnel lien dossi docu docu selection docu context select rajout courriersdiver docu;-1
aucune communication ou alors avec une machine qui demande des choses dont on a aucune idee  resultat je me sens rabaisse en tant que senior ;1;0;['machin', 'ide', 'rabaiss', 'senior'];machin ide rabaiss senior;4
je suis inscrit a pole emploi  j ai eu un questionnaire de controle que j ai du remplir et envoyer  comme je n arrivais pas a l envoyer par l espace pole emploi  je l ai transmis a l adresse mail de la personne concernee qui m a envoye le mail  je n ai pas eu de reponse  apres  j ai recu un appel comme quoi je n avais pas envoye les documents  alors a la suite de cet appel j ai re envoye a l adresse les documents en utilisant  wetransfer  pour avoir la preuve que les documents ont ete bien telecharges  trois jours apres j ai recu un message de  wetransfer  que le document n avait pas ete telecharge ensuite j ai eu dans mon espace pole emploi un avertissement de radiation me precisant que si je ne renvoyais pas les documents j allai etre radie mais cela n est pas le seul probleme    avant ce probleme j avais fait une demande de formation pour une reconversion dans un autre domaine que le mien  et cela m a ete refuse car ce n etait pas dans mon domaine de competence  on m a alors inscrit a une formation pour rechercher des formations a pole emplois a laquelle je n ai pas ete  mais si je ne voulais pas aller a cette formation  il fallait que j envoie un mail a ma conseillere  en disant que je n etais pas interesse  j ai fait cela  et je pensais donc que le mail allait etre pris en compte je n ai donc pas ete a la formation et trois jours apres  j ai recu une lettre dans mon espace pole emploi que me precisait que si je ne donnais pas une justification valable  j allais etre radie suite a ca j ai demande un changement de conseiller  mais le traitement des mails ne s est toujours pas ameliore ;1;0;['inscrit', 'questionnair', 'arriv', 'person', 'concerne', 'repons', 'docu', 're', 'docu', 'wetransf', 'docu', 'telecharg', 'wetransf', 'docu', 'telecharg', 'avert', 'renvoi', 'docu', 'allai', 'format', 'reconvers', 'mien', 'competent', 'inscrit', 'format', 'format', 'format', 'allait', 'compt', 'format', 'justif', 'valabl', 'allais'];inscrit questionnair arriv person concerne repons docu re docu wetransf docu telecharg wetransf docu telecharg avert renvoi docu allai format reconvers mien competent inscrit format format format allait compt format justif valabl allais;1
apres la perte de mon emploi  j ai ete tres bien conseillee et suivie par le pole emploi de la ville de lunel  ma conseillere ainsi que toute l equipe ont ete remarquables  ils font un travail extraordinaire  en termes d aide pour une resilience personnelle  ou au niveau des formations qu ils proposent  il est important de notifier ;0;1;['conseille', 'lunel', 'equip', 'remarqu', 'extraordinair', 'resilient', 'personnel', 'format', 'proposent', 'notifi'];conseille lunel equip remarqu extraordinair resilient personnel format proposent notifi;-1
service concerne  pole emploi de lunelapres avoir exerce le meme metier pendant 16 ans  je ne souhaitais plus l exercer et voulais donc entamer une reconversion professionnelle  mais cela representait un gros changement et beaucoup d apprehensions  ma conseillere du pole emploi de lunel a ete a mon ecoute et m a aide a construire ce nouveau projet  pour cela  j ai pu echanger avec un psychologue du travail  et j ai ensuite beneficie de la prestation activ  projet  celle ci m a permis de definir clairement un nouveau projet et de mettre en place les actions necessaires pour me reconvertir  j ai pu entamer une formation pour commencer a me former a mon nouveau metier  aujourd hui je suis en contrat de professionnalisation afin de pouvoir obtenir un diplome dans ce nouveau metier ma conseillere a ete disponible et a repondu a mes questions tout au long de ce parcours et son aide a ete precieuse  elle a su me proposer les bons outils pour entamer cette reconversion  sans cela je n aurais sans doute pas ose  sauter le pas  ;0;1;['servic', 'lunelapr', 'exerc', '16', 'exerc', 'entam', 'reconvers', 'represent', 'apprehens', 'lunel', 'construir', 'psychologu', 'benefic', 'defin', 'reconvert', 'entam', 'format', 'contrat', 'professionnalis', 'precieux', 'entam', 'reconvers', 'ose', 'saut'];servic lunelapr exerc 16 exerc entam reconvers represent apprehens lunel construir psychologu benefic defin reconvert entam format contrat professionnalis precieux entam reconvers ose saut;-1
tres bonne experience  une conseillere a l ecoute et tres reactive a toutes mes interrogations et besoins  ;0;1;['reactiv', 'interrog', 'besoin'];reactiv interrog besoin;-1
le site internet de pole emploi propose une cvtheque afin que chaque demandeur d emploi y poste ses curriculum vitae pour que les recruteurs en prennent connaissance et contactent eventuellement les candidats or  le site de pole emploi ne semble pas assez securise puisque des personnes mal intentionnees semblent avoir acces a toutes les informations inscrites sur les cv  notamment les courriels des demandeurs d emploi  et ce dans le but de leur extorquer de l argent en proposant de faux emplois en se faisant passer pour des employeurs  j ai eu l occasion d avertir mon conseiller  qui est parfaitement au courant de ce genre de pratique malsaine  et m a donc demande de faire part de ce probleme ici  il serait bon que le service informatique de pole emploi securise davantage ce site ;1;0;['internet', 'cvthequ', 'curriculum', 'vita', 'recruteur', 'prennent', 'contactent', 'eventuel', 'securis', 'person', 'intentionne', 'semblent', 'inscrit', 'courriel', 'but', 'extorqu', 'argent', 'employeur', 'occas', 'avert', 'malsain', 'servic', 'securis', 'davantag'];internet cvthequ curriculum vita recruteur prennent contactent eventuel securis person intentionne semblent inscrit courriel but extorqu argent employeur occas avert malsain servic securis davantag;-1
apres mon deuxieme emploi je suis tombee dans le chomage  j ai essaye par mes moyens de chercher un travail  je n y suis pas arrivee malgre ma motivation je suis restee dans cette situation pendant pres de 9 mois  et un jour  en allant a pole emploi  une agente d accueil m a conseille de m inscrire a l accompagnement intensif pour les jeunes  je me suis inscrite  j ai tres vite eu un rendez vous  j ai eu un rendez vous a l agence de pole emploi des 7 collines a nimes  la personne a bien pris le temps de m ecouter  elle m a conseillee et elle m a aidee dans mes demarches puisque qu elle prenait souvent contact avec moi et me donner de nombreux rendez vous  et en moins de 2 mois j ai eu un poste  donc je suis tres satisfaite de cet accompagnement ;0;1;['tombe', 'chomag', 'arrive', 'reste', '9', 'allant', 'agent', 'intens', 'jeun', 'inscrit', 'agenc', 'collin', 'nim', 'person', 'conseille', 'aide', 'demarch', 'pren', 'contact', 'satisfait'];tombe chomag arrive reste 9 allant agent intens jeun inscrit agenc collin nim person conseille aide demarch pren contact satisfait;-1
suite a une demande invalidite pour la cpam  je ne peux plus recuperer mes anciennes attestions  mensuelles et globales  pole emploi  il m a ete repondu que sur mon espace personnel p e   on pouvait recuperer 6 mois par 6 mois  cela n est pas exact  je suggere un  e coffre  heberge soit par la carsat  des le debut de carriere   soit par la cpam  puisqu on a un numero de secu des le 1er emploi   ou toute autre e administration qui semblerait judicieuse a cause de cela  je ne vais pas pouvoir finaliser ma demande invalidite  je suis a 100  exonerante   ni beneficier de mes justificatifs pour ma retraite ;1;1;['invalidit', 'cpam', 'recuper', 'attest', 'global', 'personnel', 'p', 'e', 'recuper', 'exact', 'sugger', 'e', 'coffr', 'heberg', 'carsat', 'cpam', 'puisqu', 'secu', 'e', 'administr', 'sembl', 'judici', 'invalidit', '100', 'exoner', 'justif', 'retrait'];invalidit cpam recuper attest global personnel p e recuper exact sugger e coffr heberg carsat cpam puisqu secu e administr sembl judici invalidit 100 exoner justif retrait;2
je voulais temoigne de mon histoire  ma conseillere pole emploi a ete formidable  elle s est demener pour m aider et j ai pu retravailler grace a elle  merci;1;0;['temoign', 'histoir', 'formid', 'demen', 'retravaill'];temoign histoir formid demen retravaill;1
la caf m annonce que j ai eu un trop percu  pas la premiere fois     suite a un soit disant paiement de pole emploi en complement de mon salaire  j avertis la caf que je n ai pas touche le montant qu ils mentionnent  ils me renvoient vers pole emploi qui m indique les sommes recus et ne figure pas le montant mentionne par pole emploi  reponse de la caf ce montant n apparait pas car ce serait un trop percu du mois precedent  rebelotte et retour a pole emploi qui stipule dans un nouveau document qu il n y a eu aucun trop percu ces 3 dernieres annees  document depose en main propre a l agent de guichet qui consulte le document puis me dit de le mettre dans la boite dediee  resultat 5 jours apres je recois sur mon espace un message disant que ma demande a ete traitee  au final rien ne change sur mes droits je leur doit toujours deux mois d allocation logement  je viens de finir de les rembourser  depuis ce jour j ai decide de ne plus declarer mes revenus afin de ne rien toucher de leur part que ce soit les apl ou la prime d activite  j ai egalement pas divulguer les coordonnees bancaires de mon bailleur afin qu il ne percoit rien et que je paye mon loyer dans la totalite  c est navrant d en arriver la mais j ai perdu patience avec la caf a devoir prouver des informations qu ils pourraient consulter via le pole emploi ;1;1;['caf', 'pai', 'compl', 'salair', 'avert', 'caf', 'mentionnent', 'renvoient', 'recus', 'figur', 'repons', 'caf', 'appar', 'rebelott', 'stipul', 'docu', 'dernier', 'docu', 'main', 'propr', 'agent', 'guichet', 'docu', 'dedie', 'traite', 'alloc', 'log', 'rembours', 'declar', 'revenus', 'apl', 'divulgu', 'bancair', 'bailleur', 'percoit', 'pay', 'totalit', 'navr', 'patienc', 'caf', 'prouv'];caf pai compl salair avert caf mentionnent renvoient recus figur repons caf appar rebelott stipul docu dernier docu main propr agent guichet docu dedie traite alloc log rembours declar revenus apl divulgu bancair bailleur percoit pay totalit navr patienc caf prouv;3
efficacite de la conseillerereponse claire du service indemniteles applications pole emploi sont tres performantes ;1;1;['efficacit', 'conseillererepons', 'servic', 'indemnitel', 'perform'];efficacit conseillererepons servic indemnitel perform;-1
a ce jour je n ai toujours pas recu la prime de noel de la part de pole emploi alors que je suis eligible  en effet je touche l ass  pole emploi quand on arrive a les contacter demande a chaque fois un nouveau justificatif alors que cette prime est sensee etre versee automatiquement    il demande un justificatif de la caf  celle ci reponds que ce document n existe pas  c est un combat administratif inconcevable et perdu d avance tellement personne ne repond la meme chose  or j ai enormement besoin de cette prime en ce moment tout simplement pour pouvoir survivre   il n y a rien de positif dans mon histoire  je suis a bout ;0;1;['noel', 'eligibl', 'ass', 'contact', 'justif', 'sense', 'verse', 'justif', 'caf', 'docu', 'combat', 'administr', 'inconcev', 'person', 'survivr', 'histoir'];noel eligibl ass contact justif sense verse justif caf docu combat administr inconcev person survivr histoir;3
impossibilite de recuperer des attestations de plus de 3 anpas d espace messagerie pour communiquer  hors mis les reclamations et une question concernant offre d emploi avec son conseiller effacement des dossiers d inscription de plus de 3 ans;0;1;['impossibilit', 'recuper', 'attest', 'anpas', 'messager', 'communiqu', 'hor', 'reclam', 'offre', 'effac', 'dossi'];impossibilit recuper attest anpas messager communiqu hor reclam offre effac dossi;-1
pour m inscrire au pole emploi  j ai rempli mon dossier sur internetune des pieces justificatives est  une copie de la declaration annuelle des donnees sociales  d a d s   de la societe       les dads n existent plus depuis plusieurs annees  supprimees par l administration et remplacee par un protocole differentmon dossier d indemnisation se retrouve donc bloque  j ai tente de joindre un service en passant par le telephone 3949 mais rien ne correspond a ma situation et je n arrive pas a parler a un conseillermon premier rendez vous etant en avril  je n ai pas de contact avec le pole emploi d ici et me demande comment va avancer mon dossier ;1;0;['dossi', 'internetun', 'justif', 'declar', 'annuel', 'dad', 'existent', 'supprime', 'administr', 'remplace', 'protocol', 'differentmon', 'dossi', 'indemnis', 'servic', '3949', 'conseillermon', 'contact', 'dossi'];dossi internetun justif declar annuel dad existent supprime administr remplace protocol differentmon dossi indemnis servic 3949 conseillermon contact dossi;-1
j ai plusieurs experiences et il serait trop long de les detailler toutes icicontexte le principal probleme que j identifie vient du fonctionnement de la messagerie lorsqu on ecrit a un conseiller pole emploi 1  l historique de conversation disparait  quand on recoit la reponse du conseiller  on ne sait pas a quelle question il repond  et lui n a pas le temps d ecrire de longs textes s il s agit de questions tres precises2  l objet de l email  que je m applique a soigner  disparait dans la reponse  donc meme probleme  cf  exemple ci apres3  une autre personne  que le conseiller  peut y repondre et ne rien comprendre a l echangedu cote de pole emploi c est peut etre  lisible  afin de comprendre la demande du chomeur dans un echange de  questions reponses   mais du cote usager  c est ubuesque pour couronner le tout  on recoit un accuse de reception de l email envoye a notre conseiller  mais on ne sait pas quel email vecudans le cas d un echange urgent sur une signature de contrat entre pole emploi  une entreprise et moi  nous sommes retrouves dans cette situationexemple d objet d email de reponse de mon conseiller  ai remplace certains chiffres par un  x   pole emploi  200xxx000000xxx72 reponse de votre pole emploresultat  perte de temps cote pole emploi  usager et entreprise ;0;1;['detaill', 'icicontext', 'identif', 'vient', 'messager', 'lorsqu', 'histor', 'dispar', 'recoit', 'repons', 'ecrir', 'long', 'agit', 'precises2', 'objet', 'soign', 'dispar', 'repons', 'cf', 'apres3', 'person', 'echangedu', 'lisibl', 'repons', 'usag', 'ubuesqu', 'couron', 'recoit', 'accus', 'vecudan', 'urgent', 'signatur', 'contrat', 'retrouv', 'situationexempl', 'objet', 'repons', 'remplac', 'x', '200xxx000000xxx72', 'repons', 'emploresultat', 'usag'];detaill icicontext identif vient messager lorsqu histor dispar recoit repons ecrir long agit precises2 objet soign dispar repons cf apres3 person echangedu lisibl repons usag ubuesqu couron recoit accus vecudan urgent signatur contrat retrouv situationexempl objet repons remplac x 200xxx000000xxx72 repons emploresultat usag;1
