Description;accueil;Description_2;Description_3;clusters
apres mon deuxieme emploi je suis tombee dans le chomage  j ai essaye par mes moyens de chercher un travail  je n y suis pas arrivee malgre ma motivation je suis restee dans cette situation pendant pres de 9 mois  et un jour  en allant a pole emploi  une agente d accueil m a conseille de m inscrire a l accompagnement intensif pour les jeunes  je me suis inscrite  j ai tres vite eu un rendez vous  j ai eu un rendez vous a l agence de pole emploi des 7 collines a nimes  la personne a bien pris le temps de m ecouter  elle m a conseillee et elle m a aidee dans mes demarches puisque qu elle prenait souvent contact avec moi et me donner de nombreux rendez vous  et en moins de 2 mois j ai eu un poste  donc je suis tres satisfaite de cet accompagnement ;1;['tombe', 'chomag', 'arrive', 'reste', '9', 'allant', 'agent', 'intens', 'jeun', 'inscrit', 'agenc', 'collin', 'nim', 'person', 'conseille', 'aide', 'demarch', 'pren', 'contact', 'satisfait'];tombe chomag arrive reste 9 allant agent intens jeun inscrit agenc collin nim person conseille aide demarch pren contact satisfait;1
moi qui n avais pas confiance en moi  et qui etait pessimiste sur tout  j ai appris que rien n est impossible grace a mon accompagnement jeune et a ma conseillere  et qu il faut croire en soi et en ses projets  avec l envie et la motivation on peut faire beaucoup de choses grace a ma conseillere j ai pu me lancer dans une vae pour valider mon bac et par la suite pourquoi pas obtenir un bts je suis tres satisfaite de mon accompagnement ;1;['pessim', 'appris', 'jeun', 'soi', 'lanc', 'va', 'bac', 'bt', 'satisfait'];pessim appris jeun soi lanc va bac bt satisfait;2
mon experience est vraiment tres enrichissante  ma conseillere a su m accompagner pour toutes les demarches en lien avec ma formation  donc tout s est enchaine tres rapidement  decouvrir le monde de l aeronautique en seulement un mois c est possible  malgre un rythme tres intensif et des revisions tous les jours  je suis impatiente d etre sur le terrain  encore merci a ma conseillere ;1;['enrich', 'demarch', 'lien', 'format', 'enchain', 'decouvr', 'aeronaut', 'rythm', 'intens', 'revis', 'impatient', 'terrain'];enrich demarch lien format enchain decouvr aeronaut rythm intens revis impatient terrain;-1
ma conseillere a vraiment ete tres a l ecoute et m a beaucoup aide  elle a su me conseiller comme il le fallait pendant les 6 mois d accompagnement elle a toujours ete la pour repondre a mes questions ;1;[];;-1
j ai travaille pendant 2 ans dans un foyer d hebergement pour personne agee autonome  je travaillais de nuit a gerer et veiller a la securite de plus d une centaine de residents alors que j etais toute seule  une nuit  une residente a mis fin a ses jours en sautant de son balcon   5eme etage   alors que je me trouvais a quelques metres lors de sa chute  a la suite de cet incident j ai donne ma demission en aout 2019  je m inscris donc a pole emploi meme si je sais que j ai une carence de 4 mois suite a ma demission nous sommes aujourd hui en fevrier 2020 et a cette heure je n ai plus aucune rentree d argent  je devais passer fin janvier en commission paritaire mais on m a annonce que la commission n avait pas pu decider sur mon dossier et souhaitait savoir si j avais travaille au mois de janvier  le comble de poser ce genre de question alors que vous n avez aucun moyen de vous deplacer  j ai des retards de loyer  des retards de factures et la seule chose qu on ose me dire   fallait pas demissionner  tant que pole emploi n a pas officiellement rejete mon dossier  je ne peux acceder au rsa je ne comprends pas pourquoi blamer des gens qui ont travaille et cotise pour ce qui leur revient de droit  une envie intense de quitter ce monde   ;1;['foi', 'heberg', 'person', 'autonom', 'nuit', 'veil', 'securit', 'centain', 'resident', 'nuit', 'resident', 'saut', 'balcon', '5em', 'etag', 'metr', 'chut', 'incident', 'demiss', '2019', 'inscris', 'carenc', 'demiss', 'rentre', 'argent', 'commiss', 'paritair', 'commiss', 'decid', 'dossi', 'combl', 'pos', 'retard', 'retard', 'ose', 'demission', 'officiel', 'dossi', 'rsa', 'blam', 'revient', 'intens', 'quitt'];foi heberg person autonom nuit veil securit centain resident nuit resident saut balcon 5em etag metr chut incident demiss 2019 inscris carenc demiss rentre argent commiss paritair commiss decid dossi combl pos retard retard ose demission officiel dossi rsa blam revient intens quitt;3
je voulais temoigne de mon histoire  ma conseillere pole emploi a ete formidable  elle s est demener pour m aider et j ai pu retravailler grace a elle  merci;1;['temoign', 'histoir', 'formid', 'demen', 'retravaill'];temoign histoir formid demen retravaill;-1
la caf m annonce que j ai eu un trop percu  pas la premiere fois     suite a un soit disant paiement de pole emploi en complement de mon salaire  j avertis la caf que je n ai pas touche le montant qu ils mentionnent  ils me renvoient vers pole emploi qui m indique les sommes recus et ne figure pas le montant mentionne par pole emploi  reponse de la caf ce montant n apparait pas car ce serait un trop percu du mois precedent  rebelotte et retour a pole emploi qui stipule dans un nouveau document qu il n y a eu aucun trop percu ces 3 dernieres annees  document depose en main propre a l agent de guichet qui consulte le document puis me dit de le mettre dans la boite dediee  resultat 5 jours apres je recois sur mon espace un message disant que ma demande a ete traitee  au final rien ne change sur mes droits je leur doit toujours deux mois d allocation logement  je viens de finir de les rembourser  depuis ce jour j ai decide de ne plus declarer mes revenus afin de ne rien toucher de leur part que ce soit les apl ou la prime d activite  j ai egalement pas divulguer les coordonnees bancaires de mon bailleur afin qu il ne percoit rien et que je paye mon loyer dans la totalite  c est navrant d en arriver la mais j ai perdu patience avec la caf a devoir prouver des informations qu ils pourraient consulter via le pole emploi ;1;['caf', 'pai', 'compl', 'salair', 'avert', 'caf', 'mentionnent', 'renvoient', 'recus', 'figur', 'repons', 'caf', 'appar', 'rebelott', 'stipul', 'docu', 'dernier', 'docu', 'main', 'propr', 'agent', 'guichet', 'docu', 'dedie', 'traite', 'alloc', 'log', 'rembours', 'declar', 'revenus', 'apl', 'divulgu', 'bancair', 'bailleur', 'percoit', 'pay', 'totalit', 'navr', 'patienc', 'caf', 'prouv'];caf pai compl salair avert caf mentionnent renvoient recus figur repons caf appar rebelott stipul docu dernier docu main propr agent guichet docu dedie traite alloc log rembours declar revenus apl divulgu bancair bailleur percoit pay totalit navr patienc caf prouv;3
efficacite de la conseillerereponse claire du service indemniteles applications pole emploi sont tres performantes ;1;['efficacit', 'conseillererepons', 'servic', 'indemnitel', 'perform'];efficacit conseillererepons servic indemnitel perform;-1
pour mon inscription chez pole emploi  j ai eu droit a un accueil exemplaire  un service rapide avec des jeunes qui sont bien a l ecoute bravo  ;1;['exemplair', 'servic', 'jeun'];exemplair servic jeun;2
inscrite a pole emploi depuis un an  je n ai rencontre mon conseiller qu une fois j ai du le joindre deux fois par mail pour des renseignements et a la fin de mes deux conversations telephoniques  mon conseiller me dit    je vais vous envoyer une synthese de l entretien  mais de quel entretien parle t il   si je ne l avais pas contacte  jamais il n aurait pu remplir ses statistiques  je me demene pour trouver une formation je lui envoie un mail pour l en informer  il me rappelle et me dit  bon a quelle session souhaitez vous vous inscrire     je lui reponds  c est bon je suis en contact directement avec l organisme de formation  je verrais avec eux pour l inscription a la session   il me repond que l objectif c est qu il me place  j effectue toutes mes demarches seules et c est le conseiller qui va en retirer les lauriers en disant a son administration qu il m a place si je reprends ses termes  c est honteuxa part  vanter le site internet pole emploi  les conseillers n apportent rien en terme de conseils  de recherche sur notre secteur d activite  etc  la preuve apres un an de recherche  je suis toujours a la recherche d un emploi avec un seul rendez vous  je me pose vraiment la question de savoir si tous les conseillers pole emploi conseillent les demandeurs d emploi de la meme facon ;1;['inscrit', 'synthes', 'contact', 'statist', 'demen', 'format', 'session', 'contact', 'format', 'verr', 'session', 'object', 'demarch', 'seul', 'retir', 'lauri', 'administr', 'reprend', 'vant', 'internet', 'apportent', 'conseillent'];inscrit synthes contact statist demen format session contact format verr session object demarch seul retir lauri administr reprend vant internet apportent conseillent;-1
j ai eu rendez vous avec une conseillere a l ecoute  agreable souriante et surtout comprehensible elle a su me comprendre et cela m a donner encore plus confiance en moi pour realiser mon projet professionnel je suis tres satisfaite de mon entretien  j ai obtenue des solutions et des reponses a mes questions je tiens a lui adresser un grand merci et a la feliciter pour son travail et son ecoute ;1;['souri', 'comprehensibl', 'satisfait', 'obtenu', 'solut', 'repons', 'felicit'];souri comprehensibl satisfait obtenu solut repons felicit;2
suite a une demission en juillet 2019  j ai voulu trouver le moyen d ouvrir mes droits au chomage pour pouvoir faire une formation pole emploi m a guidee tout du long de mon parcours tout d abord en me proposant d effectuer un travail saisonnier ce qui me permettait d ouvrir mes droits au chomage  suite a cette emploi qui a dure 8 mois  de aout 2019 a mars 2020   j ai donc pu obtenir les aides au retour a l emploi et realiser mon projet de reconversion professionnelle pole emploi m a guidee dans mon choix de centre de formation  puis dans les aides de financement  grace a un rendez vous avec un psychologue sur place  j ai pu confirmer mon choix de me former en tant qu assistante comptable  les demarches entre pole emploi et le centre de formation on ete tres complique car il y a peu de communication entre les deux  mais avec acharnement  j ai pu debuter ma formation en septembre 2020 et etre finalement embauche dans un cabinet comptable en tant que secretaire comptable ma conseillere pole emploi a ete tres presente toute au long de mon parcours et tres reactive  j ai eu beaucoup de chance de l avoir et elle m a permis d avancer rapidement et efficacement sur mon projet meme si ca a prit du temps  mais au bout d un parcours de reconversion qui a prit 1 an et demi  j ai enfin pu atteindre mon objectif  ;1;['demiss', 'juillet', '2019', 'chomag', 'format', 'guide', 'abord', 'saisonni', 'chomag', '2019', 'reconvers', 'guide', 'format', 'financ', 'psychologu', 'confirm', 'comptabl', 'demarch', 'format', 'acharn', 'debut', 'format', 'cabinet', 'comptabl', 'secretair', 'comptabl', 'reactiv', 'efficac', 'prit', 'reconvers', 'prit', 'dem', 'atteindr', 'object'];demiss juillet 2019 chomag format guide abord saisonni chomag 2019 reconvers guide format financ psychologu confirm comptabl demarch format acharn debut format cabinet comptabl secretair comptabl reactiv efficac prit reconvers prit dem atteindr object;0
j avais demande par courrier en lr avec ar en date de mi avril 2021 un rendez vous avec un conseiller pole emploi ou le directeur afin d avoir des explications fiables  exactes  sures et non approximatives sur le montant alloue en allocation de chomage pour la periode du 01 04 a mi mai 2021 puisque des mi mai j ai retrouve moi meme un emploi durant ce temps pas un appel d un conseiller  ni meme d une eventuelle proposition de formation ou encore pour connaitre le pourquoi du comment de la perte d emploi durant ce mois et 9 jours de chomage  j ai appele le 3949 pratiquement tous les jours et a chaque fois les explications et les informations etaient differentes de la veilles   c est quand meme fou   bravo a l algorithme utilise par pole emploi  voir article de france inter du 02 11 2019 de lea guedj    n arrivant pas a avoir de bons conseils et explications  je me suis rendu par 2 fois directement au pole emploi cristallerie  tous cela pour rien  le conseiller m a endormi avec des explications a dormir debout et qui en plus m a pris de haut   conclusions du probleme    nous sommes le 27 07 et toujours aucune nouvelle du pole emploi pour ces fameuses explications   j ai fait plusieurs relance pour enfin avoir de vraies explications sur le versement bizarrement calcule de mon allocation de chomage  j ai meme transmis mes courriers et mes demandes a mme la deputee de nancy pour qu elle puisse intervenir  il m a ete repondu d une maniere laconique et  bateau  qu elle comprenait la situation et que j allais etre contacte prochainement    nous sommes quand meme le 27 07  4 mois  et toujours rien    bravo ;1;['courri', 'lr', 'ar', 'mi', 'directeur', 'fiabl', 'exact', 'sur', 'approxim', 'allou', 'alloc', 'chomag', '01', '04', 'mi', 'mi', 'eventuel', 'format', 'connaitr', '9', 'chomag', '3949', 'pratiqu', 'veil', 'fou', 'algorithm', 'articl', 'inter', '02', '11', '2019', 'le', 'guedj', 'arriv', 'cristaller', 'endorm', 'dorm', 'debout', 'haut', 'conclus', '27', '07', 'fameux', 'vrai', 'bizarr', 'alloc', 'chomag', 'courri', 'mme', 'depute', 'nancy', 'interven', 'lacon', 'bateau', 'compren', 'allais', 'contact', '27', '07'];courri lr ar mi directeur fiabl exact sur approxim allou alloc chomag 01 04 mi mi eventuel format connaitr 9 chomag 3949 pratiqu veil fou algorithm articl inter 02 11 2019 le guedj arriv cristaller endorm dorm debout haut conclus 27 07 fameux vrai bizarr alloc chomag courri mme depute nancy interven lacon bateau compren allais contact 27 07;-1
inscrite au chomage depuis 2017  tres longue duree   desolee de vous dire malheureusement que la communication n en est pas une    absence de conseillers la premiere annee et absence d allocations pendant six mois  de quoi etre inquiete   changements de conseillers   une dizaine depuis la premiere qui m a refuse mon dossier de formation pour motif que je n etais pas prioritaire avec un bac 5  difficultes d acces aux conseillers depuis le 17 03 2020  ils envoient les candidats vers d autres conseillers   on peut se demander ou peut etre le suivi dans ces circonstances mais je retiendrai que parmi la vingtaine d employes de la fonction publique  il y en a un qui evitait de me faire venir pour rien et qui m a meme offert un bilan de competences dont je revais depuis des annees mais on pense bien que l on peut attendre encore des mois sans allocation depuis aout 2020  sans compter la crise sanitaire qui nous empeche d acceder aux guichets de la fonction publique heureusement que j ai quand meme une conseillere qui m envoie vers une nouvelle conseillere  de quoi je me plains     si elles ne sont pas disponibles avant la rentree alors que j ai besoin d eux avant cette date butoir  notamment pour completer mon dossier caf  avec l absence de conseillers  je crois qu on ne nous aide pas et qu on nous retarde dans nos projets de formation avec l absence de reponse dans les delais qui sont demandes   cela nous ferme des portes qui doivent rester ouvertes ;1;['inscrit', 'chomag', '2017', 'dure', 'desole', 'absenc', 'absenc', 'alloc', 'six', 'inquiet', 'chang', 'dizain', 'dossi', 'format', 'prioritair', 'bac', '17', '03', 'envoient', 'circonst', 'retiendr', 'parm', 'vingtain', 'offert', 'rev', 'alloc', 'compt', 'cris', 'sanitair', 'empech', 'guichet', 'plain', 'disponibl', 'rentre', 'butoir', 'dossi', 'caf', 'absenc', 'crois', 'retard', 'format', 'absenc', 'repons', 'ferm', 'ouvert'];inscrit chomag 2017 dure desole absenc absenc alloc six inquiet chang dizain dossi format prioritair bac 17 03 envoient circonst retiendr parm vingtain offert rev alloc compt cris sanitair empech guichet plain disponibl rentre butoir dossi caf absenc crois retard format absenc repons ferm ouvert;3
j ai actualise ma periode d activite sur le site du pole emploi   mon espace en ligne renseigne que mon actualisation a ete valide le 3 octobre 2021  il est inscrit que ma validation concerne la periode du 31 aout 2021 au 31 aout 2021 uniquement  le service technique du pole emploi ne repond pas correctement au reclamation  les correspondances qui sont deposees a mon espace en ligne sont rendus inutilisables et illisibles par un code informatique ;1;['inscrit', '31', '31', 'servic', 'reclam', 'depose', 'rendus', 'inutilis', 'illisibl'];inscrit 31 31 servic reclam depose rendus inutilis illisibl;2
depuis mars 2020  j ai fais une demande d allocation chomage aupres de pole emploi suite a la crise sanitaire qui est restee sans reponse jusqu a maintenant  meme avec mes plusieurs relances  environ 100 relances  90  par telephone et 10   par mail   un dossier depose il y a environ 17 mois   a chaque fois que je prend contact avec pole emploi  j ai toujours plusieurs reponse differentes ;1;['alloc', 'chomag', 'cris', 'sanitair', 'reste', 'repons', '100', '90', 'dossi', '17', 'contact', 'repons'];alloc chomag cris sanitair reste repons 100 90 dossi 17 contact repons;-1
les dossiers d allocation ne sont jamais traites   j avais deposer un dossier d allocation depuis 2019 jusqu a maintenant sans reponse meme avec plusieurs relance  meme quand je contacte ma soi disant conseillere que j ai jamais vue  qui repond pratiquement jamais a mes messages  quand elle repond c est pour me dire  je reviens vers vous des que j aurais une reponse   des reclamations qui prennent 1 mois voire plus pour etre prise en compte  c est affiche que les reclamations sont traiter en 24h normalement    et quand c est pris en compte c est pour me  dire nous avons bien recu votre reclamation   a force de reclamer  ils ont decide de me radier des demandeurs d emploi   j ai aussi contacte le soi disant mediateur 2 fois sans reponse de sa part  a quoi ca sert  ;1;['dossi', 'alloc', 'dossi', 'alloc', '2019', 'repons', 'contact', 'soi', 'pratiqu', 'revien', 'repons', 'reclam', 'prennent', 'compt', 'reclam', '24h', 'compt', 'reclam', 'reclam', 'radi', 'contact', 'soi', 'mediateur', 'repons'];dossi alloc dossi alloc 2019 repons contact soi pratiqu revien repons reclam prennent compt reclam 24h compt reclam reclam radi contact soi mediateur repons;-1
l agence de pole emploi de savigny le temple ne fait aucun effort pour traiter les demandes des allocataires  ils reprennent les memes reponses expeditives et courtes aux diverses reclamations pour des motifs differents  leurs conseillers sont desagreables et agressifs au telephone et ne se gene pas a nous raccrocher au nez  meme en saisissant la mediation regionale et nationale mes questions restent sans reponses  ce qui est plus grave meme en apportant des justificatifs pour contester des retenues et des debits excessifs et des erreurs de calculs de nos droits  aucun agent que ca soit au niveau de l agence directeur y compris ou au niveau de la mediation ne prend ses responsabilites pour corriger les erreurs constatees  2 ans de chomage sans aucun accompagnement ni conseil  ;1;['agenc', 'savigny', 'templ', 'effort', 'allocatair', 'reprennent', 'repons', 'expedit', 'court', 'divers', 'reclam', 'motif', 'agress', 'raccroch', 'nez', 'mediat', 'regional', 'national', 'restent', 'repons', 'grav', 'apport', 'justif', 'contest', 'retenu', 'debit', 'excess', 'agent', 'agenc', 'directeur', 'compr', 'mediat', 'responsabilit', 'constate', 'chomag'];agenc savigny templ effort allocatair reprennent repons expedit court divers reclam motif agress raccroch nez mediat regional national restent repons grav apport justif contest retenu debit excess agent agenc directeur compr mediat responsabilit constate chomag;-1
je suis alle dans une agence de pole emploi pour me reinscrire a pole emploi  la bas je me suis dirige vers la personne de l accueil je lui ai demande de m aider pour me reinscrire tout suite elle m a dit  va chercher un ordinateur  debrouillez vous   je suis reste plus de 1h sur cet ordinateur  je n arrive pas a m inscrire je suis retourne vers la personne de l accueil en vain   la meme reponse au que je devrais appeler le 3949  la bas ils vont t aider a te reinscrire  j appelle et je tombe sur une personne pas gentille pas agreable dans sa facon de me parler  j ai un accent espagnol  elle n etait pas contente  elle m a parle de mon accent et m a dit que ce n etait pas tres agreable de l entendre dans ses oreilles  j ai appris le francais tout seul  je parle  j ecris  je lis    et pour cette personne mon accent n est pas tres agreable ;1;['agenc', 'reinscrir', 'dirig', 'person', 'reinscrir', 'debrouill', '1h', 'person', 'vain', 'repons', '3949', 'reinscrir', 'person', 'gentill', 'accent', 'espagnol', 'content', 'accent', 'entendr', 'oreil', 'appris', 'ecris', 'lis', 'person', 'accent'];agenc reinscrir dirig person reinscrir debrouill 1h person vain repons 3949 reinscrir person gentill accent espagnol content accent entendr oreil appris ecris lis person accent;-1
quand votre enfant de 18 ans n est plus couvert par votre mutuelle qui exige une attestation pole emploi  l inscription se valide par un rendez vous physique que ma fille ne peut pas honorer etant sans permis  je suis disponible les mercredis et les vacances scolaires mais bien entendu aucune date dans ces creneaux   idem pour le permis  pas d aide puisque pas d inscription a pole emploi  ne peuvent ils pas faire l effort de l inscrire par rendez vous telephonique sachant qu elle ne peut se rendre sur place et ne pourra pas travailler tant qu elle n a pas le permis   c est grotesque et ils nous mettent dans la mouise ;1;['18', 'couvert', 'mutuel', 'attest', 'fill', 'honor', 'mercred', 'vacanc', 'scolair', 'entendu', 'creneau', 'idem', 'effort', 'grotesqu', 'mettent', 'mouis'];18 couvert mutuel attest fill honor mercred vacanc scolair entendu creneau idem effort grotesqu mettent mouis;2
je comprends que les agents du pole emploi subissent une forte pression due au nombre de chomeurs affectes par agent   je ne supporte plus d en payer les frais notamment avec un ton violent  rabaissant alors que je reste soumis   ca m agace  ca m enerve  j en ai marre qu on me colle des etiquettes erronees que personne ne decolle ;1;['agent', 'sub', 'pression', 'du', 'affect', 'agent', 'support', 'pai', 'frais', 'violent', 'rabaiss', 'soum', 'agac', 'enerv', 'marr', 'coll', 'etiquet', 'errone', 'person', 'decoll'];agent sub pression du affect agent support pai frais violent rabaiss soum agac enerv marr coll etiquet errone person decoll;-1
